product_id,product_name,category,product_weight_kg,fragility_index,shipping_type,weight_category,fragility_category
90,Hair Gel Jar,Cosmetics,0.35,2,Road,Very Light,Low Fragility
91,First Aid Kit,Pharmacy,0.8,3,Road,Light,Medium Fragility
92,Digital Thermometer,Pharmacy,0.08,3,Air,Very Light,Medium Fragility
93,Blood Pressure Monitor,Pharmacy,0.6,3,Road,Light,Medium Fragility
94,Glucose Meter,Pharmacy,0.2,3,Air,Very Light,Medium Fragility
95,Eye Drop Bottle,Pharmacy,0.05,3,Air,Very Light,Medium Fragility
96,Nasal Spray,Pharmacy,0.07,3,Air,Very Light,Medium Fragility
97,Pain Relief Ointment,Pharmacy,0.12,3,Road,Very Light,Medium Fragility
98,Bandage Roll,Pharmacy,0.18,2,Road,Very Light,Low Fragility
99,Coffee Mug,Drinkware,0.35,2,Road,Very Light,Low Fragility
100,Thermos Flask,Drinkware,0.6,3,Road,Light,Medium Fragility
101,Travel Tumbler,Drinkware,0.4,3,Road,Very Light,Medium Fragility
102,Juice Bottle Pack,Drinkware,1.1,3,Road,Light,Medium Fragility
103,Premium Wine Bottle,Drinkware,1.3,4,Sea,Light,High Fragility
104,Glass Bottle Set,Drinkware,1.6,4,Sea,Light,High Fragility
105,Water Bottle - Family Size,Drinkware,1.0,3,Road,Light,Medium Fragility
106,Energy Drink Pack,Drinkware,0.9,2,Road,Light,Low Fragility
107,Snack Box - Value Pack,Food,0.8,2,Road,Light,Low Fragility
108,Snack Bag (Small),Food,0.25,2,Road,Very Light,Low Fragility
109,Chocolate Box - Premium,Food,0.6,2,Air,Light,Low Fragility
110,Cereal Box - Family Size,Food,0.9,2,Road,Light,Low Fragility
111,Tea Box Pack,Food,0.4,2,Air,Very Light,Low Fragility
112,Coffee Pack - Premium,Food,0.35,2,Air,Very Light,Low Fragility
113,Rice Bag (Small),Food,1.0,1,Road,Light,Low Fragility
114,Sugar Pack (Small),Food,1.0,1,Road,Light,Low Fragility
115,Granola Pack - Standard,Food,0.55,2,Road,Light,Low Fragility
116,Instant Noodles Pack - Value Pack,Food,0.8,2,Road,Light,Low Fragility
117,Smartphone - Standard,Electronics,0.32,5,Air,Very Light,Very High Fragility
118,Smartphone - Premium,Electronics,0.29,5,Air,Very Light,Very High Fragility
119,Tablet (Large),Electronics,0.65,4,Air,Light,High Fragility
120,Tablet (Small),Electronics,0.45,4,Air,Very Light,High Fragility
121,Laptop - Standard,Electronics,2.3,5,Air,Medium,Very High Fragility
122,Laptop - Premium,Electronics,2.7,5,Air,Medium,Very High Fragility
123,Headphones Set,Electronics,0.35,4,Air,Very Light,High Fragility
124,Bluetooth Speaker - Premium,Electronics,0.9,4,Road,Light,High Fragility
125,Wireless Mouse (Small),Electronics,0.12,3,Air,Very Light,Medium Fragility
126,Power Bank - Standard,Electronics,0.22,3,Air,Very Light,Medium Fragility
127,Smartwatch - Premium,Electronics,0.21,4,Air,Very Light,High Fragility
128,Router (Dual Band),Electronics,0.52,3,Road,Light,Medium Fragility
129,"LED Monitor 27""",Electronics,5.0,4,Sea,Medium,High Fragility
130,"Smart TV 55""",Electronics,11.0,4,Sea,Heavy,High Fragility
131,Office Paper Ream Pack,Paper Product,4.5,1,Road,Medium,Low Fragility
132,Notebook Set,Paper Product,1.1,1,Road,Light,Low Fragility
133,Sketchbook (Large),Paper Product,0.75,1,Road,Light,Low Fragility
134,Diary - Premium,Paper Product,0.45,1,Air,Very Light,Low Fragility
135,Magazine Bundle - Monthly,Paper Product,1.2,1,Road,Light,Low Fragility
136,Children Story Book Set,Paper Product,1.0,1,Road,Light,Low Fragility
137,Coloring Book Set - Value Pack,Paper Product,1.5,1,Road,Light,Low Fragility
138,Recipe Book - Family Edition,Paper Product,0.8,1,Road,Light,Low Fragility
139,Office File Folder Set - Large,Paper Product,1.0,1,Road,Light,Low Fragility
140,Hardcover Novel - Deluxe,Paper Product,1.1,1,Road,Light,Low Fragility
141,Perfume Bottle - Premium,Cosmetics,0.25,4,Road,Very Light,High Fragility
142,Perfume Set - Family Size,Cosmetics,0.8,4,Road,Light,High Fragility
143,Shampoo Bottle (Large),Cosmetics,0.6,3,Road,Light,Medium Fragility
144,Shampoo Pack - Value Pack,Cosmetics,0.7,3,Road,Light,Medium Fragility
145,Face Serum Bottle - Small,Cosmetics,0.12,4,Road,Very Light,High Fragility
146,Lipstick Set,Cosmetics,0.18,3,Road,Very Light,Medium Fragility
147,Compact Powder - Standard,Cosmetics,0.14,3,Road,Very Light,Medium Fragility
148,Nail Polish Set - Premium,Cosmetics,0.3,3,Road,Very Light,Medium Fragility
149,Sunscreen Lotion - Family Size,Cosmetics,0.45,2,Road,Very Light,Low Fragility
150,Hair Gel Jar - Large,Cosmetics,0.4,2,Road,Very Light,Low Fragility
151,Medicine Pack - Standard,Pharmacy,0.15,3,Air,Very Light,Medium Fragility
152,Medicine Pack - Large,Pharmacy,0.25,3,Road,Very Light,Medium Fragility
153,Medicine Syrup - Kids,Pharmacy,0.28,3,Air,Very Light,Medium Fragility
154,Vitamin Bottle - Large,Pharmacy,0.35,3,Road,Very Light,Medium Fragility
155,Vitamin Box - Family Pack,Pharmacy,0.6,3,Road,Light,Medium Fragility
156,First Aid Kit - Premium,Pharmacy,1.0,3,Road,Light,Medium Fragility
157,Blood Pressure Monitor Set,Pharmacy,0.7,3,Road,Light,Medium Fragility
158,Glucose Meter Pack,Pharmacy,0.25,3,Air,Very Light,Medium Fragility
159,Eye Drop Bottle - Small,Pharmacy,0.04,3,Air,Very Light,Medium Fragility
160,Pain Relief Ointment Pack,Pharmacy,0.2,3,Road,Very Light,Medium Fragility
161,Bandage Roll Set,Pharmacy,0.3,2,Road,Very Light,Low Fragility
162,Water Bottle Pack,Drinkware,1.4,3,Road,Light,Medium Fragility
163,Travel Tumbler Set,Drinkware,0.9,3,Road,Light,Medium Fragility
164,Thermos Flask - Large,Drinkware,0.85,3,Road,Light,Medium Fragility
165,Glass Bottle - Premium,Drinkware,0.95,4,Sea,Light,High Fragility
166,Wine Bottle Set,Drinkware,2.6,4,Sea,Medium,High Fragility
167,Juice Pack - Family Size,Drinkware,1.5,3,Road,Light,Medium Fragility
168,Energy Drink - Value Pack,Drinkware,1.1,2,Road,Light,Low Fragility
169,Snack Mix - Premium,Food,0.7,2,Road,Light,Low Fragility
170,Snack Box - Family Size,Food,1.0,2,Road,Light,Low Fragility
171,Chocolate Bag - Value Pack,Food,0.55,2,Air,Light,Low Fragility
172,Cereal Packet - Small,Food,0.35,2,Road,Very Light,Low Fragility
173,Granola Pack (Large),Food,0.65,2,Road,Light,Low Fragility
174,Pasta Box (Large),Food,0.8,2,Road,Light,Low Fragility
175,Frozen Veggie Pack - Family Size,Food,1.6,2,Air,Light,Low Fragility
176,Spice Jar Set - Premium,Food,0.85,2,Air,Light,Low Fragility
177,Rice Bag 10kg,Food,10.0,1,Sea,Heavy,Low Fragility
178,Sugar Pack 5kg,Food,5.0,1,Road,Medium,Low Fragility
179,Smartphone - Value Pack,Electronics,0.31,5,Air,Very Light,Very High Fragility
180,Tablet Device - Standard,Electronics,0.55,4,Air,Light,High Fragility
181,Laptop - Business Edition,Electronics,2.9,5,Air,Medium,Very High Fragility
182,Wireless Mouse - Premium,Electronics,0.16,3,Air,Very Light,Medium Fragility
183,Bluetooth Speaker - Standard,Electronics,0.7,4,Road,Light,High Fragility
184,USB Flash Drive Bundle,Electronics,0.08,2,Air,Very Light,Low Fragility
185,Router (Mesh),Electronics,0.6,3,Road,Light,Medium Fragility
186,"LED Monitor 32""",Electronics,6.1,4,Sea,Heavy,High Fragility
187,"Smart TV 65""",Electronics,14.0,4,Sea,Heavy,High Fragility
188,Graphic Tablet - Large,Electronics,1.4,4,Air,Light,High Fragility
189,Office Paper Ream - Premium,Paper Product,2.6,1,Road,Medium,Low Fragility
190,Notebook - Small,Paper Product,0.25,1,Air,Very Light,Low Fragility
191,Booklet - Training Manual,Paper Product,0.4,1,Air,Very Light,Low Fragility
192,Children Story Book - Illustrated,Paper Product,0.5,1,Road,Very Light,Low Fragility
193,Coloring Book Set - Kids,Paper Product,1.3,1,Road,Light,Low Fragility
194,Recipe Book - Dessert Edition,Paper Product,0.65,1,Road,Light,Low Fragility
195,Office File Folder Set - Premium,Paper Product,0.9,1,Road,Light,Low Fragility
196,Hardcover Novel - Collector Edition,Paper Product,1.3,1,Road,Light,Low Fragility
197,Magazine Bundle - Weekly,Paper Product,0.95,1,Road,Light,Low Fragility
198,Planner Notebook - Deluxe,Paper Product,0.55,1,Air,Light,Low Fragility
199,Perfume Bottle (Small),Cosmetics,0.18,4,Road,Very Light,High Fragility
200,Perfume Set - Deluxe,Cosmetics,0.9,4,Road,Light,High Fragility
201,Shampoo Bottle - Travel Size,Cosmetics,0.22,3,Road,Very Light,Medium Fragility
202,Shampoo Pack - Family Size,Cosmetics,0.8,3,Road,Light,Medium Fragility
203,Lotion Bottle - Premium,Cosmetics,0.45,3,Road,Very Light,Medium Fragility
204,Face Wash Tube - Oil Control,Cosmetics,0.25,2,Road,Very Light,Low Fragility
205,Eyeshadow Kit - Deluxe,Cosmetics,0.28,3,Road,Very Light,Medium Fragility
206,Nail Polish Set - Glitter,Cosmetics,0.32,3,Road,Very Light,Medium Fragility
207,Sunscreen Lotion SPF50,Cosmetics,0.35,2,Road,Very Light,Low Fragility
208,Beard Oil Bottle - Small,Cosmetics,0.14,3,Road,Very Light,Medium Fragility
209,Hair Gel Jar - Extra Hold,Cosmetics,0.38,2,Road,Very Light,Low Fragility
210,Medicine Pack - Kids,Pharmacy,0.18,3,Air,Very Light,Medium Fragility
211,Medicine Syrup - Adult,Pharmacy,0.32,3,Air,Very Light,Medium Fragility
212,Vitamin Bottle - Kids,Pharmacy,0.22,3,Road,Very Light,Medium Fragility
213,Vitamin Box - Premium,Pharmacy,0.55,3,Road,Light,Medium Fragility
214,First Aid Kit - Travel,Pharmacy,0.6,3,Road,Light,Medium Fragility
215,Digital Thermometer - Premium,Pharmacy,0.09,3,Air,Very Light,Medium Fragility
216,Glucose Meter - Compact,Pharmacy,0.18,3,Air,Very Light,Medium Fragility
217,Eye Drop Bottle - Allergy Relief,Pharmacy,0.05,3,Air,Very Light,Medium Fragility
218,Nasal Spray - Decongestant,Pharmacy,0.08,3,Air,Very Light,Medium Fragility
219,Bandage Roll - Elastic,Pharmacy,0.22,2,Road,Very Light,Low Fragility
220,Pain Relief Ointment - Extra Strength,Pharmacy,0.16,3,Road,Very Light,Medium Fragility
221,Water Bottle (Small),Drinkware,0.55,3,Road,Light,Medium Fragility
222,Water Jug - Premium,Drinkware,2.4,3,Sea,Medium,Medium Fragility
223,Glass Bottle Set - Gift,Drinkware,1.8,4,Sea,Light,High Fragility
224,Travel Tumbler - Insulated,Drinkware,0.45,3,Road,Very Light,Medium Fragility
225,Thermos Flask - Travel,Drinkware,0.7,3,Road,Light,Medium Fragility
226,Juice Bottle - Kids Pack,Drinkware,0.65,3,Road,Light,Medium Fragility
227,Energy Drink - Sports,Drinkware,0.55,2,Road,Light,Low Fragility
228,Snack Pack - Kids,Food,0.35,2,Road,Very Light,Low Fragility
229,Snack Bag - Extra Spicy,Food,0.3,2,Road,Very Light,Low Fragility
230,Snack Box - Party Pack,Food,1.2,2,Road,Light,Low Fragility
231,Chocolate Box - Gift,Food,0.75,2,Air,Light,Low Fragility
232,Cereal Box - Kids,Food,0.5,2,Road,Very Light,Low Fragility
233,Cereal Packet - Value Pack,Food,0.7,2,Road,Light,Low Fragility
234,Tea Box - Premium,Food,0.35,2,Air,Very Light,Low Fragility
235,Coffee Pack - Dark Roast,Food,0.4,2,Air,Very Light,Low Fragility
236,Granola Pack - Honey,Food,0.6,2,Road,Light,Low Fragility
237,Instant Noodles Pack - Spicy,Food,0.55,2,Road,Light,Low Fragility
238,Smartphone - Lite,Electronics,0.27,5,Air,Very Light,Very High Fragility
239,Smartphone - Max,Electronics,0.33,5,Air,Very Light,Very High Fragility
240,Tablet - Kids Edition,Electronics,0.5,4,Air,Very Light,High Fragility
241,Tablet Device - Business,Electronics,0.7,4,Air,Light,High Fragility
242,Laptop - Gaming,Electronics,3.2,5,Air,Medium,Very High Fragility
243,Headphones - Wireless,Electronics,0.32,4,Air,Very Light,High Fragility
244,Power Bank - High Capacity,Electronics,0.4,3,Air,Very Light,Medium Fragility
245,Bluetooth Speaker - Mini,Electronics,0.45,4,Road,Very Light,High Fragility
246,USB Flash Drive - 64GB,Electronics,0.05,2,Air,Very Light,Low Fragility
247,Router - Gaming,Electronics,0.7,3,Road,Light,Medium Fragility
248,"LED Monitor 21""",Electronics,3.5,4,Sea,Medium,High Fragility
249,"Smart TV 32""",Electronics,7.8,4,Sea,Heavy,High Fragility
250,Graphic Tablet - Compact,Electronics,0.9,4,Air,Light,High Fragility
251,Office Paper Ream - Economy,Paper Product,2.1,1,Road,Medium,Low Fragility
252,Notebook - Spiral,Paper Product,0.45,1,Road,Very Light,Low Fragility
253,Book - Paperback Novel,Paper Product,0.5,1,Road,Very Light,Low Fragility
254,Diary - Pocket,Paper Product,0.3,1,Air,Very Light,Low Fragility
255,Children Story Book - Beginner,Paper Product,0.4,1,Road,Very Light,Low Fragility
256,Coloring Book Set - Animals,Paper Product,1.1,1,Road,Light,Low Fragility
257,Recipe Book - Quick Meals,Paper Product,0.6,1,Road,Light,Low Fragility
258,Office File Folder Set - Basic,Paper Product,0.75,1,Road,Light,Low Fragility
259,Hardcover Novel - Thriller,Paper Product,0.95,1,Road,Light,Low Fragility
260,Magazine Bundle - Travel,Paper Product,0.85,1,Road,Light,Low Fragility
261,Perfume Bottle - Floral,Cosmetics,0.22,4,Road,Very Light,High Fragility
262,Perfume Set - Travel,Cosmetics,0.5,4,Road,Very Light,High Fragility
263,Shampoo Bottle - Herbal,Cosmetics,0.38,3,Road,Very Light,Medium Fragility
264,Shampoo Pack - Anti-Dandruff,Cosmetics,0.55,3,Road,Light,Medium Fragility
265,Face Serum Bottle - Anti-Aging,Cosmetics,0.17,4,Road,Very Light,High Fragility
266,Lipstick - Matte,Cosmetics,0.11,3,Road,Very Light,Medium Fragility
267,Compact Powder - Oil Control,Cosmetics,0.13,3,Road,Very Light,Medium Fragility
268,Eyeshadow Kit - Nude,Cosmetics,0.24,3,Road,Very Light,Medium Fragility
269,Nail Polish Set - Neon,Cosmetics,0.27,3,Road,Very Light,Medium Fragility
270,Sunscreen Lotion SPF30,Cosmetics,0.32,2,Road,Very Light,Low Fragility
271,Medicine Pack - Travel,Pharmacy,0.14,3,Air,Very Light,Medium Fragility
272,Medicine Syrup - Cough Relief,Pharmacy,0.3,3,Air,Very Light,Medium Fragility
273,Vitamin Bottle - Women,Pharmacy,0.24,3,Road,Very Light,Medium Fragility
274,Vitamin Bottle - Men,Pharmacy,0.26,3,Road,Very Light,Medium Fragility
275,First Aid Kit - Home,Pharmacy,0.9,3,Road,Light,Medium Fragility
276,Digital Thermometer - Kids,Pharmacy,0.08,3,Air,Very Light,Medium Fragility
277,Glucose Meter - Starter,Pharmacy,0.2,3,Air,Very Light,Medium Fragility
278,Eye Drop Bottle - Dry Eye,Pharmacy,0.05,3,Air,Very Light,Medium Fragility
279,Nasal Spray - Kids,Pharmacy,0.07,3,Air,Very Light,Medium Fragility
280,Bandage Roll - Cotton,Pharmacy,0.2,2,Road,Very Light,Low Fragility
281,Water Bottle - Sports,Drinkware,0.7,3,Road,Light,Medium Fragility
282,Travel Tumbler - Steel,Drinkware,0.5,3,Road,Very Light,Medium Fragility
283,Thermos Flask - Office,Drinkware,0.75,3,Road,Light,Medium Fragility
284,Glass Bottle - Vintage,Drinkware,0.9,4,Sea,Light,High Fragility
285,Wine Bottle - Reserve,Drinkware,1.4,4,Sea,Light,High Fragility
286,Juice Pack - Breakfast,Drinkware,1.2,3,Road,Light,Medium Fragility
287,Energy Drink - Zero Sugar,Drinkware,0.6,2,Road,Light,Low Fragility
288,Snack Pack - Party Mix,Food,0.65,2,Road,Light,Low Fragility
289,Snack Bag - Cheese,Food,0.28,2,Road,Very Light,Low Fragility
290,Snack Box - Office Pack,Food,0.9,2,Road,Light,Low Fragility
291,Chocolate Box - Dark,Food,0.55,2,Air,Light,Low Fragility
292,Cereal Box - High Fiber,Food,0.52,2,Road,Light,Low Fragility
293,Cereal Packet - Chocolate,Food,0.48,2,Road,Very Light,Low Fragility
294,Tea Box - Green Tea,Food,0.33,2,Air,Very Light,Low Fragility
295,Coffee Pack - Instant,Food,0.36,2,Air,Very Light,Low Fragility
296,Granola Pack - Berry,Food,0.58,2,Road,Light,Low Fragility
297,Instant Noodles Pack - Cup,Food,0.42,2,Road,Very Light,Low Fragility
298,Rice Bag 2kg,Food,2.0,1,Road,Light,Low Fragility
299,Sugar Pack 1kg,Food,1.0,1,Road,Light,Low Fragility
300,Cookie Tin - Assorted,Food,1.1,2,Road,Light,Low Fragility
301,Wireless Mouse - Office,Electronics,0.14,3,Air,Very Light,Medium Fragility
302,Smartphone - Enterprise,Electronics,0.34,5,Air,Very Light,Very High Fragility
303,Tablet Device - Education,Electronics,0.58,4,Air,Light,High Fragility
304,Laptop - Ultrabook,Electronics,1.9,5,Air,Light,Very High Fragility
305,Headphones - Studio,Electronics,0.4,4,Air,Very Light,High Fragility
306,Bluetooth Speaker - Outdoor,Electronics,1.1,4,Road,Light,High Fragility
307,Power Bank - Slim,Electronics,0.2,3,Air,Very Light,Medium Fragility
308,USB Flash Drive - 128GB,Electronics,0.06,2,Air,Very Light,Low Fragility
309,Router - Dual Band,Electronics,0.55,3,Road,Light,Medium Fragility
310,"LED Monitor 19""",Electronics,3.0,4,Sea,Medium,High Fragility
311,"Smart TV 40""",Electronics,8.2,4,Sea,Heavy,High Fragility
312,Graphic Tablet - Student,Electronics,0.85,4,Air,Light,High Fragility
313,Office Paper Ream - Student,Paper Product,2.2,1,Road,Medium,Low Fragility
314,Notebook - College Ruled,Paper Product,0.5,1,Road,Very Light,Low Fragility
315,Book - Science Textbook,Paper Product,1.3,1,Road,Light,Low Fragility
316,Diary - Leather Cover,Paper Product,0.6,1,Road,Light,Low Fragility
317,Children Story Book - Fairytale,Paper Product,0.45,1,Road,Very Light,Low Fragility
318,Coloring Book Set - Alphabet,Paper Product,1.0,1,Road,Light,Low Fragility
319,Recipe Book - Vegan,Paper Product,0.7,1,Road,Light,Low Fragility
320,Planner Notebook - Academic,Paper Product,0.5,1,Air,Very Light,Low Fragility
321,Hardcover Novel - Romance,Paper Product,1.0,1,Road,Light,Low Fragility
322,Magazine Bundle - Fashion,Paper Product,0.9,1,Road,Light,Low Fragility
323,Perfume Bottle - Citrus,Cosmetics,0.23,4,Road,Very Light,High Fragility
324,Perfume Bottle - Woody,Cosmetics,0.24,4,Road,Very Light,High Fragility
325,Perfume Set - Gift,Cosmetics,0.75,4,Road,Light,High Fragility
326,Shampoo Bottle - Anti Hairfall,Cosmetics,0.42,3,Road,Very Light,Medium Fragility
327,Shampoo Bottle - Volumizing,Cosmetics,0.4,3,Road,Very Light,Medium Fragility
328,Face Serum Bottle - Brightening,Cosmetics,0.16,4,Road,Very Light,High Fragility
329,Lipstick - Glossy,Cosmetics,0.1,3,Road,Very Light,Medium Fragility
330,Lipstick - Long Lasting,Cosmetics,0.11,3,Road,Very Light,Medium Fragility
331,Compact Powder - Beige,Cosmetics,0.13,3,Road,Very Light,Medium Fragility
332,Eyeshadow Kit - Smokey,Cosmetics,0.23,3,Road,Very Light,Medium Fragility
333,Nail Polish Set - Pastel,Cosmetics,0.26,3,Road,Very Light,Medium Fragility
334,Sunscreen Lotion SPF20,Cosmetics,0.3,2,Road,Very Light,Low Fragility
335,Beard Oil Bottle - Cedarwood,Cosmetics,0.15,3,Road,Very Light,Medium Fragility
336,Hair Gel Jar - Wet Look,Cosmetics,0.36,2,Road,Very Light,Low Fragility
337,Medicine Pack - Cold Relief,Pharmacy,0.16,3,Air,Very Light,Medium Fragility
338,Medicine Pack - Pain Relief,Pharmacy,0.18,3,Air,Very Light,Medium Fragility
339,Medicine Syrup - Fever,Pharmacy,0.34,3,Air,Very Light,Medium Fragility
340,Vitamin Bottle - Seniors,Pharmacy,0.3,3,Road,Very Light,Medium Fragility
341,Vitamin Box - Daily,Pharmacy,0.5,3,Road,Very Light,Medium Fragility
342,First Aid Kit - Car,Pharmacy,0.7,3,Road,Light,Medium Fragility
343,Digital Thermometer - Standard,Pharmacy,0.08,3,Air,Very Light,Medium Fragility
344,Glucose Meter - Advanced,Pharmacy,0.22,3,Air,Very Light,Medium Fragility
345,Eye Drop Bottle - Redness Relief,Pharmacy,0.05,3,Air,Very Light,Medium Fragility
346,Nasal Spray - Menthol,Pharmacy,0.07,3,Air,Very Light,Medium Fragility
347,Bandage Roll - Sports,Pharmacy,0.24,2,Road,Very Light,Low Fragility
348,Pain Relief Ointment - Cooling,Pharmacy,0.18,3,Road,Very Light,Medium Fragility
349,Water Bottle - Premium Steel,Drinkware,0.75,3,Road,Light,Medium Fragility
350,Water Bottle - Kids,Drinkware,0.5,3,Road,Very Light,Medium Fragility
351,Travel Tumbler - Leak Proof,Drinkware,0.48,3,Road,Very Light,Medium Fragility
352,Thermos Flask - Wide Mouth,Drinkware,0.8,3,Road,Light,Medium Fragility
353,Glass Bottle - Gift Pack,Drinkware,1.7,4,Sea,Light,High Fragility
