material_id,material_type,strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level,co2_emission_norm,biodegradability_norm,recyclability_category,recyclability_score,co2_impact_index,cost_norm,strength_norm,cost_efficiency_index,material_suitability_score
17.0,Biodegradable Film,30.0,8.0,85.0,0.6,65.0,105.0,Food Packaging,Literature,High,0.02107409925220938,0.85,C,0.5,79.65703602991164,0.30851063829787234,0.27835051546391754,48.49199385830226,64.07451494410695
18.0,Aluminum Foil,70.0,20.0,1.0,8.0,90.0,150.0,Food Packaging,Literature,High,0.5241332426920462,0.01,A,1.0,49.33467029231815,0.46808510638297873,0.6907216494845361,61.131827155077865,55.23324872369801
19.0,Glass Bottle,90.0,25.0,0.0,2.5,95.0,120.0,Drinkware,Literature,High,0.15023793337865396,0.0,A,1.0,63.99048266485384,0.3617021276595745,0.8969072164948454,76.76025444176355,70.3753685533087
20.0,Steel Can,80.0,22.0,0.0,6.0,90.0,100.0,Food/Drink,Literature,High,0.38817131203263083,0.0,A,1.0,54.473147518694766,0.2907801418439716,0.7938144329896907,75.15171455728596,64.81243103799036
21.0,Mixed Plastic (HDPE+PET),60.0,15.0,1.0,3.5,60.0,90.0,General Packaging,Estimate,Medium,0.21821889870836164,0.01,C,0.5,46.57124405166554,0.2553191489361702,0.5876288659793815,66.61548585216057,56.59336495191306
22.0,Recycled Mixed Plastic,60.0,15.0,1.0,2.0,70.0,85.0,General Packaging,Estimate,Medium,0.11624745071380013,0.01,B,0.75,58.15010197144799,0.2375886524822695,0.5876288659793815,67.5020106748556,62.82605632315179
23.0,PLA Compostable Pack,50.0,10.0,85.0,0.55,70.0,115.0,Food/Cosmetics,Literature,High,0.017675050985724,0.85,B,0.75,87.29299796057104,0.34397163120567376,0.4845360824742268,57.028222563427654,72.16061026199935
24.0,Paper Pulp Tray,14.0,10.0,80.0,0.9,88.0,50.0,Food Packaging,Estimate,Medium,0.04146838885112169,0.8,B,0.75,84.84126444595513,0.11347517730496454,0.1134020618556701,49.99634422753528,67.41880433674521
25.0,Cardboard Sleeve,16.0,12.0,5.0,1.1,92.0,42.0,Electronics Packaging,Estimate,Medium,0.055064581917063225,0.05,A,1.0,69.29741672331747,0.0851063829787234,0.13402061855670103,52.44571177889888,60.871564251108175
26.0,PLA Clamshell,48.0,9.0,80.0,0.52,70.0,120.0,Food Packaging,Literature,High,0.01563562202583277,0.8,B,0.75,85.87457511896669,0.3617021276595745,0.4639175257731959,55.11076990568107,70.49267251232388
27.0,Recycled Cardboard Box,15.0,15.0,5.0,0.83,95.0,41.0,General Packaging,Literature,High,0.036709721278042146,0.05,A,1.0,70.03161114887831,0.08156028368794327,0.12371134020618557,52.107552825912116,61.06958198739521
28.0,Virgin Cardboard - Heavy Duty,18.0,20.0,5.0,1.2,90.0,48.0,Electronics Packaging,Estimate,Medium,0.06186267845003398,0.05,A,1.0,69.02549286199864,0.10638297872340426,0.15463917525773196,52.41280982671639,60.71915134435751
29.0,Virgin Cardboard - Lightweight,12.0,10.0,5.0,1.1,90.0,42.0,Light Packaging,Estimate,Medium,0.055064581917063225,0.05,A,1.0,69.29741672331747,0.0851063829787234,0.09278350515463918,50.38385610879579,59.840636416056626
30.0,Recycled Cardboard - Heavy Duty,18.0,20.0,5.0,0.85,95.0,43.0,Electronics Packaging,Estimate,Medium,0.038069340584636305,0.05,A,1.0,69.97722637661454,0.08865248226950355,0.15463917525773196,53.29933464941142,61.63828051301298
31.0,Recycled Cardboard - Lightweight,12.0,10.0,5.0,0.8,95.0,38.0,Light Packaging,Estimate,Medium,0.034670292318150914,0.05,A,1.0,70.11318830727397,0.07092198581560284,0.09278350515463918,51.093075966951815,60.603132137112894
32.0,Virgin Cardboard - Food Grade,16.0,15.0,5.0,1.15,90.0,47.0,Food Packaging,Estimate,Medium,0.058463630183548596,0.05,A,1.0,69.16145479265805,0.10283687943262411,0.13402061855670103,51.55918695620385,60.360320874430954
33.0,Recycled Cardboard - Food Grade,16.0,15.0,5.0,0.84,95.0,41.0,Food Packaging,Estimate,Medium,0.037389530931339225,0.05,A,1.0,70.00441876274644,0.08156028368794327,0.13402061855670103,52.62301674343789,61.31371775309216
34.0,Virgin Paper - Coated,6.0,6.0,5.0,0.95,80.0,37.0,Labels & Inserts,Estimate,Medium,0.04486743711760706,0.05,B,0.75,62.20530251529573,0.0673758865248227,0.030927835051546393,48.177597426336185,55.19144997081595
35.0,Virgin Paper - Uncoated,5.0,5.0,5.0,0.9,85.0,34.0,Light Packaging,Literature,High,0.04146838885112169,0.05,B,0.75,62.34126444595513,0.05673758865248227,0.020618556701030927,48.194048402427434,55.26765642419129
36.0,Recycled Paper - Coated,6.0,6.0,5.0,0.65,88.0,32.0,Labels & Inserts,Estimate,Medium,0.02447314751869477,0.05,B,0.75,63.02107409925222,0.04964539007092199,0.030927835051546393,49.06412224903122,56.042598174141716
37.0,Recycled Paper - High Recycle,5.0,5.0,5.0,0.6,92.0,29.0,Light Packaging,Literature,High,0.02107409925220938,0.05,A,1.0,70.65703602991162,0.03900709219858156,0.020618556701030927,49.08057322512247,59.86880462751705
38.0,Virgin Paper - Kraft,7.0,7.0,5.0,0.93,85.0,36.0,Mailers,Literature,High,0.04350781781101292,0.05,B,0.75,62.25968728755949,0.06382978723404255,0.041237113402061855,48.87036630840097,55.565026797980224
39.0,Recycled Paper - Kraft,7.0,7.0,5.0,0.64,90.0,31.0,Mailers,Literature,High,0.02379333786539769,0.05,A,1.0,70.54826648538409,0.04609929078014184,0.041237113402061855,49.756891131096,60.152578808240044
40.0,PLA Bioplastic - Rigid,52.0,11.0,80.0,0.52,70.0,122.0,Food Packaging,Literature,High,0.01563562202583277,0.8,B,0.75,85.87457511896669,0.36879432624113473,0.5051546391752577,56.818015646706144,71.34629538283642
41.0,PLA Bioplastic - Flexible,48.0,9.0,80.0,0.48,70.0,118.0,Food/Cosmetic,Literature,High,0.012916383412644459,0.8,B,0.75,85.98334466349422,0.3546099290780142,0.4639175257731959,55.46537983475908,70.72436224912664
42.0,PLA Bioplastic - Transparent,50.0,10.0,80.0,0.51,70.0,121.0,Food/Cosmetic,Estimate,Medium,0.01495581237253569,0.8,B,0.75,85.90176750509858,0.36524822695035464,0.4845360824742268,55.964392776193606,70.9330801406461
43.0,PLA Bioplastic - Industrial Grade,55.0,12.0,75.0,0.6,65.0,130.0,Electronics Packaging,Estimate,Medium,0.02107409925220938,0.75,C,0.5,76.65703602991162,0.3971631205673759,0.5360824742268041,56.94596768297141,66.80150185644152
44.0,PLA Bioplastic - Home Compost Grade,45.0,9.0,85.0,0.48,70.0,119.0,Food Packaging,Literature,High,0.012916383412644459,0.85,B,0.75,87.48334466349422,0.35815602836879434,0.4329896907216495,53.74168311764276,70.6125138905685
45.0,Compostable Plastic - Starch Blend,38.0,7.0,88.0,0.58,68.0,108.0,Food Packaging,Literature,High,0.019714479945615225,0.88,C,0.5,80.61142080217539,0.3191489361702128,0.36082474226804123,52.08379030489142,66.34760555353341
46.0,Compostable Plastic - High Barrier,42.0,8.0,82.0,0.62,70.0,112.0,Food Packaging,Estimate,Medium,0.022433718558803536,0.82,B,0.75,86.20265125764786,0.3333333333333333,0.4020618556701031,53.4364261168385,69.81953868724318
47.0,Compostable Plastic - Film,35.0,6.0,90.0,0.55,70.0,106.0,Snack Packaging,Estimate,Medium,0.017675050985724,0.9,B,0.75,88.79299796057104,0.3120567375886525,0.32989690721649484,50.89200848139212,69.84250322098158
48.0,Compostable Plastic - Rigid Tray,40.0,8.0,85.0,0.6,70.0,111.0,Ready Meals,Estimate,Medium,0.02107409925220938,0.85,B,0.75,87.15703602991162,0.32978723404255317,0.38144329896907214,52.58280324632595,69.86991963811879
49.0,Compostable Plastic - Cold Use,37.0,7.0,88.0,0.57,70.0,109.0,Salad Packaging,Estimate,Medium,0.01903467029231815,0.88,B,0.75,88.13861318830727,0.32269503546099293,0.35051546391752575,51.39102142282663,69.76481730556695
50.0,Conventional Plastic PET - Bottle Grade,62.0,18.0,1.0,3.1,50.0,82.0,Beverage Bottles,Literature,High,0.19102651257647857,0.01,C,0.5,47.65893949694087,0.22695035460992907,0.6082474226804123,69.06485340352417,58.36189645023252
51.0,Conventional Plastic PET - Sheet,58.0,15.0,1.0,2.9,50.0,78.0,Blister Packs,Literature,High,0.17743031951053703,0.01,C,0.5,48.202787219578525,0.2127659574468085,0.5670103092783505,67.7122175915771,57.95750240557781
52.0,Conventional Plastic PET - Film,55.0,14.0,1.0,2.8,50.0,76.0,Flex Packaging,Estimate,Medium,0.17063222297756625,0.01,C,0.5,48.47471108089735,0.20567375886524822,0.5360824742268041,66.5204357680778,57.49757342448758
53.0,Conventional Plastic PET - High Clarity,60.0,16.0,1.0,3.0,50.0,81.0,Display Packaging,Literature,High,0.18422841604350781,0.01,C,0.5,47.93086335825969,0.22340425531914893,0.5876288659793815,68.21123053301163,58.07104694563566
54.0,Conventional Plastic PET - Reheat Grade,63.0,18.0,1.0,3.2,50.0,83.0,Bottle Preforms,Estimate,Medium,0.19782460910944935,0.01,C,0.5,47.387015635622035,0.23049645390070922,0.6185567010309279,69.40301235651093,58.39501399606648
55.0,Conventional Plastic HDPE - Blow Molding,68.0,20.0,1.0,3.2,55.0,88.0,Bottles & Jerrycans,Literature,High,0.19782460910944935,0.01,C,0.5,47.387015635622035,0.24822695035460993,0.6701030927835051,71.09380712144475,59.240411378533395
56.0,Conventional Plastic HDPE - Injection Grade,62.0,17.0,1.0,3.0,55.0,84.0,Caps & Closures,Literature,High,0.18422841604350781,0.01,C,0.5,47.93086335825969,0.23404255319148937,0.6082474226804123,68.71024347444614,58.32055341635292
57.0,Conventional Plastic HDPE - Film,58.0,16.0,1.0,2.9,55.0,82.0,Bags & Liners,Estimate,Medium,0.17743031951053703,0.01,C,0.5,48.202787219578525,0.22695035460992907,0.5670103092783505,67.00299773342107,57.6028924764998
58.0,Conventional Plastic HDPE - High Rigidity,70.0,21.0,1.0,3.3,55.0,89.0,Industrial Pails,Estimate,Medium,0.2046227056424201,0.01,C,0.5,47.115091774303195,0.25177304964539005,0.6907216494845361,71.9474299919573,59.53126088313025
59.0,Conventional Plastic HDPE - Food Grade,65.0,18.0,1.0,3.1,55.0,86.0,Food Containers,Literature,High,0.19102651257647857,0.01,C,0.5,47.65893949694087,0.24113475177304963,0.6391752577319587,69.90202529794544,58.78048239744315
60.0,Recycled PET - Clear,60.0,15.0,1.0,1.9,75.0,92.0,Bottles,Estimate,Medium,0.10944935418082935,0.01,B,0.75,58.422025832766835,0.2624113475177305,0.5876288659793815,66.26087592308254,62.341450877924686
61.0,Recycled PET - Colored,58.0,14.0,1.0,1.7,70.0,88.0,Straps & Fibers,Estimate,Medium,0.09585316111488781,0.01,B,0.75,58.96587355540448,0.24822695035460993,0.5670103092783505,65.93916794618703,62.452520750795756
62.0,Recycled PET - Sheet Grade,59.0,15.0,1.0,1.8,75.0,90.0,Blister Packs,Literature,High,0.1026512576478586,0.01,B,0.75,58.69394969408566,0.2553191489361702,0.5773195876288659,66.1000219346348,62.39698581436023
63.0,Recycled PET - Film Grade,57.0,14.0,1.0,1.75,70.0,89.0,Flex Packaging,Estimate,Medium,0.0992522093813732,0.01,B,0.75,58.829911624745066,0.25177304964539005,0.5567010309278351,65.24639906412226,62.03815534443366
64.0,Recycled PET - High Recycled Content,60.0,15.0,1.0,1.6,80.0,93.0,Bottles & Trays,Estimate,Medium,0.08905506458191706,0.01,B,0.75,59.237797416723325,0.26595744680851063,0.5876288659793815,66.08357095854353,62.66068418763343
65.0,Sugarcane Bagasse - Plate Grade,12.0,7.0,90.0,0.42,80.0,52.0,Food Service Ware,Literature,High,0.008837525492861998,0.9,B,0.75,89.14649898028551,0.12056737588652482,0.09278350515463918,48.61080646340572,68.87865272184561
66.0,Sugarcane Bagasse - Bowl Grade,11.0,6.0,92.0,0.39,80.0,49.0,Food Service Ware,Literature,High,0.00679809653297077,0.92,B,0.75,89.82807613868117,0.1099290780141844,0.08247422680412371,48.627257439496965,69.22766678908907
67.0,Sugarcane Bagasse - Clamshell,13.0,8.0,88.0,0.43,78.0,53.0,Takeaway Packaging,Estimate,Medium,0.009517335146159076,0.88,B,0.75,88.51930659415365,0.12411347517730496,0.10309278350515463,48.94896541639248,68.73413600527306
68.0,Sugarcane Bagasse - Thick Tray,14.0,9.0,85.0,0.45,78.0,55.0,Ready Meals,Estimate,Medium,0.01087695445275323,0.85,B,0.75,87.56492182188987,0.13120567375886524,0.1134020618556701,49.109819404840245,68.33737061336505
69.0,Sugarcane Bagasse - Thin Tray,10.0,5.0,92.0,0.38,82.0,48.0,Snacks & Bakery,Estimate,Medium,0.006118286879673693,0.92,B,0.75,89.85526852481306,0.10638297872340426,0.07216494845360824,48.2890984865102,69.07218350566163
70.0,Wood Pulp Molded Fiber - Corner Protector,11.0,8.0,85.0,0.52,75.0,57.0,Electronics Packaging,Literature,High,0.01563562202583277,0.85,B,0.75,87.37457511896669,0.13829787234042554,0.08247422680412371,47.20881772318491,67.2916964210758
71.0,Wood Pulp Molded Fiber - Insert,9.0,5.0,88.0,0.48,75.0,54.0,Electronics Packaging,Literature,High,0.012916383412644459,0.88,B,0.75,88.38334466349423,0.1276595744680851,0.061855670103092786,46.709804781750385,67.54657472262231
72.0,Wood Pulp Molded Fiber - Tray,10.0,6.0,86.0,0.5,75.0,56.0,Furniture & Appliances,Estimate,Medium,0.014276002719238614,0.86,B,0.75,87.72895989123045,0.1347517730496454,0.07216494845360824,46.87065877019814,67.2998093307143
73.0,Wood Pulp Molded Fiber - Thicker Grade,12.0,8.0,82.0,0.55,70.0,59.0,Heavy Goods,Estimate,Medium,0.017675050985724,0.82,B,0.75,86.39299796057104,0.1453900709219858,0.09278350515463918,47.36967171163267,66.88133483610186
74.0,Wood Pulp Molded Fiber - Thin Grade,8.0,4.0,90.0,0.47,78.0,52.0,Consumer Electronics,Estimate,Medium,0.012236573759347382,0.9,B,0.75,89.01053704962611,0.12056737588652482,0.05154639175257732,46.54895079330263,67.77974392146437
75.0,Corrugated Paperboard - Single Wall,16.0,20.0,5.0,1.2,92.0,48.0,Shipping Boxes,Literature,High,0.06186267845003398,0.05,A,1.0,69.02549286199864,0.10638297872340426,0.13402061855670103,51.381881991664834,60.203687426831735
76.0,Corrugated Paperboard - Double Wall,18.0,25.0,5.0,1.25,92.0,50.0,Heavy Duty Boxes,Literature,High,0.06526172671651936,0.05,A,1.0,68.88953093133922,0.11347517730496454,0.15463917525773196,52.05819989763838,60.4738654144888
77.0,Corrugated Paperboard - Triple Wall,20.0,30.0,5.0,1.3,92.0,55.0,Bulky Appliances,Estimate,Medium,0.06866077498300475,0.05,A,1.0,68.75356900067982,0.13120567375886524,0.17525773195876287,52.20260290999488,60.47808595533735
78.0,Corrugated Paperboard - Lightweight,14.0,15.0,5.0,1.1,92.0,45.0,E-commerce Boxes,Estimate,Medium,0.055064581917063225,0.05,A,1.0,69.29741672331747,0.09574468085106383,0.1134020618556701,50.88286905023032,60.09014288677389
79.0,Corrugated Paperboard - Recycled Core,16.0,20.0,5.0,1.0,94.0,46.0,General Packaging,Estimate,Medium,0.04826648538409245,0.05,A,1.0,69.56934058463631,0.09929078014184398,0.13402061855670103,51.73649192074286,60.65291625268958
80.0,Cotton Fabric Wrap - Single Layer,18.0,7.0,90.0,0.58,70.0,95.0,Gift Packaging,Estimate,Medium,0.019714479945615225,0.9,B,0.75,88.71142080217538,0.2730496453900709,0.15463917525773196,44.079476493383055,66.39544864777922
81.0,Cotton Fabric Wrap - Double Layer,22.0,9.0,88.0,0.62,70.0,105.0,Reusable Wraps,Estimate,Medium,0.022433718558803536,0.88,B,0.75,88.00265125764787,0.30851063829787234,0.1958762886597938,44.368282518096066,66.18546688787197
82.0,Cotton Fabric Wrap - Printed,20.0,8.0,90.0,0.6,68.0,102.0,Brand Packaging,Estimate,Medium,0.02107409925220938,0.9,C,0.5,81.15703602991164,0.2978723404255319,0.17525773195876287,43.86926957666155,62.513152803286594
83.0,Cotton Fabric Wrap - Organic,19.0,8.0,92.0,0.55,72.0,110.0,Premium Packaging,Estimate,Medium,0.017675050985724,0.92,B,0.75,89.39299796057104,0.3262411347517731,0.16494845360824742,41.935365942823715,65.66418195169737
84.0,Cotton Fabric Wrap - Heavy Weave,24.0,10.0,85.0,0.65,70.0,115.0,Carry Bags,Estimate,Medium,0.02447314751869477,0.85,B,0.75,87.0210740992522,0.34397163120567376,0.21649484536082475,43.62616070775755,65.32361740350487
85.0,Jute Bag - Light,22.0,10.0,95.0,0.48,85.0,85.0,Grocery Bags,Literature,High,0.012916383412644459,0.95,B,0.75,90.48334466349422,0.2375886524822695,0.1958762886597938,47.914381808876215,69.19886323618522
86.0,Jute Bag - Medium,25.0,12.0,95.0,0.5,85.0,90.0,Carry Bags,Literature,High,0.014276002719238614,0.95,B,0.75,90.42895989123045,0.2553191489361702,0.2268041237113402,48.5742487387585,69.50160431499447
87.0,Jute Bag - Heavy,28.0,15.0,93.0,0.52,85.0,95.0,Multi-use Bags,Estimate,Medium,0.01563562202583277,0.93,B,0.75,89.7745751189667,0.2730496453900709,0.25773195876288657,49.23411566864078,69.50434539380373
88.0,Jute Bag - Laminated,27.0,14.0,80.0,0.7,75.0,98.0,Industrial Bags,Estimate,Medium,0.027872195785180146,0.8,B,0.75,85.3851121685928,0.28368794326241137,0.24742268041237114,48.18673685749799,66.78592451304539
89.0,Jute Bag - Organic,26.0,13.0,96.0,0.49,88.0,100.0,Premium Retail,Estimate,Medium,0.013596193065941536,0.96,B,0.75,90.75615227736235,0.2907801418439716,0.23711340206185566,47.3166630108942,69.03640764412827
90.0,PLA Sheet - Thin,48.0,10.0,80.0,0.54,70.0,120.0,Bakery Lids,Estimate,Medium,0.016995241332426924,0.8,B,0.75,85.82019034670293,0.3617021276595745,0.4639175257731959,55.11076990568107,70.465480126192
91.0,PLA Sheet - Medium,50.0,12.0,80.0,0.55,70.0,125.0,Food Trays,Literature,High,0.017675050985724,0.8,B,0.75,85.79299796057104,0.37943262411347517,0.4845360824742268,55.25517291803759,70.52408543930432
92.0,PLA Sheet - Thick,52.0,14.0,78.0,0.6,68.0,130.0,Clamshells,Estimate,Medium,0.02107409925220938,0.78,C,0.5,77.55703602991163,0.3971631205673759,0.5051546391752577,55.399575930394086,66.47830598015285
93.0,PLA Sheet - Anti-fog,49.0,11.0,80.0,0.56,70.0,128.0,Fresh Produce,Estimate,Medium,0.01835486063902108,0.8,B,0.75,85.76580557443916,0.3900709219858156,0.4742268041237113,54.20779410689478,69.98679984066698
94.0,PLA Sheet - High Transparency,51.0,12.0,80.0,0.55,70.0,127.0,Display Packs,Estimate,Medium,0.017675050985724,0.8,B,0.75,85.79299796057104,0.38652482269503546,0.4948453608247423,55.416026906485335,70.60451243352819
95.0,Polylactic Acid Blend - Flexible,42.0,9.0,82.0,0.49,70.0,116.0,Sachets,Estimate,Medium,0.013596193065941536,0.82,B,0.75,86.55615227736234,0.3475177304964539,0.4020618556701031,52.72720625868246,69.6416792680224
96.0,Polylactic Acid Blend - Rigid,47.0,11.0,78.0,0.52,70.0,120.0,Tubs & Cups,Estimate,Medium,0.01563562202583277,0.78,B,0.75,85.2745751189667,0.3617021276595745,0.4536082474226804,54.595305988155296,69.93494055356099
97.0,Polylactic Acid Blend - High Impact,50.0,12.0,75.0,0.58,68.0,124.0,Electronics Blisters,Estimate,Medium,0.019714479945615225,0.75,C,0.5,76.71142080217538,0.375886524822695,0.4845360824742268,55.43247788257659,66.07194934237599
98.0,Polylactic Acid Blend - Transparent,45.0,10.0,80.0,0.5,70.0,118.0,Display Cartons,Literature,High,0.014276002719238614,0.8,B,0.75,85.92895989123045,0.3546099290780142,0.4329896907216495,53.91898808218176,69.9239739867061
99.0,Polylactic Acid Blend - Home Compost,40.0,8.0,85.0,0.48,72.0,115.0,Food/Cosmetic,Estimate,Medium,0.012916383412644459,0.85,B,0.75,87.48334466349422,0.34397163120567376,0.38144329896907214,51.87358338816992,69.67846402583207
100.0,Biodegradable Film - Starch Based,28.0,7.0,88.0,0.58,65.0,102.0,Snack Wraps,Literature,High,0.019714479945615225,0.88,C,0.5,80.61142080217539,0.2978723404255319,0.25773195876288657,47.99298091686774,64.30220085952156
101.0,Biodegradable Film - Cellulose Based,32.0,8.0,82.0,0.62,70.0,108.0,Overwrap,Estimate,Medium,0.022433718558803536,0.82,B,0.75,86.20265125764786,0.3191489361702128,0.29896907216494845,48.99100679973678,67.59682902869233
102.0,Biodegradable Film - Barrier,30.0,8.0,85.0,0.6,65.0,105.0,Snack Packaging,Literature,High,0.02107409925220938,0.85,C,0.5,79.65703602991164,0.30851063829787234,0.27835051546391754,48.49199385830226,64.07451494410695
103.0,Biodegradable Film - Compost Home,26.0,6.0,90.0,0.55,68.0,100.0,Food Wrap,Estimate,Medium,0.017675050985724,0.9,C,0.5,81.29299796057104,0.2907801418439716,0.23711340206185566,47.3166630108942,64.30483048573262
104.0,Biodegradable Film - Industrial,34.0,9.0,80.0,0.65,60.0,110.0,Frozen Foods,Estimate,Medium,0.02447314751869477,0.8,C,0.5,78.02107409925222,0.3262411347517731,0.31958762886597936,49.667324705710314,63.844199402481266
105.0,Aluminum Foil - Thin Household,60.0,12.0,1.0,7.5,90.0,130.0,Food Wrap,Literature,High,0.49014276002719237,0.01,A,1.0,50.69428959891231,0.3971631205673759,0.5876288659793815,59.52328727060028,55.10878843475629
106.0,Aluminum Foil - Thick Catering,75.0,22.0,1.0,8.2,90.0,155.0,Food Trays,Literature,High,0.5377294357579877,0.01,A,1.0,48.79082256968049,0.4858156028368794,0.7422680412371134,62.8226219200117,55.8067222448461
107.0,Aluminum Foil - Laminated,70.0,20.0,1.0,8.5,85.0,160.0,Snack Wrap,Estimate,Medium,0.5581237253569001,0.01,B,0.75,40.475050985723996,0.5035460992907801,0.6907216494845361,59.3587775096878,49.9169142477059
108.0,Aluminum Foil - Pharma Grade,72.0,18.0,1.0,8.3,92.0,165.0,Blister Packs,Estimate,Medium,0.5445275322909586,0.01,A,1.0,48.51889870836166,0.5212765957446809,0.711340206185567,59.50318052204431,54.01103961520299
109.0,Aluminum Foil - Industrial,80.0,25.0,1.0,8.8,90.0,170.0,Insulation,Estimate,Medium,0.5785180149558125,0.01,A,1.0,47.1592794017675,0.5390070921985816,0.7938144329896907,62.74036703955546,54.94982322066148
110.0,Glass Bottle - Lightweight,85.0,18.0,0.0,2.3,95.0,115.0,Beverage,Estimate,Medium,0.13664174031271242,0.0,A,1.0,64.53433038749151,0.34397163120567376,0.845360824742268,75.06945967682972,69.80189503216062
111.0,Glass Bottle - Returnable,95.0,28.0,0.0,2.7,98.0,125.0,Beverage Refill,Literature,High,0.16383412644459552,0.0,A,1.0,63.446634942216185,0.37943262411347517,0.9484536082474226,78.45104920669738,70.94884207445678
112.0,Glass Bottle - Amber,90.0,25.0,0.0,2.6,95.0,122.0,Beverages & Pharma,Literature,High,0.15703602991162474,0.0,A,1.0,63.71855880353501,0.36879432624113473,0.8969072164948454,76.40564451268553,70.06210165811027
113.0,Glass Bottle - Fluted,92.0,26.0,0.0,2.5,95.0,124.0,Premium Drinks,Estimate,Medium,0.15023793337865396,0.0,A,1.0,63.99048266485384,0.375886524822695,0.9175257731958762,77.08196241865906,70.53622254175644
114.0,Glass Bottle - Thick Wall,100.0,30.0,0.0,2.8,95.0,130.0,Spirits,Estimate,Medium,0.17063222297756625,0.0,A,1.0,63.17471108089735,0.3971631205673759,1.0,80.1418439716312,71.65827752626427
115.0,Steel Can - Thin Wall,75.0,18.0,0.0,5.8,90.0,95.0,Foods,Literature,High,0.37457511896668927,0.0,A,1.0,55.01699524133243,0.2730496453900709,0.7422680412371134,73.46091979235212,64.23895751684228
