material_id,material_type,strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level,co2_emission_norm,biodegradability_norm,recyclability_category,recyclability_score,co2_impact_index,strength_norm,capacity_norm,cost_norm,inv_cost_norm,cost_efficiency_index
36.0,Recycled Paper - Coated,6.0,6.0,5.0,0.65,88.0,32.0,Labels & Inserts,Estimate,Medium,0.02447314751869477,0.05,B,0.75,63.02107409925222,0.030927835051546393,0.0026702269692923898,0.04964539007092199,0.950354609929078,29.827858509012973
37.0,Recycled Paper - High Recycle,5.0,5.0,5.0,0.6,92.0,29.0,Light Packaging,Literature,High,0.02107409925220938,0.05,A,1.0,70.65703602991162,0.020618556701030927,0.0020026702269692926,0.03900709219858156,0.9609929078014184,29.714609608892868
38.0,Virgin Paper - Kraft,7.0,7.0,5.0,0.93,85.0,36.0,Mailers,Literature,High,0.04350781781101292,0.05,B,0.75,62.25968728755949,0.041237113402061855,0.0033377837116154874,0.06382978723404255,0.9361702127659575,29.834724430409665
39.0,Recycled Paper - Kraft,7.0,7.0,5.0,0.64,90.0,31.0,Mailers,Literature,High,0.02379333786539769,0.05,A,1.0,70.54826648538409,0.041237113402061855,0.0033377837116154874,0.04609929078014184,0.9539007092198581,30.366639324026686
40.0,PLA Bioplastic - Rigid,52.0,11.0,80.0,0.52,70.0,122.0,Food Packaging,Literature,High,0.01563562202583277,0.8,B,0.75,85.87457511896669,0.5051546391752577,0.006008010680907877,0.36879432624113473,0.6312056737588653,39.3225961002035
41.0,PLA Bioplastic - Flexible,48.0,9.0,80.0,0.48,70.0,118.0,Food/Cosmetic,Literature,High,0.012916383412644459,0.8,B,0.75,85.98334466349422,0.4639175257731959,0.004672897196261682,0.3546099290780142,0.6453900709219857,38.058590074475255
42.0,PLA Bioplastic - Transparent,50.0,10.0,80.0,0.51,70.0,121.0,Food/Cosmetic,Estimate,Medium,0.01495581237253569,0.8,B,0.75,85.90176750509858,0.4845360824742268,0.0053404539385847796,0.36524822695035464,0.6347517730496454,38.58421010861598
43.0,PLA Bioplastic - Industrial Grade,55.0,12.0,75.0,0.6,65.0,130.0,Electronics Packaging,Estimate,Medium,0.02107409925220938,0.75,C,0.5,76.65703602991162,0.5360824742268041,0.006675567423230975,0.3971631205673759,0.6028368794326241,39.728672374747816
44.0,PLA Bioplastic - Home Compost Grade,45.0,9.0,85.0,0.48,70.0,119.0,Food Packaging,Literature,High,0.012916383412644459,0.85,B,0.75,87.48334466349422,0.4329896907216495,0.004672897196261682,0.35815602836879434,0.6418439716312057,36.71509369369
45.0,Compostable Plastic - Starch Blend,38.0,7.0,88.0,0.58,68.0,108.0,Food Packaging,Literature,High,0.019714479945615225,0.88,C,0.5,80.61142080217539,0.36082474226804123,0.0033377837116154874,0.3191489361702128,0.6808510638297872,34.95865511696373
46.0,Compostable Plastic - High Barrier,42.0,8.0,82.0,0.62,70.0,112.0,Food Packaging,Estimate,Medium,0.022433718558803536,0.82,B,0.75,86.20265125764786,0.4020618556701031,0.004005340453938585,0.3333333333333333,0.6666666666666667,36.20263444042228
47.0,Compostable Plastic - Film,35.0,6.0,90.0,0.55,70.0,106.0,Snack Packaging,Estimate,Medium,0.017675050985724,0.9,B,0.75,88.79299796057104,0.32989690721649484,0.0026702269692923898,0.3120567375886525,0.6879432624113475,33.91428097007899
48.0,Compostable Plastic - Rigid Tray,40.0,8.0,85.0,0.6,70.0,111.0,Ready Meals,Estimate,Medium,0.02107409925220938,0.85,B,0.75,87.15703602991162,0.38144329896907214,0.004005340453938585,0.32978723404255317,0.6702127659574468,35.48427515110445
49.0,Compostable Plastic - Cold Use,37.0,7.0,88.0,0.57,70.0,109.0,Salad Packaging,Estimate,Medium,0.01903467029231815,0.88,B,0.75,88.13861318830727,0.35051546391752575,0.0033377837116154874,0.32269503546099293,0.677304964539007,34.439901004219706
50.0,Conventional Plastic PET - Bottle Grade,62.0,18.0,1.0,3.1,50.0,82.0,Beverage Bottles,Literature,High,0.19102651257647857,0.01,C,0.5,47.65893949694087,0.6082474226804123,0.010680907877169559,0.22695035460992907,0.7730496453900709,47.84181350523371
51.0,Conventional Plastic PET - Sheet,58.0,15.0,1.0,2.9,50.0,78.0,Blister Packs,Literature,High,0.17743031951053703,0.01,C,0.5,48.202787219578525,0.5670103092783505,0.008678237650200267,0.2127659574468085,0.7872340425531915,46.55778077723578
52.0,Conventional Plastic PET - Film,55.0,14.0,1.0,2.8,50.0,76.0,Flex Packaging,Estimate,Medium,0.17063222297756625,0.01,C,0.5,48.47471108089735,0.5360824742268041,0.00801068090787717,0.20567375886524822,0.7943262411347518,45.51340663035104
53.0,Conventional Plastic PET - High Clarity,60.0,16.0,1.0,3.0,50.0,81.0,Display Packaging,Literature,High,0.18422841604350781,0.01,C,0.5,47.93086335825969,0.5876288659793815,0.009345794392523364,0.22340425531914893,0.7765957446808511,47.0834008113765
54.0,Conventional Plastic PET - Reheat Grade,63.0,18.0,1.0,3.2,50.0,83.0,Bottle Preforms,Estimate,Medium,0.19782460910944935,0.01,C,0.5,47.387015635622035,0.6185567010309279,0.010680907877169559,0.23049645390070922,0.7695035460992907,48.14780166053092
55.0,Conventional Plastic HDPE - Blow Molding,68.0,20.0,1.0,3.2,55.0,88.0,Bottles & Jerrycans,Literature,High,0.19782460910944935,0.01,C,0.5,47.387015635622035,0.6701030927835051,0.012016021361815754,0.24822695035460993,0.75177304964539,49.71779584155638
56.0,Conventional Plastic HDPE - Injection Grade,62.0,17.0,1.0,3.0,55.0,84.0,Caps & Closures,Literature,High,0.18422841604350781,0.01,C,0.5,47.93086335825969,0.6082474226804123,0.010013351134846462,0.23404255319148937,0.7659574468085106,47.60902084551721
57.0,Conventional Plastic HDPE - Film,58.0,16.0,1.0,2.9,55.0,82.0,Bags & Liners,Estimate,Medium,0.17743031951053703,0.01,C,0.5,48.202787219578525,0.5670103092783505,0.009345794392523364,0.22695035460992907,0.7730496453900709,46.15227556461185
58.0,Conventional Plastic HDPE - High Rigidity,70.0,21.0,1.0,3.3,55.0,89.0,Industrial Pails,Estimate,Medium,0.2046227056424201,0.01,C,0.5,47.115091774303195,0.6907216494845361,0.012683578104138851,0.25177304964539005,0.74822695035461,50.45618183314391
59.0,Conventional Plastic HDPE - Food Grade,65.0,18.0,1.0,3.1,55.0,86.0,Food Containers,Literature,High,0.19102651257647857,0.01,C,0.5,47.65893949694087,0.6391752577319587,0.010680907877169559,0.24113475177304963,0.7588652482269503,48.65339499240194
60.0,Recycled PET - Clear,60.0,15.0,1.0,1.9,75.0,92.0,Bottles,Estimate,Medium,0.10944935418082935,0.01,B,0.75,58.422025832766835,0.5876288659793815,0.008678237650200267,0.2624113475177305,0.7375886524822695,45.89316134314935
61.0,Recycled PET - Colored,58.0,14.0,1.0,1.7,70.0,88.0,Straps & Fibers,Estimate,Medium,0.09585316111488781,0.01,B,0.75,58.96587355540448,0.5670103092783505,0.00801068090787717,0.24822695035460993,0.75177304964539,45.47392428773204
62.0,Recycled PET - Sheet Grade,59.0,15.0,1.0,1.8,75.0,90.0,Blister Packs,Literature,High,0.1026512576478586,0.01,B,0.75,58.69394969408566,0.5773195876288659,0.008678237650200267,0.2553191489361702,0.7446808510638299,45.69355616657555
63.0,Recycled PET - Film Grade,57.0,14.0,1.0,1.75,70.0,89.0,Flex Packaging,Estimate,Medium,0.0992522093813732,0.01,B,0.75,58.829911624745066,0.5567010309278351,0.00801068090787717,0.25177304964539005,0.74822695035461,44.95517017498801
64.0,Recycled PET - High Recycled Content,60.0,15.0,1.0,1.6,80.0,93.0,Bottles & Trays,Estimate,Medium,0.08905506458191706,0.01,B,0.75,59.237797416723325,0.5876288659793815,0.008678237650200267,0.26595744680851063,0.7340425531914894,45.78677836442595
65.0,Sugarcane Bagasse - Plate Grade,12.0,7.0,90.0,0.42,80.0,52.0,Food Service Ware,Literature,High,0.008837525492861998,0.9,B,0.75,89.14649898028551,0.09278350515463918,0.0033377837116154874,0.12056737588652482,0.8794326241134752,30.194452440938285
66.0,Sugarcane Bagasse - Bowl Grade,11.0,6.0,92.0,0.39,80.0,49.0,Food Service Ware,Literature,High,0.00679809653297077,0.92,B,0.75,89.82807613868117,0.08247422680412371,0.0026702269692923898,0.1099290780141844,0.8900709219858156,30.081203540818187
67.0,Sugarcane Bagasse - Clamshell,13.0,8.0,88.0,0.43,78.0,53.0,Takeaway Packaging,Estimate,Medium,0.009517335146159076,0.88,B,0.75,88.51930659415365,0.10309278350515463,0.004005340453938585,0.12411347517730496,0.875886524822695,30.52046729850519
68.0,Sugarcane Bagasse - Thick Tray,14.0,9.0,85.0,0.45,78.0,55.0,Ready Meals,Estimate,Medium,0.01087695445275323,0.85,B,0.75,87.56492182188987,0.1134020618556701,0.004672897196261682,0.13120567375886524,0.8687943262411347,30.740099177348696
69.0,Sugarcane Bagasse - Thin Tray,10.0,5.0,92.0,0.38,82.0,48.0,Snacks & Bakery,Estimate,Medium,0.006118286879673693,0.92,B,0.75,89.85526852481306,0.07216494845360824,0.0020026702269692926,0.10638297872340426,0.8936170212765957,29.755188683251284
70.0,Wood Pulp Molded Fiber - Corner Protector,11.0,8.0,85.0,0.52,75.0,57.0,Electronics Packaging,Literature,High,0.01563562202583277,0.85,B,0.75,87.37457511896669,0.08247422680412371,0.004005340453938585,0.13829787234042554,0.8617021276595744,29.270193115570336
71.0,Wood Pulp Molded Fiber - Insert,9.0,5.0,88.0,0.48,75.0,54.0,Electronics Packaging,Literature,High,0.012916383412644459,0.88,B,0.75,88.38334466349423,0.061855670103092786,0.0020026702269692926,0.1276595744680851,0.8723404255319149,28.70451967689024
72.0,Wood Pulp Molded Fiber - Tray,10.0,6.0,86.0,0.5,75.0,56.0,Furniture & Appliances,Estimate,Medium,0.014276002719238614,0.86,B,0.75,87.72895989123045,0.07216494845360824,0.0026702269692923898,0.1347517730496454,0.8652482269503546,28.92415155573374
73.0,Wood Pulp Molded Fiber - Thicker Grade,12.0,8.0,82.0,0.55,70.0,59.0,Heavy Goods,Estimate,Medium,0.017675050985724,0.82,B,0.75,86.39299796057104,0.09278350515463918,0.004005340453938585,0.1453900709219858,0.8546099290780143,29.46979829214415
74.0,Wood Pulp Molded Fiber - Thin Grade,8.0,4.0,90.0,0.47,78.0,52.0,Consumer Electronics,Estimate,Medium,0.012236573759347382,0.9,B,0.75,89.01053704962611,0.05154639175257732,0.0013351134846461949,0.12056737588652482,0.8794326241134752,28.48488779804673
75.0,Corrugated Paperboard - Single Wall,16.0,20.0,5.0,1.2,92.0,48.0,Shipping Boxes,Literature,High,0.06186267845003398,0.05,A,1.0,69.02549286199864,0.13402061855670103,0.012016021361815754,0.10638297872340426,0.8936170212765957,32.52981602142039
76.0,Corrugated Paperboard - Double Wall,18.0,25.0,5.0,1.25,92.0,50.0,Heavy Duty Boxes,Literature,High,0.06526172671651936,0.05,A,1.0,68.88953093133922,0.15463917525773196,0.015353805073431242,0.11347517730496454,0.8865248226950355,33.241925843363276
77.0,Corrugated Paperboard - Triple Wall,20.0,30.0,5.0,1.3,92.0,55.0,Bulky Appliances,Estimate,Medium,0.06866077498300475,0.05,A,1.0,68.75356900067982,0.17525773195876287,0.018691588785046728,0.13120567375886524,0.8687943262411347,33.63488672913596
78.0,Corrugated Paperboard - Lightweight,14.0,15.0,5.0,1.1,92.0,45.0,E-commerce Boxes,Estimate,Medium,0.055064581917063225,0.05,A,1.0,69.29741672331747,0.1134020618556701,0.008678237650200267,0.09574468085106383,0.9042553191489362,31.924089178200898
79.0,Corrugated Paperboard - Recycled Core,16.0,20.0,5.0,1.0,94.0,46.0,General Packaging,Estimate,Medium,0.04826648538409245,0.05,A,1.0,69.56934058463631,0.13402061855670103,0.012016021361815754,0.09929078014184398,0.900709219858156,32.7425819788672
80.0,Cotton Fabric Wrap - Single Layer,18.0,7.0,90.0,0.58,70.0,95.0,Gift Packaging,Estimate,Medium,0.019714479945615225,0.9,B,0.75,88.71142080217538,0.15463917525773196,0.0033377837116154874,0.2730496453900709,0.7269503546099291,28.094211159955613
81.0,Cotton Fabric Wrap - Double Layer,22.0,9.0,88.0,0.62,70.0,105.0,Reusable Wraps,Estimate,Medium,0.022433718558803536,0.88,B,0.75,88.00265125764787,0.1958762886597938,0.004672897196261682,0.30851063829787234,0.6914893617021276,28.71991931334343
82.0,Cotton Fabric Wrap - Printed,20.0,8.0,90.0,0.6,68.0,102.0,Brand Packaging,Estimate,Medium,0.02107409925220938,0.9,C,0.5,81.15703602991164,0.17525773195876287,0.004005340453938585,0.2978723404255319,0.7021276595744681,28.194299279202717
83.0,Cotton Fabric Wrap - Organic,19.0,8.0,92.0,0.55,72.0,110.0,Premium Packaging,Estimate,Medium,0.017675050985724,0.92,B,0.75,89.39299796057104,0.16494845360824742,0.004005340453938585,0.3262411347517731,0.6737588652482269,26.930864315394864
84.0,Cotton Fabric Wrap - Heavy Weave,24.0,10.0,85.0,0.65,70.0,115.0,Carry Bags,Estimate,Medium,0.02447314751869477,0.85,B,0.75,87.0210740992522,0.21649484536082475,0.0053404539385847796,0.34397163120567376,0.6560283687943262,28.50085849642032
85.0,Jute Bag - Light,22.0,10.0,95.0,0.48,85.0,85.0,Grocery Bags,Literature,High,0.012916383412644459,0.95,B,0.75,90.48334466349422,0.1958762886597938,0.0053404539385847796,0.2375886524822695,0.7624113475177305,30.867605590081208
86.0,Jute Bag - Medium,25.0,12.0,95.0,0.5,85.0,90.0,Carry Bags,Literature,High,0.014276002719238614,0.95,B,0.75,90.42895989123045,0.2268041237113402,0.006675567423230975,0.2553191489361702,0.7446808510638299,31.612857503065435
87.0,Jute Bag - Heavy,28.0,15.0,93.0,0.52,85.0,95.0,Multi-use Bags,Estimate,Medium,0.01563562202583277,0.93,B,0.75,89.7745751189667,0.25773195876288657,0.008678237650200267,0.2730496453900709,0.7269503546099291,32.37813611831935
88.0,Jute Bag - Laminated,27.0,14.0,80.0,0.7,75.0,98.0,Industrial Bags,Estimate,Medium,0.027872195785180146,0.8,B,0.75,85.3851121685928,0.24742268041237114,0.00801068090787717,0.28368794326241137,0.7163120567375887,31.626589345858825
89.0,Jute Bag - Organic,26.0,13.0,96.0,0.49,88.0,100.0,Premium Retail,Estimate,Medium,0.013596193065941536,0.96,B,0.75,90.75615227736235,0.23711340206185566,0.007343124165554072,0.2907801418439716,0.7092198581560284,30.9814255521217
90.0,PLA Sheet - Thin,48.0,10.0,80.0,0.54,70.0,120.0,Bakery Lids,Estimate,Medium,0.016995241332426924,0.8,B,0.75,85.82019034670293,0.4639175257731959,0.0053404539385847796,0.3617021276595745,0.6382978723404256,37.86585081929814
91.0,PLA Sheet - Medium,50.0,12.0,80.0,0.55,70.0,125.0,Food Trays,Literature,High,0.017675050985724,0.8,B,0.75,85.79299796057104,0.4845360824742268,0.006675567423230975,0.37943262411347517,0.6205673758865249,38.198731598261745
92.0,PLA Sheet - Thick,52.0,14.0,78.0,0.6,68.0,130.0,Clamshells,Estimate,Medium,0.02107409925220938,0.78,C,0.5,77.55703602991163,0.5051546391752577,0.00801068090787717,0.3971631205673759,0.6028368794326241,38.53161237722534
93.0,PLA Sheet - Anti-fog,49.0,11.0,80.0,0.56,70.0,128.0,Fresh Produce,Estimate,Medium,0.01835486063902108,0.8,B,0.75,85.76580557443916,0.4742268041237113,0.006008010680907877,0.3900709219858156,0.6099290780141844,37.447184825801216
94.0,PLA Sheet - High Transparency,51.0,12.0,80.0,0.55,70.0,127.0,Display Packs,Estimate,Medium,0.017675050985724,0.8,B,0.75,85.79299796057104,0.4948453608247423,0.006675567423230975,0.38652482269503546,0.6134751773049645,38.398336774835556
95.0,Polylactic Acid Blend - Flexible,42.0,9.0,82.0,0.49,70.0,116.0,Sachets,Estimate,Medium,0.013596193065941536,0.82,B,0.75,86.55615227736234,0.4020618556701031,0.004672897196261682,0.3475177304964539,0.6524822695035462,35.79712922779836
96.0,Polylactic Acid Blend - Rigid,47.0,11.0,78.0,0.52,70.0,120.0,Tubs & Cups,Estimate,Medium,0.01563562202583277,0.78,B,0.75,85.2745751189667,0.4536082474226804,0.006008010680907877,0.3617021276595745,0.6382978723404256,37.47350638754722
97.0,Polylactic Acid Blend - High Impact,50.0,12.0,75.0,0.58,68.0,124.0,Electronics Blisters,Estimate,Medium,0.019714479945615225,0.75,C,0.5,76.71142080217538,0.4845360824742268,0.006675567423230975,0.375886524822695,0.624113475177305,38.30511457698515
98.0,Polylactic Acid Blend - Transparent,45.0,10.0,80.0,0.5,70.0,118.0,Display Cartons,Literature,High,0.014276002719238614,0.8,B,0.75,85.92895989123045,0.4329896907216495,0.0053404539385847796,0.3546099290780142,0.6453900709219857,36.84150337468309
99.0,Polylactic Acid Blend - Home Compost,40.0,8.0,85.0,0.48,72.0,115.0,Food/Cosmetic,Estimate,Medium,0.012916383412644459,0.85,B,0.75,87.48334466349422,0.38144329896907214,0.004005340453938585,0.34397163120567376,0.6560283687943262,35.05874323621083
100.0,Biodegradable Film - Starch Based,28.0,7.0,88.0,0.58,65.0,102.0,Snack Wraps,Literature,High,0.019714479945615225,0.88,C,0.5,80.61142080217539,0.25773195876288657,0.0033377837116154874,0.2978723404255319,0.7021276595744681,31.47324164909797
101.0,Biodegradable Film - Cellulose Based,32.0,8.0,82.0,0.62,70.0,108.0,Overwrap,Estimate,Medium,0.022433718558803536,0.82,B,0.75,86.20265125764786,0.29896907216494845,0.004005340453938585,0.3191489361702128,0.6808510638297872,32.50445501510971
102.0,Biodegradable Film - Barrier,30.0,8.0,85.0,0.6,65.0,105.0,Snack Packaging,Literature,High,0.02107409925220938,0.85,C,0.5,79.65703602991164,0.27835051546391754,0.004005340453938585,0.30851063829787234,0.6914893617021276,31.998861683238687
103.0,Biodegradable Film - Compost Home,26.0,6.0,90.0,0.55,68.0,100.0,Food Wrap,Estimate,Medium,0.017675050985724,0.9,C,0.5,81.29299796057104,0.23711340206185566,0.0026702269692923898,0.2907801418439716,0.7092198581560284,30.841238636233847
104.0,Biodegradable Film - Industrial,34.0,9.0,80.0,0.65,60.0,110.0,Frozen Foods,Estimate,Medium,0.02447314751869477,0.8,C,0.5,78.02107409925222,0.31958762886597936,0.004672897196261682,0.3262411347517731,0.6737588652482269,33.13645802797383
105.0,Aluminum Foil - Thin Household,60.0,12.0,1.0,7.5,90.0,130.0,Food Wrap,Literature,High,0.49014276002719237,0.01,A,1.0,50.69428959891231,0.5876288659793815,0.006675567423230975,0.3971631205673759,0.6028368794326241,41.79052804485091
