strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level,co2_emission_norm,biodegradability_norm,recyclability_category,recyclability_score,co2_impact_index,cost_norm,strength_norm,cost_efficiency_index
30.0,8.0,85.0,0.6,65.0,105.0,Food Packaging,Literature,High,0.0210740992522093,0.85,C,0.5,79.65703602991164,0.3085106382978723,0.2783505154639175,48.49199385830226
70.0,20.0,1.0,8.0,90.0,150.0,Food Packaging,Literature,High,0.5241332426920462,0.01,A,1.0,49.33467029231815,0.4680851063829787,0.6907216494845361,61.131827155077865
90.0,25.0,0.0,2.5,95.0,120.0,Drinkware,Literature,High,0.1502379333786539,0.0,A,1.0,63.99048266485384,0.3617021276595745,0.8969072164948454,76.76025444176355
80.0,22.0,0.0,6.0,90.0,100.0,Food/Drink,Literature,High,0.3881713120326308,0.0,A,1.0,54.473147518694766,0.2907801418439716,0.7938144329896907,75.15171455728596
60.0,15.0,1.0,3.5,60.0,90.0,General Packaging,Estimate,Medium,0.2182188987083616,0.01,C,0.5,46.57124405166554,0.2553191489361702,0.5876288659793815,66.61548585216057
60.0,15.0,1.0,2.0,70.0,85.0,General Packaging,Estimate,Medium,0.1162474507138001,0.01,B,0.75,58.15010197144799,0.2375886524822695,0.5876288659793815,67.5020106748556
50.0,10.0,85.0,0.55,70.0,115.0,Food/Cosmetics,Literature,High,0.017675050985724,0.85,B,0.75,87.29299796057104,0.3439716312056737,0.4845360824742268,57.02822256342765
14.0,10.0,80.0,0.9,88.0,50.0,Food Packaging,Estimate,Medium,0.0414683888511216,0.8,B,0.75,84.84126444595513,0.1134751773049645,0.1134020618556701,49.99634422753528
16.0,12.0,5.0,1.1,92.0,42.0,Electronics Packaging,Estimate,Medium,0.0550645819170632,0.05,A,1.0,69.29741672331747,0.0851063829787234,0.134020618556701,52.44571177889888
48.0,9.0,80.0,0.52,70.0,120.0,Food Packaging,Literature,High,0.0156356220258327,0.8,B,0.75,85.87457511896669,0.3617021276595745,0.4639175257731959,55.11076990568107
15.0,15.0,5.0,0.83,95.0,41.0,General Packaging,Literature,High,0.0367097212780421,0.05,A,1.0,70.03161114887831,0.0815602836879432,0.1237113402061855,52.10755282591212
18.0,20.0,5.0,1.2,90.0,48.0,Electronics Packaging,Estimate,Medium,0.0618626784500339,0.05,A,1.0,69.02549286199864,0.1063829787234042,0.1546391752577319,52.41280982671639
12.0,10.0,5.0,1.1,90.0,42.0,Light Packaging,Estimate,Medium,0.0550645819170632,0.05,A,1.0,69.29741672331747,0.0851063829787234,0.0927835051546391,50.38385610879579
18.0,20.0,5.0,0.85,95.0,43.0,Electronics Packaging,Estimate,Medium,0.0380693405846363,0.05,A,1.0,69.97722637661454,0.0886524822695035,0.1546391752577319,53.29933464941142
12.0,10.0,5.0,0.8,95.0,38.0,Light Packaging,Estimate,Medium,0.0346702923181509,0.05,A,1.0,70.11318830727397,0.0709219858156028,0.0927835051546391,51.093075966951815
16.0,15.0,5.0,1.15,90.0,47.0,Food Packaging,Estimate,Medium,0.0584636301835485,0.05,A,1.0,69.16145479265805,0.1028368794326241,0.134020618556701,51.55918695620385
16.0,15.0,5.0,0.84,95.0,41.0,Food Packaging,Estimate,Medium,0.0373895309313392,0.05,A,1.0,70.00441876274644,0.0815602836879432,0.134020618556701,52.62301674343789
6.0,6.0,5.0,0.95,80.0,37.0,Labels & Inserts,Estimate,Medium,0.044867437117607,0.05,B,0.75,62.20530251529573,0.0673758865248227,0.0309278350515463,48.177597426336185
5.0,5.0,5.0,0.9,85.0,34.0,Light Packaging,Literature,High,0.0414683888511216,0.05,B,0.75,62.34126444595513,0.0567375886524822,0.0206185567010309,48.19404840242744
6.0,6.0,5.0,0.65,88.0,32.0,Labels & Inserts,Estimate,Medium,0.0244731475186947,0.05,B,0.75,63.02107409925222,0.0496453900709219,0.0309278350515463,49.06412224903122
5.0,5.0,5.0,0.6,92.0,29.0,Light Packaging,Literature,High,0.0210740992522093,0.05,A,1.0,70.65703602991162,0.0390070921985815,0.0206185567010309,49.08057322512247
7.0,7.0,5.0,0.93,85.0,36.0,Mailers,Literature,High,0.0435078178110129,0.05,B,0.75,62.25968728755949,0.0638297872340425,0.0412371134020618,48.87036630840097
7.0,7.0,5.0,0.64,90.0,31.0,Mailers,Literature,High,0.0237933378653976,0.05,A,1.0,70.54826648538409,0.0460992907801418,0.0412371134020618,49.756891131096
52.0,11.0,80.0,0.52,70.0,122.0,Food Packaging,Literature,High,0.0156356220258327,0.8,B,0.75,85.87457511896669,0.3687943262411347,0.5051546391752577,56.818015646706144
48.0,9.0,80.0,0.48,70.0,118.0,Food/Cosmetic,Literature,High,0.0129163834126444,0.8,B,0.75,85.98334466349422,0.3546099290780142,0.4639175257731959,55.46537983475908
50.0,10.0,80.0,0.51,70.0,121.0,Food/Cosmetic,Estimate,Medium,0.0149558123725356,0.8,B,0.75,85.90176750509858,0.3652482269503546,0.4845360824742268,55.964392776193606
55.0,12.0,75.0,0.6,65.0,130.0,Electronics Packaging,Estimate,Medium,0.0210740992522093,0.75,C,0.5,76.65703602991162,0.3971631205673759,0.5360824742268041,56.94596768297141
45.0,9.0,85.0,0.48,70.0,119.0,Food Packaging,Literature,High,0.0129163834126444,0.85,B,0.75,87.48334466349422,0.3581560283687943,0.4329896907216495,53.74168311764276
38.0,7.0,88.0,0.58,68.0,108.0,Food Packaging,Literature,High,0.0197144799456152,0.88,C,0.5,80.61142080217539,0.3191489361702128,0.3608247422680412,52.08379030489142
42.0,8.0,82.0,0.62,70.0,112.0,Food Packaging,Estimate,Medium,0.0224337185588035,0.82,B,0.75,86.20265125764786,0.3333333333333333,0.4020618556701031,53.4364261168385
35.0,6.0,90.0,0.55,70.0,106.0,Snack Packaging,Estimate,Medium,0.017675050985724,0.9,B,0.75,88.79299796057104,0.3120567375886525,0.3298969072164948,50.89200848139212
40.0,8.0,85.0,0.6,70.0,111.0,Ready Meals,Estimate,Medium,0.0210740992522093,0.85,B,0.75,87.15703602991162,0.3297872340425531,0.3814432989690721,52.58280324632595
37.0,7.0,88.0,0.57,70.0,109.0,Salad Packaging,Estimate,Medium,0.0190346702923181,0.88,B,0.75,88.13861318830727,0.3226950354609929,0.3505154639175257,51.39102142282663
62.0,18.0,1.0,3.1,50.0,82.0,Beverage Bottles,Literature,High,0.1910265125764785,0.01,C,0.5,47.65893949694087,0.226950354609929,0.6082474226804123,69.06485340352417
58.0,15.0,1.0,2.9,50.0,78.0,Blister Packs,Literature,High,0.177430319510537,0.01,C,0.5,48.202787219578525,0.2127659574468085,0.5670103092783505,67.7122175915771
55.0,14.0,1.0,2.8,50.0,76.0,Flex Packaging,Estimate,Medium,0.1706322229775662,0.01,C,0.5,48.47471108089735,0.2056737588652482,0.5360824742268041,66.5204357680778
60.0,16.0,1.0,3.0,50.0,81.0,Display Packaging,Literature,High,0.1842284160435078,0.01,C,0.5,47.93086335825969,0.2234042553191489,0.5876288659793815,68.21123053301163
63.0,18.0,1.0,3.2,50.0,83.0,Bottle Preforms,Estimate,Medium,0.1978246091094493,0.01,C,0.5,47.38701563562204,0.2304964539007092,0.6185567010309279,69.40301235651093
68.0,20.0,1.0,3.2,55.0,88.0,Bottles & Jerrycans,Literature,High,0.1978246091094493,0.01,C,0.5,47.38701563562204,0.2482269503546099,0.6701030927835051,71.09380712144475
62.0,17.0,1.0,3.0,55.0,84.0,Caps & Closures,Literature,High,0.1842284160435078,0.01,C,0.5,47.93086335825969,0.2340425531914893,0.6082474226804123,68.71024347444614
58.0,16.0,1.0,2.9,55.0,82.0,Bags & Liners,Estimate,Medium,0.177430319510537,0.01,C,0.5,48.202787219578525,0.226950354609929,0.5670103092783505,67.00299773342107
70.0,21.0,1.0,3.3,55.0,89.0,Industrial Pails,Estimate,Medium,0.2046227056424201,0.01,C,0.5,47.1150917743032,0.25177304964539,0.6907216494845361,71.9474299919573
65.0,18.0,1.0,3.1,55.0,86.0,Food Containers,Literature,High,0.1910265125764785,0.01,C,0.5,47.65893949694087,0.2411347517730496,0.6391752577319587,69.90202529794544
60.0,15.0,1.0,1.9,75.0,92.0,Bottles,Estimate,Medium,0.1094493541808293,0.01,B,0.75,58.42202583276684,0.2624113475177305,0.5876288659793815,66.26087592308254
58.0,14.0,1.0,1.7,70.0,88.0,Straps & Fibers,Estimate,Medium,0.0958531611148878,0.01,B,0.75,58.96587355540448,0.2482269503546099,0.5670103092783505,65.93916794618703
59.0,15.0,1.0,1.8,75.0,90.0,Blister Packs,Literature,High,0.1026512576478586,0.01,B,0.75,58.69394969408566,0.2553191489361702,0.5773195876288659,66.1000219346348
57.0,14.0,1.0,1.75,70.0,89.0,Flex Packaging,Estimate,Medium,0.0992522093813732,0.01,B,0.75,58.829911624745066,0.25177304964539,0.5567010309278351,65.24639906412226
60.0,15.0,1.0,1.6,80.0,93.0,Bottles & Trays,Estimate,Medium,0.089055064581917,0.01,B,0.75,59.237797416723325,0.2659574468085106,0.5876288659793815,66.08357095854353
12.0,7.0,90.0,0.42,80.0,52.0,Food Service Ware,Literature,High,0.0088375254928619,0.9,B,0.75,89.14649898028551,0.1205673758865248,0.0927835051546391,48.61080646340572
11.0,6.0,92.0,0.39,80.0,49.0,Food Service Ware,Literature,High,0.0067980965329707,0.92,B,0.75,89.82807613868117,0.1099290780141844,0.0824742268041237,48.627257439496965
13.0,8.0,88.0,0.43,78.0,53.0,Takeaway Packaging,Estimate,Medium,0.009517335146159,0.88,B,0.75,88.51930659415365,0.1241134751773049,0.1030927835051546,48.94896541639248
14.0,9.0,85.0,0.45,78.0,55.0,Ready Meals,Estimate,Medium,0.0108769544527532,0.85,B,0.75,87.56492182188987,0.1312056737588652,0.1134020618556701,49.109819404840245
10.0,5.0,92.0,0.38,82.0,48.0,Snacks & Bakery,Estimate,Medium,0.0061182868796736,0.92,B,0.75,89.85526852481306,0.1063829787234042,0.0721649484536082,48.2890984865102
11.0,8.0,85.0,0.52,75.0,57.0,Electronics Packaging,Literature,High,0.0156356220258327,0.85,B,0.75,87.37457511896669,0.1382978723404255,0.0824742268041237,47.20881772318491
9.0,5.0,88.0,0.48,75.0,54.0,Electronics Packaging,Literature,High,0.0129163834126444,0.88,B,0.75,88.38334466349423,0.1276595744680851,0.0618556701030927,46.70980478175039
10.0,6.0,86.0,0.5,75.0,56.0,Furniture & Appliances,Estimate,Medium,0.0142760027192386,0.86,B,0.75,87.72895989123045,0.1347517730496454,0.0721649484536082,46.87065877019814
12.0,8.0,82.0,0.55,70.0,59.0,Heavy Goods,Estimate,Medium,0.017675050985724,0.82,B,0.75,86.39299796057104,0.1453900709219858,0.0927835051546391,47.36967171163267
8.0,4.0,90.0,0.47,78.0,52.0,Consumer Electronics,Estimate,Medium,0.0122365737593473,0.9,B,0.75,89.01053704962611,0.1205673758865248,0.0515463917525773,46.54895079330263
16.0,20.0,5.0,1.2,92.0,48.0,Shipping Boxes,Literature,High,0.0618626784500339,0.05,A,1.0,69.02549286199864,0.1063829787234042,0.134020618556701,51.381881991664834
18.0,25.0,5.0,1.25,92.0,50.0,Heavy Duty Boxes,Literature,High,0.0652617267165193,0.05,A,1.0,68.88953093133922,0.1134751773049645,0.1546391752577319,52.05819989763838
20.0,30.0,5.0,1.3,92.0,55.0,Bulky Appliances,Estimate,Medium,0.0686607749830047,0.05,A,1.0,68.75356900067982,0.1312056737588652,0.1752577319587628,52.20260290999488
14.0,15.0,5.0,1.1,92.0,45.0,E-commerce Boxes,Estimate,Medium,0.0550645819170632,0.05,A,1.0,69.29741672331747,0.0957446808510638,0.1134020618556701,50.88286905023032
16.0,20.0,5.0,1.0,94.0,46.0,General Packaging,Estimate,Medium,0.0482664853840924,0.05,A,1.0,69.56934058463631,0.0992907801418439,0.134020618556701,51.73649192074286
18.0,7.0,90.0,0.58,70.0,95.0,Gift Packaging,Estimate,Medium,0.0197144799456152,0.9,B,0.75,88.71142080217538,0.2730496453900709,0.1546391752577319,44.079476493383055
22.0,9.0,88.0,0.62,70.0,105.0,Reusable Wraps,Estimate,Medium,0.0224337185588035,0.88,B,0.75,88.00265125764787,0.3085106382978723,0.1958762886597938,44.36828251809607
20.0,8.0,90.0,0.6,68.0,102.0,Brand Packaging,Estimate,Medium,0.0210740992522093,0.9,C,0.5,81.15703602991164,0.2978723404255319,0.1752577319587628,43.86926957666155
19.0,8.0,92.0,0.55,72.0,110.0,Premium Packaging,Estimate,Medium,0.017675050985724,0.92,B,0.75,89.39299796057104,0.3262411347517731,0.1649484536082474,41.93536594282372
24.0,10.0,85.0,0.65,70.0,115.0,Carry Bags,Estimate,Medium,0.0244731475186947,0.85,B,0.75,87.0210740992522,0.3439716312056737,0.2164948453608247,43.62616070775755
22.0,10.0,95.0,0.48,85.0,85.0,Grocery Bags,Literature,High,0.0129163834126444,0.95,B,0.75,90.48334466349422,0.2375886524822695,0.1958762886597938,47.914381808876215
25.0,12.0,95.0,0.5,85.0,90.0,Carry Bags,Literature,High,0.0142760027192386,0.95,B,0.75,90.42895989123043,0.2553191489361702,0.2268041237113402,48.5742487387585
28.0,15.0,93.0,0.52,85.0,95.0,Multi-use Bags,Estimate,Medium,0.0156356220258327,0.93,B,0.75,89.7745751189667,0.2730496453900709,0.2577319587628865,49.23411566864078
27.0,14.0,80.0,0.7,75.0,98.0,Industrial Bags,Estimate,Medium,0.0278721957851801,0.8,B,0.75,85.3851121685928,0.2836879432624113,0.2474226804123711,48.18673685749799
26.0,13.0,96.0,0.49,88.0,100.0,Premium Retail,Estimate,Medium,0.0135961930659415,0.96,B,0.75,90.75615227736236,0.2907801418439716,0.2371134020618556,47.3166630108942
48.0,10.0,80.0,0.54,70.0,120.0,Bakery Lids,Estimate,Medium,0.0169952413324269,0.8,B,0.75,85.82019034670293,0.3617021276595745,0.4639175257731959,55.11076990568107
50.0,12.0,80.0,0.55,70.0,125.0,Food Trays,Literature,High,0.017675050985724,0.8,B,0.75,85.79299796057104,0.3794326241134751,0.4845360824742268,55.25517291803759
52.0,14.0,78.0,0.6,68.0,130.0,Clamshells,Estimate,Medium,0.0210740992522093,0.78,C,0.5,77.55703602991163,0.3971631205673759,0.5051546391752577,55.399575930394086
49.0,11.0,80.0,0.56,70.0,128.0,Fresh Produce,Estimate,Medium,0.018354860639021,0.8,B,0.75,85.76580557443916,0.3900709219858156,0.4742268041237113,54.20779410689478
51.0,12.0,80.0,0.55,70.0,127.0,Display Packs,Estimate,Medium,0.017675050985724,0.8,B,0.75,85.79299796057104,0.3865248226950354,0.4948453608247423,55.416026906485335
42.0,9.0,82.0,0.49,70.0,116.0,Sachets,Estimate,Medium,0.0135961930659415,0.82,B,0.75,86.55615227736234,0.3475177304964539,0.4020618556701031,52.72720625868246
47.0,11.0,78.0,0.52,70.0,120.0,Tubs & Cups,Estimate,Medium,0.0156356220258327,0.78,B,0.75,85.2745751189667,0.3617021276595745,0.4536082474226804,54.595305988155296
50.0,12.0,75.0,0.58,68.0,124.0,Electronics Blisters,Estimate,Medium,0.0197144799456152,0.75,C,0.5,76.71142080217538,0.375886524822695,0.4845360824742268,55.43247788257659
45.0,10.0,80.0,0.5,70.0,118.0,Display Cartons,Literature,High,0.0142760027192386,0.8,B,0.75,85.92895989123045,0.3546099290780142,0.4329896907216495,53.91898808218176
40.0,8.0,85.0,0.48,72.0,115.0,Food/Cosmetic,Estimate,Medium,0.0129163834126444,0.85,B,0.75,87.48334466349422,0.3439716312056737,0.3814432989690721,51.87358338816992
28.0,7.0,88.0,0.58,65.0,102.0,Snack Wraps,Literature,High,0.0197144799456152,0.88,C,0.5,80.61142080217539,0.2978723404255319,0.2577319587628865,47.99298091686774
32.0,8.0,82.0,0.62,70.0,108.0,Overwrap,Estimate,Medium,0.0224337185588035,0.82,B,0.75,86.20265125764786,0.3191489361702128,0.2989690721649484,48.99100679973678
30.0,8.0,85.0,0.6,65.0,105.0,Snack Packaging,Literature,High,0.0210740992522093,0.85,C,0.5,79.65703602991164,0.3085106382978723,0.2783505154639175,48.49199385830226
26.0,6.0,90.0,0.55,68.0,100.0,Food Wrap,Estimate,Medium,0.017675050985724,0.9,C,0.5,81.29299796057104,0.2907801418439716,0.2371134020618556,47.3166630108942
34.0,9.0,80.0,0.65,60.0,110.0,Frozen Foods,Estimate,Medium,0.0244731475186947,0.8,C,0.5,78.02107409925222,0.3262411347517731,0.3195876288659793,49.66732470571032
60.0,12.0,1.0,7.5,90.0,130.0,Food Wrap,Literature,High,0.4901427600271923,0.01,A,1.0,50.69428959891231,0.3971631205673759,0.5876288659793815,59.52328727060028
75.0,22.0,1.0,8.2,90.0,155.0,Food Trays,Literature,High,0.5377294357579877,0.01,A,1.0,48.79082256968049,0.4858156028368794,0.7422680412371134,62.8226219200117
70.0,20.0,1.0,8.5,85.0,160.0,Snack Wrap,Estimate,Medium,0.5581237253569001,0.01,B,0.75,40.475050985724,0.5035460992907801,0.6907216494845361,59.3587775096878
72.0,18.0,1.0,8.3,92.0,165.0,Blister Packs,Estimate,Medium,0.5445275322909586,0.01,A,1.0,48.51889870836166,0.5212765957446809,0.711340206185567,59.50318052204431
80.0,25.0,1.0,8.8,90.0,170.0,Insulation,Estimate,Medium,0.5785180149558125,0.01,A,1.0,47.1592794017675,0.5390070921985816,0.7938144329896907,62.74036703955546
85.0,18.0,0.0,2.3,95.0,115.0,Beverage,Estimate,Medium,0.1366417403127124,0.0,A,1.0,64.53433038749151,0.3439716312056737,0.845360824742268,75.06945967682972
95.0,28.0,0.0,2.7,98.0,125.0,Beverage Refill,Literature,High,0.1638341264445955,0.0,A,1.0,63.446634942216185,0.3794326241134751,0.9484536082474226,78.45104920669738
90.0,25.0,0.0,2.6,95.0,122.0,Beverages & Pharma,Literature,High,0.1570360299116247,0.0,A,1.0,63.71855880353501,0.3687943262411347,0.8969072164948454,76.40564451268553
92.0,26.0,0.0,2.5,95.0,124.0,Premium Drinks,Estimate,Medium,0.1502379333786539,0.0,A,1.0,63.99048266485384,0.375886524822695,0.9175257731958762,77.08196241865906
100.0,30.0,0.0,2.8,95.0,130.0,Spirits,Estimate,Medium,0.1706322229775662,0.0,A,1.0,63.17471108089735,0.3971631205673759,1.0,80.1418439716312
75.0,18.0,0.0,5.8,90.0,95.0,Foods,Literature,High,0.3745751189666892,0.0,A,1.0,55.01699524133243,0.2730496453900709,0.7422680412371134,73.46091979235212
85.0,24.0,0.0,6.2,90.0,105.0,Bulk Foods,Literature,High,0.4017675050985724,0.0,A,1.0,53.92929979605711,0.3085106382978723,0.845360824742268,76.84250932221978
80.0,20.0,0.0,6.1,88.0,102.0,Personal Care,Estimate,Medium,0.3949694085656016,0.0,B,0.75,46.701223657375934,0.2978723404255319,0.7938144329896907,74.79710462820795
78.0,19.0,0.0,6.0,90.0,100.0,Ready Foods,Estimate,Medium,0.3881713120326308,0.0,A,1.0,54.473147518694766,0.2907801418439716,0.7731958762886598,74.12078672223441
80.0,22.0,0.0,6.2,90.0,108.0,Premium Foods,Estimate,Medium,0.4017675050985724,0.0,A,1.0,53.92929979605711,0.3191489361702128,0.7938144329896907,73.73327484097389
62.0,16.0,1.0,3.6,60.0,92.0,Trays & Lids,Estimate,Medium,0.2250169952413324,0.01,C,0.5,46.29932019034671,0.2624113475177305,0.6082474226804123,67.29180375813408
58.0,14.0,1.0,3.4,60.0,88.0,Multipack Wrap,Estimate,Medium,0.2114208021753908,0.01,C,0.5,46.84316791298437,0.2482269503546099,0.5670103092783505,65.93916794618703
60.0,15.0,1.0,3.5,55.0,90.0,Snack Packs,Estimate,Medium,0.2182188987083616,0.01,C,0.5,46.57124405166554,0.2553191489361702,0.5876288659793815,66.61548585216057
55.0,12.0,1.0,3.3,50.0,86.0,Cushioning,Estimate,Medium,0.2046227056424201,0.01,C,0.5,47.1150917743032,0.2411347517730496,0.5360824742268041,64.74738612268773
57.0,13.0,1.0,3.4,60.0,89.0,Bottle Bundling,Estimate,Medium,0.2114208021753908,0.01,C,0.5,46.84316791298437,0.25177304964539,0.5567010309278351,65.24639906412226
60.0,15.0,1.0,2.0,70.0,87.0,Pallets,Estimate,Medium,0.1162474507138001,0.01,B,0.75,58.15010197144799,0.2446808510638297,0.5876288659793815,67.14740074577759
55.0,13.0,1.0,1.9,72.0,82.0,Garbage Bags,Estimate,Medium,0.1094493541808293,0.01,B,0.75,58.42202583276684,0.226950354609929,0.5360824742268041,65.45660598084375
58.0,14.0,1.0,2.1,68.0,84.0,Construction Boards,Estimate,Medium,0.1230455472467709,0.01,C,0.5,50.37817811012917,0.2340425531914893,0.5670103092783505,66.64838780434306
62.0,16.0,1.0,2.2,65.0,88.0,Outdoor Furniture,Estimate,Medium,0.1298436437797416,0.01,C,0.5,50.10625424881033,0.2482269503546099,0.6082474226804123,68.00102361629013
50.0,11.0,1.0,1.8,70.0,80.0,Cushioning,Estimate,Medium,0.1026512576478586,0.01,B,0.75,58.69394969408566,0.2198581560283688,0.4845360824742268,63.23389632229291
48.0,9.0,88.0,0.54,70.0,112.0,Snack Trays,Estimate,Medium,0.0169952413324269,0.88,B,0.75,88.22019034670294,0.3333333333333333,0.4639175257731959,56.529209621993125
52.0,11.0,82.0,0.57,68.0,118.0,Meal Trays,Estimate,Medium,0.0190346702923181,0.82,C,0.5,78.83861318830728,0.3546099290780142,0.5051546391752577,57.527235504862176
50.0,10.0,85.0,0.55,70.0,115.0,Fresh Produce,Literature,High,0.017675050985724,0.85,B,0.75,87.29299796057104,0.3439716312056737,0.4845360824742268,57.02822256342765
49.0,10.0,85.0,0.56,70.0,114.0,Premium Packs,Estimate,Medium,0.018354860639021,0.85,B,0.75,87.26580557443916,0.3404255319148936,0.4742268041237113,56.69006361044089
53.0,11.0,80.0,0.58,68.0,120.0,Food/Cosmetics,Estimate,Medium,0.0197144799456152,0.8,C,0.5,78.2114208021754,0.3617021276595745,0.5154639175257731,57.68808949330994
13.0,9.0,80.0,0.88,88.0,49.0,Fruit & Veg,Estimate,Medium,0.0401087695445275,0.8,B,0.75,84.89564921821889,0.1099290780141844,0.1030927835051546,49.65818527454851
15.0,11.0,78.0,0.92,86.0,52.0,Ready Meals,Estimate,Medium,0.0428280081577158,0.78,B,0.75,84.18687967369138,0.1205673758865248,0.1237113402061855,50.15719821598304
14.0,10.0,75.0,0.95,85.0,55.0,Wet Foods,Estimate,Medium,0.044867437117607,0.75,B,0.75,83.20530251529571,0.1312056737588652,0.1134020618556701,49.109819404840245
14.0,10.0,82.0,0.9,88.0,50.0,Dry Foods,Estimate,Medium,0.0414683888511216,0.82,B,0.75,85.44126444595513,0.1134751773049645,0.1134020618556701,49.99634422753528
16.0,12.0,75.0,1.0,85.0,58.0,Meat & Fish,Estimate,Medium,0.0482664853840924,0.75,B,0.75,83.0693405846363,0.1418439716312056,0.134020618556701,49.60883234627477
15.0,10.0,5.0,1.05,92.0,40.0,Food Sleeves,Estimate,Medium,0.0516655336505778,0.05,A,1.0,69.4333786539769,0.0780141843971631,0.1237113402061855,52.28485779045112
17.0,14.0,5.0,1.15,92.0,44.0,Electronics Sleeves,Estimate,Medium,0.0584636301835485,0.05,A,1.0,69.16145479265805,0.0921985815602836,0.1443298969072164,52.60656576734664
16.0,12.0,5.0,1.12,90.0,45.0,Brand Packaging,Estimate,Medium,0.0564242012236573,0.05,A,1.0,69.2430319510537,0.0957446808510638,0.134020618556701,51.91379688528186
16.0,12.0,5.0,0.9,95.0,41.0,General Sleeves,Estimate,Medium,0.0414683888511216,0.05,A,1.0,69.84126444595513,0.0815602836879432,0.134020618556701,52.62301674343789
16.0,12.0,5.0,1.08,92.0,43.0,Eco Sleeves,Estimate,Medium,0.053704962610469,0.05,A,1.0,69.35180149558124,0.0886524822695035,0.134020618556701,52.26840681435988
46.0,8.0,80.0,0.5,70.0,118.0,Fresh Salads,Literature,High,0.0142760027192386,0.8,B,0.75,85.92895989123045,0.3546099290780142,0.4432989690721649,54.434451999707534
48.0,9.0,80.0,0.52,70.0,120.0,Bakery Items,Literature,High,0.0156356220258327,0.8,B,0.75,85.87457511896669,0.3617021276595745,0.4639175257731959,55.11076990568107
49.0,9.0,80.0,0.53,70.0,121.0,Berries & Fruit,Estimate,Medium,0.0163154316791298,0.8,B,0.75,85.8473827328348,0.3652482269503546,0.4742268041237113,55.44892885866784
47.0,8.0,82.0,0.51,70.0,119.0,Desserts,Estimate,Medium,0.0149558123725356,0.82,B,0.75,86.50176750509857,0.3581560283687943,0.4536082474226804,54.7726109526943
