material_type,moisture_resistance_score,thermal_resistance_score,Load Handling Score,CO2 Emission per kg (estimated),Biodegradation Time (days),Reusability (%),Recyclability Category,supplier_sustainability_compliance_pct,Waste Reduction Impact (%),Sustainability Target Progress (%),Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),CII,CEI,MSS
Paper/Bio-Based,1.0,4.0,3.0,0.33,62.0,34.0,High,76.0,69.0,100.0,1.76,71711.0,667.0,83.33391804465614,11.213313201949568,35.435435435435444
Plastic,9.0,7.0,8.0,1.36,36417.0,90.0,Medium,93.0,77.0,85.0,14.36,45723.0,1029.0,13.011689854678345,0.658475693294635,83.7837837837838
Cardboard,5.0,3.0,4.0,0.47,211.0,44.0,High,93.0,62.0,89.0,3.77,98647.0,753.0,55.52181288078052,4.799886232246976,39.939939939939954
Plastic,7.0,7.0,8.0,1.35,15440.0,89.0,Medium,91.0,74.0,84.0,12.18,63839.0,1020.0,13.178554310312105,0.9223535085604051,79.57957957957959
Plastic,9.0,8.0,7.0,1.61,53377.0,16.0,Medium,63.0,31.0,59.0,1.07,31171.0,145.0,9.53728577870563,18.97043766202645,12.612612612612615
Paper/Bio-Based,2.0,3.0,3.0,0.3,81.0,31.0,High,86.0,66.0,99.0,2.74,75019.0,595.0,92.43937294288173,6.910911472955268,31.831831831831842
Cardboard,4.0,3.0,6.0,0.49,96.0,50.0,High,85.0,55.0,83.0,3.14,98658.0,722.0,53.05210482192664,5.926610544444939,38.438438438438446
Plastic,7.0,7.0,9.0,1.52,42997.0,99.0,Medium,86.0,80.0,82.0,14.94,48860.0,978.0,10.656461722448775,0.6012394566611434,89.1891891891892
Plastic,7.0,7.0,8.0,1.55,33532.0,97.0,Medium,97.0,79.0,91.0,14.4,51174.0,959.0,10.2692094969264,0.654380341880342,87.3873873873874
Steel,9.0,10.0,9.0,2.71,63481.0,96.0,High,88.0,85.0,73.0,25.65,24816.0,5014.0,1.8658868052743873,0.009542114805272783,94.89489489489492
Steel,9.0,9.0,8.0,2.98,134415.0,100.0,High,92.0,84.0,72.0,25.95,19847.0,4946.0,0.8483313255966234,0.0,95.79579579579581
Plastic,9.0,7.0,7.0,1.38,40345.0,88.0,Medium,98.0,75.0,79.0,11.82,61482.0,1158.0,12.687355570997049,0.9752937417912038,81.3813813813814
Cardboard,3.0,3.0,6.0,0.49,265.0,45.0,High,90.0,64.0,95.0,2.66,100071.0,782.0,52.849969824715785,7.143295301190038,39.939939939939954
Cardboard,3.0,5.0,5.0,0.52,192.0,51.0,High,92.0,61.0,87.0,2.83,96726.0,713.0,49.31106394261601,6.665184050343061,43.54354354354356
Plastic,9.0,8.0,8.0,1.37,49088.0,10.0,Medium,66.0,27.0,62.0,1.27,29882.0,224.0,12.848164305475091,15.854486720628454,6.606606606606604
Plastic,8.0,8.0,8.0,1.64,93365.0,13.0,Medium,72.0,32.0,54.0,2.18,28979.0,309.0,9.1913224676119,8.89576784072197,10.510510510510514
Plastic,9.0,7.0,9.0,1.45,89889.0,12.0,Medium,70.0,32.0,61.0,1.21,29800.0,153.0,11.622495765462538,16.681115028222468,9.909909909909913
Steel,9.0,9.0,9.0,2.92,72041.0,98.0,High,86.0,89.0,72.0,24.34,23233.0,4984.0,1.0583362911612006,0.05396548124567846,97.5975975975976
Cardboard,5.0,5.0,4.0,0.55,256.0,51.0,High,83.0,59.0,96.0,3.31,102546.0,957.0,46.079707003377365,5.580320988175973,44.14414414414414
Cardboard,5.0,3.0,4.0,0.49,352.0,50.0,High,86.0,65.0,91.0,2.59,97310.0,846.0,52.82159046254685,7.35840735840736,45.34534534534534
Plastic,7.0,7.0,7.0,1.39,13499.0,95.0,Medium,97.0,81.0,88.0,14.96,50168.0,1012.0,12.530228128470714,0.5993449509492288,87.38738738738738
Steel,10.0,10.0,9.0,2.85,65795.0,100.0,High,80.0,88.0,79.0,24.67,20183.0,4942.0,1.3143187905305567,0.04233032202225551,100.0
Paper/Bio-Based,3.0,2.0,1.0,0.31,157.0,33.0,High,75.0,63.0,91.0,1.75,71864.0,550.0,88.98571145020188,11.282051282051283,31.23123123123124
Steel,9.0,10.0,9.0,2.97,169695.0,97.0,High,85.0,83.0,71.0,24.23,19011.0,5005.0,0.8826637340954431,0.057914296461551884,94.2942942942943
Paper/Bio-Based,1.0,3.0,2.0,0.31,104.0,32.0,High,84.0,69.0,95.0,1.83,78051.0,715.0,89.08447911667793,10.753181244984525,33.333333333333336
Plastic,8.0,8.0,7.0,1.5,16331.0,95.0,Medium,95.0,78.0,90.0,14.57,51901.0,1113.0,10.92452860963818,0.6372259632383175,87.3873873873874
Plastic,8.0,8.0,8.0,1.41,98971.0,91.0,Medium,93.0,77.0,91.0,11.76,60578.0,1249.0,12.217776914828448,0.9844322344322345,84.38438438438439
Cardboard,4.0,4.0,4.0,0.49,90.0,52.0,High,89.0,58.0,85.0,3.23,96300.0,867.0,53.07323530486979,5.738740104065183,42.342342342342356
Plastic,9.0,7.0,9.0,1.44,64030.0,94.0,Medium,96.0,75.0,82.0,14.48,51009.0,930.0,11.76835994192919,0.6462575178044792,84.984984984985
Cardboard,5.0,3.0,5.0,0.49,298.0,49.0,High,93.0,51.0,88.0,2.68,99951.0,850.0,52.837254609451016,7.0838986883762995,36.33633633633635
Plastic,9.0,8.0,9.0,1.44,64044.0,10.0,Medium,72.0,32.0,60.0,1.18,27055.0,315.0,11.76835983804774,17.1259531429023,9.609609609609613
Plastic,9.0,7.0,9.0,1.56,69350.0,89.0,Medium,90.0,79.0,83.0,11.28,62593.0,1284.0,10.14290172236732,1.0610400238059814,84.38438438438442
Plastic,8.0,8.0,9.0,1.47,70484.0,89.0,Medium,96.0,72.0,87.0,11.84,60648.0,1209.0,11.337082082368632,0.9722681597681597,80.18018018018017
Plastic,7.0,6.0,9.0,1.61,89963.0,94.0,Medium,100.0,80.0,91.0,15.15,52117.0,941.0,9.537053949175643,0.5815966212005814,85.28528528528531
Plastic,9.0,7.0,7.0,1.6,53148.0,90.0,Medium,88.0,75.0,82.0,12.2,55738.0,1079.0,9.655408947024792,0.9195039932744853,82.58258258258257
Paper/Bio-Based,2.0,2.0,1.0,0.29,176.0,30.0,High,80.0,70.0,100.0,2.61,71749.0,572.0,95.7340649280786,7.295769364734884,32.732732732732735
Plastic,8.0,8.0,8.0,1.46,66060.0,95.0,Medium,94.0,74.0,76.0,11.73,60393.0,1187.0,11.478886668347442,0.9890365389086617,84.984984984985
Cardboard,5.0,5.0,5.0,0.52,115.0,50.0,High,83.0,63.0,91.0,2.8,97679.0,977.0,49.417175715656604,6.745337995337996,45.94594594594596
Cardboard,5.0,5.0,5.0,0.53,148.0,46.0,High,85.0,57.0,89.0,2.91,104546.0,659.0,48.25411914194221,6.459519861581718,39.939939939939954
Cardboard,4.0,5.0,4.0,0.54,218.0,50.0,High,90.0,61.0,88.0,2.95,100824.0,950.0,47.12493380274214,6.360870767650429,43.84384384384385
Cardboard,4.0,4.0,6.0,0.53,287.0,49.0,High,81.0,65.0,89.0,3.62,101365.0,795.0,48.154545795443,5.032582518770365,44.74474474474476
Paper/Bio-Based,2.0,4.0,2.0,0.28,44.0,27.0,High,86.0,69.0,100.0,1.63,75514.0,693.0,100.0,12.17269438128334,32.132132132132135
Steel,9.0,10.0,9.0,2.92,180125.0,93.0,High,92.0,89.0,71.0,25.34,19288.0,5034.0,1.0580828485715372,0.019639660523638414,95.4954954954955
Plastic,7.0,8.0,8.0,1.57,17015.0,10.0,Medium,72.0,31.0,63.0,0.21,28810.0,200.0,10.020015203793115,100.0,7.207207207207205
Plastic,7.0,8.0,9.0,1.57,40031.0,100.0,Medium,98.0,82.0,83.0,14.59,44696.0,1041.0,10.018987013803152,0.6352340828009093,91.89189189189193
Cardboard,3.0,5.0,6.0,0.55,283.0,50.0,High,83.0,64.0,92.0,3.23,102764.0,808.0,46.06836710197457,5.738740104065183,44.74474474474476
Plastic,9.0,6.0,8.0,1.54,50911.0,89.0,Medium,90.0,75.0,82.0,11.34,60692.0,1224.0,10.396373115187206,1.0511093844427177,81.08108108108107
Cardboard,5.0,5.0,6.0,0.48,168.0,54.0,High,78.0,63.0,96.0,2.69,102623.0,782.0,54.209969040341996,7.054531589847576,48.34834834834836
Plastic,8.0,7.0,9.0,1.55,21746.0,83.0,Medium,82.0,76.0,77.0,12.73,59483.0,1150.0,10.269701309367633,0.8472543429338402,78.07807807807811
Plastic,9.0,6.0,9.0,1.62,52824.0,13.0,Medium,69.0,35.0,56.0,2.02,27583.0,373.0,9.420629314760891,9.665004962034667,11.411411411411407
Plastic,9.0,8.0,7.0,1.42,61190.0,9.0,Medium,74.0,32.0,62.0,1.47,27876.0,267.0,12.065994433725177,13.586413586413588,9.009009009009013
Plastic,8.0,6.0,7.0,1.36,70772.0,8.0,Medium,63.0,24.0,61.0,1.91,31964.0,256.0,13.01128425627839,10.268614457096135,0.9009009009009006
Plastic,8.0,7.0,9.0,1.47,46640.0,94.0,Medium,88.0,79.0,75.0,11.69,54650.0,1189.0,11.337302782170905,0.9952123724578814,86.48648648648648
Cardboard,3.0,3.0,6.0,0.51,169.0,46.0,High,90.0,57.0,87.0,2.82,96624.0,825.0,50.47998857901068,6.691712542776374,36.33633633633634
Plastic,9.0,8.0,9.0,1.59,21938.0,7.0,Medium,69.0,34.0,62.0,0.92,29678.0,156.0,9.775829936689941,22.196462957332525,9.009009009009013
Paper/Bio-Based,2.0,3.0,2.0,0.3,171.0,36.0,High,78.0,65.0,91.0,1.23,76655.0,523.0,92.24166082177626,16.39661151856274,34.23423423423423
Plastic,8.0,8.0,9.0,1.53,84051.0,94.0,Medium,89.0,74.0,83.0,11.93,59507.0,1227.0,10.525277160982444,0.9587785782253513,84.38438438438442
Plastic,9.0,8.0,9.0,1.43,78380.0,87.0,Medium,87.0,78.0,80.0,12.68,56260.0,1242.0,11.916038553750514,0.8538123285757355,83.4834834834835
Cardboard,4.0,5.0,4.0,0.52,250.0,48.0,High,87.0,62.0,90.0,3.39,100328.0,741.0,49.274296902294935,5.429378880706315,43.24324324324325
Plastic,9.0,7.0,7.0,1.63,22417.0,89.0,Medium,98.0,79.0,81.0,11.61,59486.0,1210.0,9.306179657914612,1.007691705366124,84.38438438438442
Plastic,9.0,8.0,9.0,1.47,86303.0,86.0,Medium,85.0,82.0,79.0,12.38,56647.0,1236.0,11.337002953582026,0.8942726632548927,85.28528528528531
Plastic,7.0,7.0,8.0,1.45,38391.0,13.0,Medium,63.0,34.0,59.0,1.91,31467.0,196.0,11.622949839116725,10.268614457096135,9.909909909909913
Cardboard,5.0,3.0,5.0,0.54,201.0,44.0,High,85.0,58.0,89.0,2.6,99953.0,717.0,47.13673886510118,7.326967903890981,37.53753753753755
Plastic,9.0,8.0,7.0,1.35,79705.0,10.0,Medium,63.0,32.0,62.0,2.23,28967.0,217.0,13.176965348115417,8.678018543489397,9.609609609609613
Plastic,7.0,7.0,7.0,1.35,65252.0,9.0,Medium,68.0,36.0,59.0,0.84,29535.0,227.0,13.177049905301939,24.38811188811189,8.708708708708706
Cardboard,4.0,5.0,5.0,0.52,312.0,48.0,High,80.0,64.0,83.0,3.18,97331.0,889.0,49.25011062643385,5.8417997097242385,44.44444444444445
Plastic,7.0,7.0,8.0,1.5,32911.0,97.0,Medium,100.0,82.0,90.0,14.55,46054.0,1003.0,10.923589962016539,0.6392233196356907,89.1891891891892
Plastic,8.0,7.0,9.0,1.45,45188.0,3.0,Medium,66.0,26.0,54.0,0.84,29486.0,185.0,11.622830622541827,24.38811188811189,0.0
Paper/Bio-Based,3.0,2.0,3.0,0.31,66.0,31.0,High,80.0,61.0,96.0,2.26,73579.0,650.0,89.25293191776316,8.55199372898488,28.82882882882884
Paper/Bio-Based,3.0,4.0,2.0,0.28,133.0,28.0,High,82.0,67.0,98.0,1.76,75226.0,663.0,99.53723809056837,11.213313201949568,32.43243243243244
Plastic,9.0,8.0,8.0,1.49,89433.0,90.0,Medium,91.0,77.0,77.0,12.25,59603.0,1126.0,11.059148351172194,0.9124209124209124,84.6846846846847
Paper/Bio-Based,3.0,4.0,1.0,0.32,139.0,29.0,High,84.0,63.0,89.0,2.55,76866.0,517.0,85.94348075241342,7.486631016042782,30.630630630630634
Plastic,9.0,7.0,7.0,1.6,51800.0,93.0,Medium,86.0,76.0,78.0,12.22,58486.0,1211.0,9.655423845613164,0.9166638053708429,84.984984984985
Plastic,9.0,7.0,7.0,1.51,81714.0,96.0,Medium,91.0,82.0,90.0,14.87,46774.0,1086.0,10.788698287536867,0.6079103590872252,90.39039039039042
Cardboard,3.0,3.0,5.0,0.52,90.0,49.0,High,80.0,60.0,88.0,3.63,103469.0,862.0,49.49067304763277,5.016471132173612,39.939939939939954
Cardboard,3.0,4.0,4.0,0.47,197.0,50.0,High,87.0,59.0,83.0,3.87,96646.0,743.0,55.53206116754969,4.654776747800003,40.84084084084083
Cardboard,3.0,3.0,5.0,0.54,291.0,53.0,High,85.0,60.0,93.0,2.81,97201.0,880.0,47.08991951529639,6.718429850102449,42.342342342342356
Paper/Bio-Based,3.0,3.0,3.0,0.31,119.0,30.0,High,78.0,64.0,92.0,2.49,76341.0,614.0,89.04759979932402,7.68669081922094,30.930930930930934
Plastic,7.0,7.0,8.0,1.54,19133.0,93.0,Medium,93.0,81.0,84.0,15.74,52785.0,1083.0,10.397365782626661,0.5292145381090745,86.1861861861862
Paper/Bio-Based,2.0,3.0,3.0,0.28,170.0,29.0,High,74.0,58.0,93.0,1.5,67350.0,601.0,99.48744454208492,13.298368298368299,25.82582582582583
Paper/Bio-Based,2.0,2.0,3.0,0.31,122.0,33.0,High,85.0,68.0,91.0,2.02,77375.0,549.0,89.04131217800466,9.665004962034667,33.333333333333336
Steel,9.0,8.0,8.0,3.0,161962.0,96.0,High,91.0,85.0,73.0,25.66,21183.0,5063.0,0.7802214689656406,0.009220449594572688,93.0930930930931
Cardboard,4.0,5.0,4.0,0.51,242.0,52.0,High,88.0,60.0,90.0,3.14,103063.0,782.0,50.4256769655581,5.926610544444939,44.44444444444445
Cardboard,3.0,5.0,6.0,0.52,187.0,46.0,High,83.0,65.0,88.0,2.7,99808.0,719.0,49.315301338928144,7.025382025382026,42.942942942942956
Plastic,9.0,8.0,7.0,1.44,52150.0,86.0,Medium,90.0,79.0,78.0,12.72,59942.0,1268.0,11.768468197571522,0.8485618155429475,83.48348348348347
Plastic,8.0,6.0,7.0,1.4,71775.0,12.0,Medium,67.0,32.0,60.0,1.46,30357.0,178.0,12.372036747363087,13.68505923300444,8.108108108108105
Plastic,8.0,7.0,7.0,1.6,25270.0,96.0,Medium,95.0,76.0,82.0,14.28,48512.0,1065.0,9.656040545918572,0.6667352255587551,85.8858858858859
Plastic,9.0,7.0,8.0,1.42,61952.0,89.0,Medium,89.0,75.0,80.0,12.18,61002.0,1202.0,12.06598831739246,0.9223535085604051,81.98198198198199
Plastic,7.0,7.0,8.0,1.49,35850.0,87.0,Medium,89.0,74.0,80.0,11.55,59371.0,1147.0,11.059656875788871,1.0171646535282899,78.37837837837841
Plastic,7.0,6.0,7.0,1.52,42939.0,97.0,Medium,98.0,80.0,90.0,14.61,48925.0,1033.0,10.656462678342976,0.6332476558349247,87.0870870870871
Cardboard,3.0,3.0,5.0,0.51,152.0,50.0,High,83.0,60.0,88.0,2.69,101662.0,790.0,50.50012538306114,7.054531589847576,40.54054054054054
Steel,10.0,9.0,8.0,3.15,75493.0,99.0,High,89.0,83.0,72.0,24.63,22295.0,4967.0,0.297454186962268,0.043724038851931546,95.4954954954955
Plastic,7.0,6.0,9.0,1.38,66898.0,93.0,Medium,89.0,81.0,87.0,15.71,51480.0,985.0,12.6870562186575,0.531783090662785,85.28528528528531
Paper/Bio-Based,2.0,4.0,2.0,0.29,137.0,33.0,High,79.0,66.0,95.0,1.96,75069.0,637.0,95.78328058509945,9.985847485847488,33.933933933933936
Cardboard,3.0,4.0,5.0,0.55,154.0,48.0,High,86.0,60.0,90.0,3.22,96860.0,862.0,46.15843177343341,5.759095976487281,40.24024024024025
Cardboard,4.0,5.0,6.0,0.5,272.0,48.0,High,92.0,58.0,92.0,2.83,99216.0,778.0,51.60505992457746,6.665184050343061,40.84084084084085
Plastic,8.0,7.0,9.0,1.39,30911.0,95.0,Medium,97.0,82.0,85.0,14.68,52156.0,1113.0,12.528958414432683,0.6263377857383308,88.88888888888891
Plastic,9.0,8.0,8.0,1.48,68093.0,89.0,Medium,92.0,77.0,81.0,12.01,57077.0,1217.0,11.19723745312718,0.9469575664413301,84.08408408408408
Plastic,8.0,7.0,7.0,1.43,25244.0,99.0,Medium,86.0,82.0,82.0,14.41,49673.0,995.0,11.916855695392211,0.6533600565522841,91.29129129129132
Paper/Bio-Based,3.0,4.0,2.0,0.3,177.0,33.0,High,84.0,64.0,96.0,2.2,74542.0,540.0,92.23562892655607,8.80748039838949,33.63363363363364
Cardboard,4.0,4.0,5.0,0.47,310.0,48.0,High,93.0,61.0,90.0,3.31,103175.0,758.0,55.47575934694205,5.580320988175973,41.741741741741755
Plastic,9.0,7.0,9.0,1.6,65985.0,12.0,Medium,69.0,31.0,63.0,1.86,30397.0,298.0,9.655297568026153,10.566583953680729,9.309309309309313
Cardboard,5.0,4.0,5.0,0.52,332.0,50.0,High,84.0,62.0,88.0,2.94,102220.0,740.0,49.24423560800666,6.385281385281386,44.44444444444445
Steel,10.0,9.0,9.0,2.98,103598.0,99.0,High,90.0,82.0,76.0,24.62,21703.0,5063.0,0.8483986640544305,0.04407317567350055,94.89489489489492
Plastic,9.0,6.0,7.0,1.38,29304.0,93.0,Medium,93.0,79.0,83.0,15.11,51095.0,966.0,12.68763973149138,0.5852960187837752,85.8858858858859
Plastic,7.0,6.0,8.0,1.42,10935.0,92.0,Medium,91.0,75.0,81.0,12.59,62098.0,1250.0,12.068279779675883,0.8657479666216761,81.08108108108107
Cardboard,5.0,4.0,4.0,0.51,153.0,53.0,High,86.0,62.0,84.0,2.83,101569.0,765.0,50.49881699402441,6.665184050343061,46.246246246246265
Steel,10.0,8.0,8.0,3.13,99557.0,98.0,High,94.0,83.0,75.0,25.68,19707.0,4939.0,0.35907976303078293,0.008577870727403347,93.993993993994
Paper/Bio-Based,2.0,4.0,2.0,0.3,176.0,32.0,High,83.0,69.0,96.0,2.02,73907.0,597.0,92.23660568231617,9.665004962034667,35.13513513513514
Cardboard,4.0,4.0,6.0,0.52,275.0,49.0,High,92.0,65.0,89.0,3.18,100778.0,819.0,49.2632322130447,5.8417997097242385,44.74474474474476
Plastic,7.0,7.0,8.0,1.48,41427.0,97.0,Medium,97.0,80.0,87.0,15.76,48866.0,1053.0,11.197525089522259,0.5275076023806988,87.98798798798799
Cardboard,4.0,4.0,6.0,0.53,101.0,48.0,High,83.0,62.0,87.0,3.1,103099.0,753.0,48.34979154531338,6.013610045868111,42.342342342342356
Plastic,7.0,6.0,9.0,1.46,50508.0,15.0,Medium,70.0,29.0,61.0,1.33,28859.0,219.0,11.479028495512377,15.102441418230892,7.207207207207212
Cardboard,4.0,4.0,5.0,0.49,242.0,52.0,High,93.0,61.0,93.0,2.8,101569.0,824.0,52.86088268289567,6.745337995337996,44.14414414414414
Paper/Bio-Based,1.0,4.0,3.0,0.31,165.0,33.0,High,80.0,64.0,95.0,1.87,76033.0,680.0,88.97631468650741,10.505715318549543,31.831831831831842
Cardboard,3.0,5.0,5.0,0.48,200.0,51.0,High,84.0,64.0,88.0,3.31,101538.0,816.0,54.18099009230568,5.580320988175973,45.34534534534536
Cardboard,5.0,4.0,5.0,0.51,130.0,52.0,High,88.0,61.0,90.0,2.94,98083.0,782.0,50.534002594581324,6.385281385281386,45.045045045045065
Plastic,8.0,7.0,8.0,1.44,25227.0,96.0,Medium,95.0,79.0,84.0,14.65,51659.0,1010.0,11.769090892668881,0.62929107297708,87.68768768768768
Plastic,8.0,6.0,8.0,1.52,84260.0,94.0,Medium,88.0,78.0,79.0,12.72,55887.0,1184.0,10.65611516670166,0.8485618155429475,84.984984984985
Cardboard,4.0,5.0,4.0,0.51,252.0,48.0,High,85.0,64.0,91.0,2.78,100650.0,782.0,50.42068747725983,6.79973503714511,44.44444444444445
Steel,9.0,9.0,9.0,2.98,153549.0,96.0,High,87.0,82.0,75.0,24.96,22070.0,5036.0,0.8483031169041642,0.03235946745562124,92.19219219219221
Paper/Bio-Based,2.0,3.0,1.0,0.3,179.0,34.0,High,78.0,64.0,96.0,2.5,76742.0,674.0,92.23370815545246,7.652680652680655,32.43243243243244
Plastic,8.0,6.0,7.0,1.38,74533.0,12.0,Medium,67.0,32.0,60.0,1.5,30291.0,257.0,12.687009625813516,13.298368298368299,8.108108108108105
Plastic,7.0,6.0,7.0,1.54,37036.0,87.0,Medium,96.0,72.0,83.0,12.72,57467.0,1176.0,10.396597022977481,0.8485618155429475,76.27627627627629
Plastic,7.0,7.0,8.0,1.5,31940.0,92.0,Medium,89.0,78.0,86.0,14.41,47587.0,975.0,10.923618069059323,0.6533600565522841,83.7837837837838
Plastic,9.0,8.0,8.0,1.49,62453.0,92.0,Medium,90.0,74.0,77.0,12.28,60352.0,1118.0,11.059295332699616,0.9081987502182944,84.08408408408408
Cardboard,4.0,4.0,4.0,0.53,154.0,50.0,High,85.0,59.0,91.0,2.98,103323.0,737.0,48.24610899045798,6.28862189264874,41.741741741741755
Plastic,7.0,7.0,7.0,1.44,76964.0,94.0,Medium,92.0,83.0,90.0,14.65,49673.0,998.0,11.768280081132378,0.62929107297708,87.98798798798799
Steel,10.0,8.0,9.0,3.06,90587.0,98.0,High,93.0,85.0,76.0,25.43,21272.0,4976.0,0.5814943617322648,0.016682753607645373,95.1951951951952
Paper/Bio-Based,3.0,3.0,3.0,0.28,126.0,33.0,High,84.0,67.0,95.0,2.44,71008.0,634.0,99.5499481554966,7.86092322977569,34.53453453453454
Plastic,7.0,7.0,7.0,1.52,40050.0,96.0,Medium,96.0,82.0,90.0,15.25,50106.0,1088.0,10.656513795302128,0.572433031449425,88.5885885885886
Steel,9.0,9.0,10.0,3.07,157790.0,98.0,High,91.0,85.0,73.0,24.33,20573.0,4938.0,0.5489612158171777,0.05432298897157106,95.1951951951952
Plastic,8.0,8.0,9.0,1.6,68326.0,89.0,Medium,86.0,73.0,81.0,12.7,60528.0,1117.0,9.655281768570973,0.851182937797111,80.78078078078079
Cardboard,5.0,5.0,6.0,0.51,157.0,47.0,High,90.0,61.0,90.0,2.77,100871.0,847.0,50.49375011164014,6.8272281268671176,42.942942942942956
Plastic,6.0,7.0,9.0,1.56,41427.0,97.0,Medium,97.0,80.0,89.0,14.68,52156.0,989.0,10.143197458263316,0.6263377857383308,87.0870870870871
Plastic,9.0,7.0,8.0,1.48,28329.0,95.0,Medium,95.0,81.0,85.0,15.75,47124.0,1030.0,11.197864685214451,0.5283605283605284,89.1891891891892
Plastic,8.0,8.0,8.0,1.49,31602.0,12.0,Medium,70.0,30.0,56.0,1.42,31018.0,171.0,11.059770967132437,14.093535572408815,8.708708708708706
Cardboard,5.0,3.0,6.0,0.51,101.0,53.0,High,86.0,61.0,87.0,2.98,103099.0,886.0,50.60120815190851,6.28862189264874,44.74474474474476
Plastic,9.0,6.0,8.0,1.49,60408.0,92.0,Medium,88.0,75.0,77.0,12.01,57077.0,1087.0,11.05931182637585,0.9469575664413301,82.88288288288291
Cardboard,3.0,3.0,5.0,0.55,209.0,49.0,High,86.0,64.0,91.0,3.06,99778.0,745.0,46.10643605327255,6.102884044060515,42.342342342342356
Paper/Bio-Based,3.0,4.0,2.0,0.3,152.0,32.0,High,78.0,64.0,93.0,2.54,72675.0,567.0,92.26390343540064,7.519317952388819,33.033033033033036
Steel,9.0,9.0,9.0,3.13,75493.0,99.0,High,89.0,88.0,74.0,24.63,22295.0,5028.0,0.35917718597465864,0.043724038851931546,97.5975975975976
Cardboard,4.0,5.0,5.0,0.51,168.0,53.0,High,84.0,60.0,94.0,3.37,97003.0,778.0,50.481060285668825,5.466442558430689,45.04504504504505
Plastic,8.0,6.0,7.0,1.41,55740.0,93.0,Medium,97.0,78.0,90.0,14.93,52219.0,1018.0,12.21801536205422,0.6021886129052909,84.38438438438442
