material_id,material_type,strength_mpa,weight_capacity,biodegradability_percent,Co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case
83,Bioplastic,55.5,6.29,85.4,3.9,56.8,50.75,Pharmacy
84,Cardboard,52.1,2.92,86.6,24,82.6,36.22,Household
85,Paper,33.1,4.41,73.6,28.2,91.6,58.43,Industrial Packaging
86,Bioplastic,58.7,11.32,75.3,4.1,77.1,85.96,Pharmacy
87,Paper,32.8,8.5,65.5,24.9,67.7,22.36,Electronics
88,Compostable Film,58.9,8.32,85.2,9.1,83.9,71.4,Food
89,Bioplastic,50.8,9.98,82.7,9.4,63.1,64.11,Electronics
90,Wood Pulp Board,40.2,2.71,95.1,14.6,80.7,55.79,Food
91,Cotton Fiber,43.4,5.29,82.2,17,78.2,43.42,Household
92,Recycled Cardboard,15.5,5,85,2.1,90,45.5,Electronics
93,Bioplastic (PLA),25,3.5,95,1.8,70,120,Food|Pharmacy
94,Sugarcane Bagasse,20,4,98,1.5,85,80.75,Food
95,Mushroom Packaging,12,2.5,100,0.8,75,150,Electronics
96,Corrugated Cardboard,22,10,80,2.5,95,38,Food
97,Kraft Paper,18,3,90,2,88,55,Cosmetics
98,Bamboo Fiber,28,6,92,1.2,80,95,Electronics
99,Cornstarch Foam,8.5,1.5,99,1,65,110,Pharmacy
100,Seaweed Packaging,10,1,100,0.5,60,180,Cosmetics
101,Recycled Paper Pulp,16,4.5,88,2.3,92,42,Pharmacy
102,Hemp Fiber,30,7,94,1.6,82,105,Pharmacy
103,Cellulose Film,14,2,96,1.4,78,125,Food
104,Molded Fiber,19,5.5,87,2.2,90,50,Electronics
105,Palm Leaf,24,4.5,93,1.7,75,88,Food
106,Wood Pulp,21,6.5,85,2.4,86,48,Electronics
107,Cotton Fiber,26,3.8,91,1.9,80,98,Cosmetics
108,Algae-based Plastic,23,3.2,97,1.3,72,140,Food
109,Wheat Straw,17,4.2,89,2,84,65,Pharmacy
110,Rice Husk,13.5,2.8,86,2.6,79,52,Food
111,Coconut Coir,20.5,5,90,1.8,81,72,Electronics
112,Aluminum (thin foil),77.5,15.18,39.9,44,22.5,68.13,Electronics
113,Paper,38.3,8.73,83.4,22.7,60.8,58.65,Apparel
114,Bioplastic,50.3,3,75.3,8.2,66.2,74.56,Pharmacy
115,PLA (Polylactic Acid),60.4,4.2,87.7,5.4,54.6,69.31,Electronics
116,Aluminum (thin foil),92,5.59,35.7,83.3,13.7,145.06,Industrial Packaging
117,Cardboard,37.3,2.12,62.5,28.7,96.7,51.38,Toys
118,Paper,32.8,7,77.2,8.1,78.8,16.55,Food
119,Cardboard,36.5,9.14,70.1,21.6,71.8,38.4,Pharmacy
120,Bioplastic,41.7,11.67,92.5,19,84.7,87.83,Industrial Packaging
121,Glassine,73,18.59,14.4,47.6,13.6,105.55,Food
122,Starch-based Polymer,40.2,10.12,80.3,7.8,67.1,51.27,Pharmacy
123,Compostable Film,47.8,9.82,72.2,19.8,78.6,55.9,Industrial Packaging
124,Sugarcane (Bagasse),38.2,6.35,81.4,7.7,55.2,72.47,Pharmacy
125,Corrugated Fiberboard,51.2,6.42,72.9,6.6,71.8,29.63,Apparel
126,Hemp Fiber,36.5,7.19,89,3.9,82.1,66.84,Food
127,Hemp Fiber,40.8,4.84,94.6,9.9,73.5,48.51,Cosmetics
128,Compostable Film,55.9,4.46,84.7,18.4,52.5,72.83,Toys
129,Molded Pulp,36.4,7.68,68.9,6.9,71,22.25,Apparel
130,PLA (Polylactic Acid),64.2,9.84,75.4,18.2,67,104.6,Pharmacy
131,Hemp Fiber,32.6,7.25,86,3.8,60.3,48.49,Household
132,Cardboard,43.6,0.57,79.9,15.4,68.4,20.39,Electronics
133,Sugarcane (Bagasse),32.1,3.23,97.9,7.2,73.3,63.67,Electronics
134,Molded Pulp,43.1,9.64,69.8,17.4,71.4,27.82,Household
135,Glassine,68.9,2.66,40.5,75.2,14.1,99.01,Apparel
136,Hemp Fiber,28.5,1.84,89.3,17.8,60.9,61.97,Food
137,Compostable Film,58,9.38,76.9,15.4,58.4,90.58,Furniture
138,Starch-based Polymer,60.9,1.99,94.2,8.5,49.3,43.26,Electronics
139,Wood Pulp Board,66.3,6.11,86.4,5.4,79.5,25.19,Toys
140,Cardboard,27.3,7.06,75.1,28.4,65.2,30.35,Industrial Packaging
