material_id,material_type,strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case,co2_impact_index,cost_efficiency_index,material_suitability_score
16,PLA (Polylactic Acid),60.2,10.54,96.5,11.7,65.1,103.86,Furniture,83.85609915862756,54.82868239521292,53.74165405509981
17,Sugarcane (Bagasse),34.1,5.48,93.3,14.7,90.1,43.59,Apparel,90.45336017043265,50.88620944268884,30.335250707547907
18,Wood Pulp Board,30.7,5.99,61.4,16.6,80.6,27.89,Industrial Packaging,75.2938546189031,53.938278267102916,27.662199623681243
19,Bioplastic,52.6,7.5,70.9,3.6,81.1,68.82,Household,83.27336607202803,55.10431754742565,46.71359927357374
20,Cotton Fiber,30.5,6.34,84.1,12.0,53.8,27.84,Food,75.45137526580594,54.424653090856836,28.160158578101747
21,Bioplastic,44.2,6.84,85.7,13.8,76.3,118.07,Food,83.26881430563091,40.14950104340349,37.41370131025078
22,Hemp Fiber,13.8,6.53,85.1,9.0,53.5,26.39,Household,76.72952729012992,49.04274562250136,21.296792241468083
23,Sugarcane (Bagasse),31.5,7.73,95.9,13.1,68.4,34.53,Apparel,84.31908360604108,55.47562383763346,32.733678032158714
24,Cardboard,34.3,5.72,87.9,21.5,70.6,57.97,Pharmacy,79.39390737794963,48.149203574505734,39.882627865686025
25,Wood Pulp Board,32.2,7.51,81.6,20.3,75.9,26.15,Household,79.45435356592762,57.23871344096301,34.2714365952826
26,Bioplastic,67.7,1.16,73.4,3.8,42.0,108.44,Furniture,70.39340626695675,41.84529003895069,41.70341994489395
27,Sugarcane (Bagasse),24.3,5.87,89.0,3.6,72.1,51.04,Furniture,86.46629892843868,46.32534523559453,23.540606852995417
28,PLA (Polylactic Acid),52.5,5.38,87.9,13.8,42.3,69.97,Apparel,72.13785867907009,51.499527207720284,41.396398448543245
29,PLA (Polylactic Acid),42.5,7.88,84.6,17.6,72.9,53.03,Pharmacy,80.38501241968433,55.565897931338334,48.718004324857326
30,Compostable Film,57.0,1.29,87.0,19.0,68.8,71.05,Industrial Packaging,79.30896699763363,46.48320203809179,35.398418899564085
31,Starch-based Polymer,49.0,8.08,83.3,12.3,87.1,70.89,Apparel,86.72467403408206,54.25928175918292,44.04241542969298
32,Compostable Film,57.8,1.78,79.3,17.4,41.2,105.16,Toys,67.4995331250926,39.9839248923498,36.75520215431564
33,Wood Pulp Board,32.5,3.18,64.6,22.4,83.9,54.49,Toys,75.57398481888633,44.302229642052524,23.782966115710213
34,Molded Pulp,49.8,3.18,66.9,23.8,90.7,59.57,Pharmacy,78.2785286071869,49.39297149076584,44.849433181578476
35,PLA (Polylactic Acid),61.3,5.54,80.8,16.2,57.0,114.46,Industrial Packaging,73.96923677498401,45.060240856325095,45.55472972762135
36,Corrugated Fiberboard,37.4,7.63,89.4,7.6,94.3,37.74,Electronics,93.00084474350048,56.72828621816682,42.160095234231896
37,Hemp Fiber,38.8,6.75,86.1,16.3,67.5,25.6,Food,79.467902604681,58.543634566367494,33.95603966636814
38,Cotton Fiber,32.6,7.64,90.9,12.1,70.2,41.13,Electronics,83.54108625411972,54.2687457110485,39.2460762685156
39,PLA (Polylactic Acid),53.7,4.62,89.5,15.8,79.6,103.17,Cosmetics,85.06731438030648,43.391314456952415,39.282797926814425
40,Hemp Fiber,29.9,1.21,90.4,9.1,89.9,44.3,Toys,91.29470420500778,42.544665586329664,18.70458260134239
41,Glassine,56.5,4.11,17.1,98.5,59.5,74.16,Electronics,24.189151561479893,50.02348302545248,47.58938194481282
42,Sugarcane (Bagasse),32.0,1.32,95.6,13.3,53.7,29.67,Toys,78.99923896034994,46.71053439917405,20.18211050540919
43,Glassine,62.4,19.76,28.7,63.4,75.0,192.61,Furniture,45.76309261861551,50.381599380812126,71.42095808383235
44,Starch-based Polymer,47.8,9.55,86.2,10.2,85.3,48.9,Apparel,87.83381572303112,60.9952998109115,45.91396279873811
45,Starch-based Polymer,52.9,6.42,70.3,11.0,42.8,49.51,Food,67.10851897322,57.79939380169008,41.9833361936887
46,Aluminum (thin foil),74.8,15.43,39.2,116.6,40.0,100.0,Electronics,18.877704141622225,68.57348933536346,78.82290676593661
47,Aluminum (thin foil),57.6,17.63,21.2,116.7,11.0,195.78,Industrial Packaging,2.3831775700934577,44.62527941061488,64.7153810149373
48,Hemp Fiber,31.8,1.33,90.5,17.5,73.5,59.62,Apparel,82.69722784278181,40.02270317208412,21.577672378016246
49,Hemp Fiber,30.1,5.81,88.6,12.0,76.3,74.56,Household,84.90479078833071,43.107518213617794,29.97681645567645
50,Cardboard,66.3,3.14,67.3,16.6,73.4,41.26,Apparel,74.84119155823723,59.312831181208225,45.8564072480365
51,Sugarcane (Bagasse),23.5,1.36,98.5,17.8,81.4,54.49,Cosmetics,88.16315684693838,38.22346481631057,15.061363983861353
52,Corrugated Fiberboard,51.4,7.0,66.3,27.8,91.3,57.74,Food,76.90134692249406,56.3448855661471,42.09478708034686
53,Compostable Film,49.2,8.98,87.8,10.1,86.6,109.29,Apparel,88.88406264047424,47.23549145629606,45.75915162899838
54,Starch-based Polymer,66.8,11.86,74.4,13.1,59.0,117.59,Cosmetics,73.49348845233166,56.223381805189064,60.11150986198525
55,Starch-based Polymer,50.3,10.26,94.3,11.0,60.7,61.87,Electronics,81.78577826721447,60.131604857468204,54.698855753838856
56,Cotton Fiber,30.0,6.34,98.0,15.6,61.1,49.78,Apparel,81.63905381220032,49.38699964049213,29.354769356544853
57,Cotton Fiber,30.4,1.73,98.1,11.7,60.3,61.94,Industrial Packaging,82.7365667755045,39.63133432469308,19.931285006849247
58,Glassine,47.0,4.04,43.6,76.8,71.8,132.82,Pharmacy,45.25213187672554,33.51222528725053,44.66296380662334
59,PLA (Polylactic Acid),67.8,10.37,86.0,12.5,83.8,72.28,Household,86.44689636840161,64.28598488480581,61.08237168185775
60,Hemp Fiber,35.2,5.87,84.0,4.2,50.7,44.28,Cosmetics,77.01617349091268,51.7383299498085,30.198091882935536
61,Starch-based Polymer,68.7,7.49,81.4,10.4,85.2,67.86,Industrial Packaging,86.04772008223644,61.08568127773499,53.52941464647568
62,Wood Pulp Board,58.0,4.27,84.3,26.6,96.1,21.62,Food,85.30311907913037,62.44608098735706,41.28903058916039
63,Glassine,71.1,18.68,34.6,53.2,46.7,197.2,Household,41.43538612701637,50.80263859981964,77.82123392610298
64,Corrugated Fiberboard,15.2,6.52,69.4,6.9,64.9,20.76,Food,75.94074751864868,50.77671595803369,19.13416450059755
65,Cardboard,38.9,1.94,65.4,21.0,66.9,30.56,Household,70.38529452953341,49.961764985546736,28.494970559142267
66,Wood Pulp Board,39.2,6.84,66.7,9.8,61.6,22.6,Apparel,72.84101447471288,59.49231334296711,35.85980909468192
67,Bioplastic,64.6,4.06,75.1,4.5,46.0,76.86,Food,72.14847017628712,52.2576558256076,44.94809952788533
68,Bioplastic,49.5,6.54,90.0,3.7,80.0,90.23,Electronics,89.54780372039262,47.74910470286736,47.619300221859554
69,Cardboard,25.6,1.28,94.1,28.0,62.3,27.46,Furniture,76.42379881220678,44.8379446679505,16.20225822456182
70,Cotton Fiber,34.9,2.13,84.0,7.9,71.8,59.0,Electronics,83.12873843647589,42.52440904518979,30.888490450053506
71,Hemp Fiber,36.1,3.46,88.8,14.0,51.7,38.88,Industrial Packaging,75.67498084872045,49.48977821668832,26.477860225354398
72,Hemp Fiber,34.6,4.48,90.1,3.7,70.1,54.29,Cosmetics,86.11727285309853,47.13331368211689,27.36888380612407
73,PLA (Polylactic Acid),58.1,3.67,77.8,9.4,41.0,65.77,Furniture,69.65769315529243,51.76821101884476,40.287054759683336
74,Starch-based Polymer,48.5,2.32,95.8,13.1,74.0,103.13,Cosmetics,86.2443635981893,37.93628516935037,32.03171093976715
75,Recycled Paper,27.0,5.24,63.4,18.4,82.3,48.54,Industrial Packaging,75.97026703902665,46.86407375451607,24.073502291924747
76,Cotton Fiber,21.7,2.84,86.9,12.3,75.7,44.59,Toys,83.99569116622091,42.0825474248036,16.584161848268025
77,Bioplastic,53.1,11.85,87.6,7.0,45.1,52.23,Industrial Packaging,75.3536735910964,65.75777675509632,51.72612763009676
78,Hemp Fiber,24.8,2.14,85.4,4.8,90.4,29.41,Pharmacy,91.19760346838575,45.46319560384031,27.737345735834218
79,Compostable Film,50.1,6.77,81.9,19.7,45.6,71.83,Apparel,69.15926640571537,52.39841242171527,42.39327119601339
80,Sugarcane (Bagasse),25.4,2.03,92.7,16.9,75.1,56.44,Household,84.23488967656077,39.5217459294696,20.408919628174605
81,Corrugated Fiberboard,49.1,3.16,90.0,9.7,72.3,34.14,Industrial Packaging,84.78695000380932,54.740985947279256,33.886453148939225
82,Corrugated Fiberboard,20.5,1.59,83.8,12.2,82.1,21.95,Electronics,85.18403937157338,44.7102754976807,21.1365325628056
83,Bioplastic,55.5,6.29,85.4,3.9,56.8,50.75,Pharmacy,79.74545381292107,58.2557306146397,53.84103184979702
84,Cardboard,52.1,2.92,86.6,24.0,82.6,36.22,Household,82.27841482006562,54.983075752211064,38.29356700876517
85,Paper,33.1,4.41,73.6,28.2,91.6,58.43,Industrial Packaging,79.42708200869495,45.568269799072056,26.32869321284476
86,Bioplastic,58.7,11.32,75.3,4.1,77.1,85.96,Pharmacy,83.24307173497876,59.47261060025196,64.7074561663541
87,Paper,32.8,8.5,65.5,24.9,67.7,22.36,Electronics,69.35787502417314,59.841155194498604,40.891942222901775
88,Compostable Film,58.9,8.32,85.2,9.1,83.9,71.4,Food,87.37192424012268,58.07843785436895,49.0143434860347
89,Bioplastic,50.8,9.98,82.7,9.4,63.1,64.11,Electronics,79.1112722564822,59.37753087806485,54.50815326096112
90,Wood Pulp Board,40.2,2.71,95.1,14.6,80.7,55.79,Food,87.82807627510789,46.046089589021356,27.653234749885325
91,Cotton Fiber,43.4,5.29,82.2,17.0,78.2,43.42,Household,81.60574059006456,53.968138953867054,37.178856565139654
92,Recycled Cardboard,15.5,5.0,85.0,2.1,90.0,45.5,Electronics,91.8468252290444,43.03026664030525,24.12432872660099
93,Bioplastic (PLA),25.0,3.5,95.0,1.8,70.0,120.0,Food|Pharmacy,88.45360148884929,27.602482239119098,19.769089751710755
94,Sugarcane Bagasse,20.0,4.0,98.0,1.5,85.0,80.75,Food,94.85914872761795,35.278570804820845,17.60107559763225
95,Mushroom Packaging,12.0,2.5,100.0,0.8,75.0,150.0,Electronics,92.30046373190713,14.725830116375283,17.557213868250994
96,Corrugated Cardboard,22.0,10.0,80.0,2.5,95.0,38.0,Food,91.70708686406259,54.84283691590731,29.45316922174411
97,Kraft Paper,18.0,3.0,90.0,2.0,88.0,55.0,Cosmetics,92.93346839944554,38.698326696383326,14.607762588423984
98,Bamboo Fiber,28.0,6.0,92.0,1.2,80.0,95.0,Electronics,91.10932349776645,38.124178127519684,33.53081538850387
99,Cornstarch Foam,8.5,1.5,99.0,1.0,65.0,110.0,Pharmacy,88.38056619578096,20.761936478875207,16.64773319437207
100,Seaweed Packaging,10.0,1.0,100.0,0.5,60.0,180.0,Cosmetics,87.15285880980163,5.019616688934971,6.1780227975523685
101,Recycled Paper Pulp,16.0,4.5,88.0,2.3,92.0,42.0,Pharmacy,93.52949696848285,43.203229487415854,26.54383988666752
102,Hemp Fiber,30.0,7.0,94.0,1.6,82.0,105.0,Pharmacy,92.37268113165052,38.19182882328075,39.524128397712126
103,Cellulose Film,14.0,2.0,96.0,1.4,78.0,125.0,Food,91.74222915469583,20.198301889171738,10.392892692988177
104,Molded Fiber,19.0,5.5,87.0,2.2,90.0,50.0,Electronics,92.51333640056625,44.07300690123266,27.147931338989554
105,Palm Leaf,24.0,4.5,93.0,1.7,75.0,88.0,Food,89.5373820326133,35.89203952303241,20.930067431577697
106,Wood Pulp,21.0,6.5,85.0,2.4,86.0,48.0,Electronics,90.34332163306354,46.797729282573584,30.141244348197816
107,Cotton Fiber,26.0,3.8,91.0,1.9,80.0,98.0,Cosmetics,90.51789235262515,33.302056034322405,20.911395031718737
108,Algae-based Plastic,23.0,3.2,97.0,1.3,72.0,140.0,Food,90.02676979398979,21.98647228772001,18.016006028588993
109,Wheat Straw,17.0,4.2,89.0,2.0,84.0,65.0,Pharmacy,91.1827677374972,38.00079592599905,26.623091492887074
110,Rice Husk,13.5,2.8,86.0,2.6,79.0,52.0,Food,88.17453370554816,37.43316530548052,11.504908369815865
111,Coconut Coir,20.5,5.0,90.0,1.8,81.0,72.0,Electronics,90.5519068138801,38.958973853611816,27.17822094216985
112,Aluminum (thin foil),77.5,15.18,39.9,44.0,22.5,68.13,Electronics,37.98840438894604,76.20946021068228,80.0290695315986
113,Paper,38.3,8.73,83.4,22.7,60.8,58.65,Apparel,73.97315191724238,54.14133774823251,38.65872756831309
114,Bioplastic,50.3,3.0,75.3,8.2,66.2,74.56,Pharmacy,78.0160760710428,45.97209026804984,44.83590630099884
115,PLA (Polylactic Acid),60.4,4.2,87.7,5.4,54.6,69.31,Electronics,79.26504910578967,52.63927871685243,50.1308759240248
116,Aluminum (thin foil),92.0,5.59,35.7,83.3,13.7,145.06,Industrial Packaging,19.907529041688615,49.39281388916493,64.3942157373632
117,Cardboard,37.3,2.12,62.5,28.7,96.7,51.38,Toys,77.15007560281178,45.0582918723732,24.836641152296757
118,Paper,32.8,7.0,77.2,8.1,78.8,16.55,Food,83.1271224519479,58.782649396360995,30.73430803843069
119,Cardboard,36.5,9.14,70.1,21.6,71.8,38.4,Pharmacy,73.5412362246915,58.61939846354753,47.28574638113039
120,Bioplastic,41.7,11.67,92.5,19.0,84.7,87.83,Industrial Packaging,86.80246474570068,53.49792581060051,44.44433727646322
121,Glassine,73.0,18.59,14.4,47.6,13.6,105.55,Food,24.696726562860878,71.63796004862031,75.82225491695087
122,Starch-based Polymer,40.2,10.12,80.3,7.8,67.1,51.27,Pharmacy,80.22115866006192,58.631078339764684,51.28194762117245
123,Compostable Film,47.8,9.82,72.2,19.8,78.6,55.9,Industrial Packaging,77.27723560840442,59.86743616871964,44.89233695194291
124,Sugarcane (Bagasse),38.2,6.35,81.4,7.7,55.2,72.47,Pharmacy,76.47540180429051,47.32466085503429,43.38087015130759
125,Corrugated Fiberboard,51.2,6.42,72.9,6.6,71.8,29.63,Apparel,79.68605582351404,61.590497451020255,42.44501284039529
126,Hemp Fiber,36.5,7.19,89.0,3.9,82.1,66.84,Food,89.86361213525828,49.27367582771234,33.330821941317986
127,Hemp Fiber,40.8,4.84,94.6,9.9,73.5,48.51,Cosmetics,86.75032273235345,51.20347457560156,31.79354235770251
128,Compostable Film,55.9,4.46,84.7,18.4,52.5,72.83,Toys,73.00348168695083,50.64956625415127,40.34302952198781
129,Molded Pulp,36.4,7.68,68.9,6.9,71.0,22.25,Apparel,77.90086976643764,59.8770071931517,35.63790459726716
130,PLA (Polylactic Acid),64.2,9.84,75.4,18.2,67.0,104.6,Pharmacy,74.88882868272213,55.00763543146021,65.4445385414684
131,Hemp Fiber,32.6,7.25,86.0,3.8,60.3,48.49,Household,81.21536179537034,52.02938252902401,34.05509138055312
132,Cardboard,43.6,0.57,79.9,15.4,68.4,20.39,Electronics,77.91986858842724,51.76051550372822,33.438323353293406
133,Sugarcane (Bagasse),32.1,3.23,97.9,7.2,73.3,63.67,Electronics,88.76628513358615,42.20402293904161,31.127242544613743
134,Molded Pulp,43.1,9.64,69.8,17.4,71.4,27.82,Household,74.74185583308287,64.11496459777678,44.70276216717165
135,Glassine,68.9,2.66,40.5,75.2,14.1,99.01,Apparel,24.518091410873776,46.7094146023256,46.59398826110156
136,Hemp Fiber,28.5,1.84,89.3,17.8,60.9,61.97,Food,77.7626617488457,39.114021479817744,18.965699138460963
137,Compostable Film,58.0,9.38,76.9,15.4,58.4,90.58,Furniture,73.36788328869662,55.16531139656635,50.34270437759187
138,Starch-based Polymer,60.9,1.99,94.2,8.5,49.3,43.26,Electronics,78.62065162532532,55.13205477971583,46.52068411379429
139,Wood Pulp Board,66.3,6.11,86.4,5.4,79.5,25.19,Toys,87.52589437127784,67.51413626517417,49.61852293328923
140,Cardboard,27.3,7.06,75.1,28.4,65.2,30.35,Industrial Packaging,70.64239587073018,53.84476790732212,27.481331968683786
