product_id,material_id,predicted_cost,predicted_co2,suitability_score,sustainability_score,recyclability
34,MAT_0035,1.27,1.98,8.333333333333334,0.62,0.7
35,MAT_0036,2.18,1.95,8.0,0.54,0.66
36,MAT_0037,1.21,1.91,8.333333333333334,0.61,0.55
37,MAT_0038,24.34,3.51,9.0,0.72,0.97
38,MAT_0039,3.31,0.92,4.666666666666667,0.96,1.0
39,MAT_0040,2.59,0.77,4.0,0.91,1.0
40,MAT_0041,14.96,1.07,7.0,0.88,0.86
41,MAT_0042,24.67,3.48,9.666666666666666,0.79,0.93
42,MAT_0043,1.75,0.62,2.0,0.91,1.0
43,MAT_0044,24.23,3.65,9.333333333333334,0.71,0.89
44,MAT_0045,1.83,0.49,2.0,0.95,1.0
45,MAT_0046,14.57,1.24,7.666666666666667,0.9,0.84
46,MAT_0047,11.76,0.89,8.0,0.91,0.8
47,MAT_0048,3.23,0.86,4.0,0.85,1.0
48,MAT_0049,14.48,1.19,8.333333333333334,0.82,0.88
49,MAT_0050,2.68,0.94,4.333333333333333,0.88,0.93
50,MAT_0051,1.18,2.14,8.666666666666666,0.6,0.78
51,MAT_0052,11.28,1.01,8.333333333333334,0.83,0.81
52,MAT_0053,11.84,0.92,8.333333333333334,0.87,0.79
53,MAT_0054,15.15,1.19,7.333333333333333,0.91,0.87
54,MAT_0055,12.2,0.96,7.666666666666667,0.82,0.8
55,MAT_0056,2.61,0.47,1.6666666666666667,1.0,1.0
56,MAT_0057,11.73,0.99,8.0,0.76,0.8
57,MAT_0058,2.8,0.77,5.0,0.91,1.0
58,MAT_0059,2.91,0.84,5.0,0.89,0.95
59,MAT_0060,2.95,0.74,4.333333333333333,0.88,1.0
60,MAT_0061,3.62,0.92,4.666666666666667,0.89,0.96
61,MAT_0062,1.63,0.31,2.6666666666666665,1.0,0.95
62,MAT_0063,25.34,3.58,9.333333333333334,0.71,0.81
63,MAT_0064,0.21,2.04,7.666666666666667,0.63,0.69
64,MAT_0065,14.59,1.1,8.0,0.83,0.8
65,MAT_0066,3.23,0.77,4.666666666666667,0.92,1.0
66,MAT_0067,11.34,0.99,7.666666666666667,0.82,0.84
67,MAT_0068,2.69,0.86,5.333333333333333,0.96,0.97
68,MAT_0069,12.73,0.9,8.0,0.77,0.82
69,MAT_0070,2.02,1.94,8.0,0.56,0.73
70,MAT_0071,1.47,2.0,8.0,0.62,0.68
71,MAT_0072,1.91,1.92,7.0,0.61,0.73
72,MAT_0073,11.69,0.98,8.0,0.75,0.92
73,MAT_0074,2.82,0.75,4.0,0.87,1.0
74,MAT_0075,0.92,1.99,8.666666666666666,0.62,0.82
75,MAT_0076,1.23,0.39,2.3333333333333335,0.91,0.99
76,MAT_0077,11.93,1.02,8.333333333333334,0.83,0.84
77,MAT_0078,12.68,0.94,8.666666666666666,0.8,0.88
78,MAT_0079,3.39,0.9,4.333333333333333,0.9,0.98
79,MAT_0080,11.61,1.05,7.666666666666667,0.81,0.92
80,MAT_0081,12.38,1.09,8.666666666666666,0.79,0.86
81,MAT_0082,1.91,2.09,7.333333333333333,0.59,0.71
82,MAT_0083,2.6,0.86,4.333333333333333,0.89,1.0
83,MAT_0084,2.23,1.97,8.0,0.62,0.63
84,MAT_0085,0.84,1.95,7.0,0.59,0.68
85,MAT_0086,3.18,0.93,4.666666666666667,0.83,1.0
86,MAT_0087,14.55,1.23,7.333333333333333,0.9,0.88
87,MAT_0088,0.84,1.9,8.0,0.54,0.69
88,MAT_0089,2.26,0.42,2.6666666666666665,0.96,0.95
89,MAT_0090,1.76,0.57,3.0,0.98,1.0
90,MAT_0091,12.25,0.96,8.333333333333334,0.77,0.95
91,MAT_0092,2.55,0.47,2.6666666666666665,0.89,0.97
92,MAT_0093,12.22,0.87,7.666666666666667,0.78,0.82
93,MAT_0094,14.87,1.14,7.666666666666667,0.9,1.0
94,MAT_0095,3.63,0.68,3.6666666666666665,0.88,1.0
95,MAT_0096,3.87,0.77,3.6666666666666665,0.83,0.99
96,MAT_0097,2.81,0.78,3.6666666666666665,0.93,0.97
97,MAT_0098,2.49,0.55,3.0,0.92,0.99
98,MAT_0099,15.74,1.2,7.333333333333333,0.84,0.84
99,MAT_0100,1.5,0.52,2.6666666666666665,0.93,1.0
100,MAT_0101,2.02,0.46,2.3333333333333335,0.91,1.0
101,MAT_0102,25.66,3.58,8.333333333333334,0.73,0.94
102,MAT_0103,3.14,0.79,4.333333333333333,0.9,0.99
103,MAT_0104,2.7,0.85,4.666666666666667,0.88,1.0
104,MAT_0105,12.72,0.92,8.0,0.78,0.85
105,MAT_0106,1.46,1.96,7.0,0.6,0.61
106,MAT_0107,14.28,1.17,7.333333333333333,0.82,0.86
107,MAT_0108,12.18,1.07,8.0,0.8,0.92
108,MAT_0109,11.55,1.08,7.333333333333333,0.8,0.94
109,MAT_0110,14.61,1.13,6.666666666666667,0.9,0.92
110,MAT_0111,2.69,0.76,3.6666666666666665,0.88,1.0
111,MAT_0112,24.63,3.61,9.0,0.72,0.95
112,MAT_0113,15.71,1.21,7.333333333333333,0.87,0.9
113,MAT_0114,1.96,0.56,2.6666666666666665,0.95,1.0
114,MAT_0115,3.22,0.9,4.0,0.9,0.94
115,MAT_0116,2.83,0.9,5.0,0.92,0.93
116,MAT_0117,14.68,1.2,8.0,0.85,0.87
117,MAT_0118,12.01,1.06,8.333333333333334,0.81,0.87
118,MAT_0119,14.41,1.18,7.333333333333333,0.82,0.86
119,MAT_0120,2.2,0.47,3.0,0.96,1.0
120,MAT_0121,3.31,0.8,4.333333333333333,0.9,1.0
121,MAT_0122,1.86,1.96,8.333333333333334,0.63,0.69
122,MAT_0123,2.94,0.73,4.666666666666667,0.88,0.97
123,MAT_0124,24.62,3.56,9.333333333333334,0.76,0.94
124,MAT_0125,15.11,1.12,7.333333333333333,0.83,0.82
125,MAT_0126,12.59,1.06,7.0,0.81,0.86
126,MAT_0127,2.83,0.81,4.333333333333333,0.84,1.0
127,MAT_0128,25.68,3.57,8.666666666666666,0.75,0.93
128,MAT_0129,2.02,0.53,2.6666666666666665,0.96,1.0
129,MAT_0130,3.18,0.85,4.666666666666667,0.89,0.96
130,MAT_0131,15.76,1.06,7.333333333333333,0.87,0.84
131,MAT_0132,3.1,0.8,4.666666666666667,0.87,0.99
132,MAT_0133,1.33,1.96,7.333333333333333,0.61,0.69
133,MAT_0134,2.8,0.72,4.333333333333333,0.93,0.99
134,MAT_0135,1.87,0.54,2.6666666666666665,0.95,1.0
135,MAT_0136,3.31,0.88,4.333333333333333,0.88,0.97
136,MAT_0137,2.94,0.74,4.666666666666667,0.9,0.97
137,MAT_0138,14.65,1.14,7.666666666666667,0.84,0.84
138,MAT_0139,12.72,1.06,7.333333333333333,0.79,0.85
139,MAT_0140,2.78,0.81,4.333333333333333,0.91,0.99
140,MAT_0141,24.96,3.58,9.0,0.75,0.94
141,MAT_0142,2.5,0.58,2.0,0.96,1.0
142,MAT_0143,1.5,1.96,7.0,0.6,0.62
143,MAT_0144,12.72,1.06,6.666666666666667,0.83,0.82
144,MAT_0145,14.41,1.21,7.333333333333333,0.86,0.93
145,MAT_0146,12.28,0.92,8.333333333333334,0.77,0.81
146,MAT_0147,2.98,0.76,4.0,0.91,1.0
147,MAT_0148,14.65,1.06,7.0,0.9,0.9
148,MAT_0149,25.43,3.64,9.0,0.76,0.96
149,MAT_0150,2.44,0.56,3.0,0.95,0.94
150,MAT_0151,15.25,1.15,7.0,0.9,0.94
151,MAT_0152,24.33,3.58,9.333333333333334,0.73,0.99
152,MAT_0153,12.7,1.0,8.333333333333334,0.81,0.87
153,MAT_0154,2.77,0.76,5.333333333333333,0.9,1.0
154,MAT_0155,14.68,1.21,7.333333333333333,0.89,0.85
155,MAT_0156,15.75,1.16,8.0,0.85,0.87
156,MAT_0157,1.42,2.05,8.0,0.56,0.77
157,MAT_0158,2.98,0.77,4.666666666666667,0.87,0.99
158,MAT_0159,12.01,1.0,7.666666666666667,0.77,0.81
159,MAT_0160,3.06,0.73,3.6666666666666665,0.91,1.0
160,MAT_0161,2.54,0.53,3.0,0.93,0.99
161,MAT_0162,24.63,3.48,9.0,0.74,0.95
162,MAT_0163,3.37,0.85,4.666666666666667,0.94,1.0
163,MAT_0164,14.93,1.14,7.0,0.9,0.88
164,MAT_0165,24.22,3.61,8.666666666666666,0.73,0.86
165,MAT_0166,3.07,0.86,4.333333333333333,0.85,0.99
166,MAT_0167,2.4,0.54,3.0,0.95,0.98
167,MAT_0168,12.02,1.06,7.333333333333333,0.81,0.9
168,MAT_0169,1.26,2.02,8.0,0.6,0.77
169,MAT_0170,14.65,1.17,7.0,0.86,0.95
170,MAT_0171,1.6,0.51,2.0,0.91,1.0
171,MAT_0172,2.94,0.79,4.333333333333333,0.86,0.97
172,MAT_0173,3.06,0.79,4.666666666666667,0.86,0.96
173,MAT_0174,15.74,1.21,7.333333333333333,0.87,0.87
174,MAT_0175,3.14,0.8,4.666666666666667,0.93,0.99
175,MAT_0176,12.7,0.9,7.0,0.84,0.88
176,MAT_0177,14.61,1.14,7.666666666666667,0.88,0.92
177,MAT_0178,3.18,0.92,5.0,0.88,0.95
178,MAT_0179,25.68,3.58,9.0,0.73,0.94
179,MAT_0180,1.26,2.07,7.0,0.6,0.78
180,MAT_0181,2.83,0.8,4.666666666666667,0.84,0.98
181,MAT_0182,15.75,1.2,8.333333333333334,0.85,0.89
182,MAT_0183,14.68,1.07,6.666666666666667,0.86,0.93
183,MAT_0184,11.84,0.96,8.0,0.78,0.85
184,MAT_0185,1.96,0.52,2.3333333333333335,0.91,0.99
185,MAT_0186,3.06,0.85,3.6666666666666665,0.9,0.97
186,MAT_0187,15.74,1.15,7.0,0.9,0.9
187,MAT_0188,11.55,1.08,8.333333333333334,0.83,0.85
188,MAT_0189,24.62,3.48,8.666666666666666,0.76,0.94
189,MAT_0190,14.65,1.21,7.666666666666667,0.82,0.95
190,MAT_0191,15.25,1.08,6.666666666666667,0.9,0.91
191,MAT_0192,1.5,1.95,7.333333333333333,0.59,0.62
192,MAT_0193,2.78,0.88,4.666666666666667,0.91,0.98
193,MAT_0194,12.72,1.07,7.666666666666667,0.83,0.86
194,MAT_0195,24.33,3.67,9.0,0.72,0.88
195,MAT_0196,2.94,0.85,3.3333333333333335,0.86,0.97
196,MAT_0197,2.5,0.56,3.0,0.96,1.0
197,MAT_0198,14.4,1.15,7.333333333333333,0.91,0.94
198,MAT_0199,3.05,0.72,3.6666666666666665,0.9,0.96
199,MAT_0200,14.41,1.15,8.0,0.86,0.87
200,MAT_0201,11.28,1.01,7.666666666666667,0.83,0.82
201,MAT_0202,3.07,0.73,4.0,0.85,0.99
202,MAT_0203,2.77,0.92,3.3333333333333335,0.9,1.0
203,MAT_0204,14.59,1.13,8.333333333333334,0.83,0.94
204,MAT_0205,11.69,1.06,8.0,0.75,0.94
205,MAT_0206,15.76,1.18,7.333333333333333,0.87,0.9
206,MAT_0207,1.86,2.05,7.666666666666667,0.63,0.68
207,MAT_0208,12.01,1.06,8.0,0.77,0.84
208,MAT_0209,25.43,3.58,9.333333333333334,0.76,0.97
209,MAT_0210,14.28,1.18,7.0,0.82,0.9
210,MAT_0211,2.98,0.76,4.333333333333333,0.91,1.0
211,MAT_0212,1.83,0.47,2.6666666666666665,0.95,1.0
212,MAT_0213,2.6,0.74,4.333333333333333,0.9,0.96
213,MAT_0214,11.34,0.92,7.666666666666667,0.82,0.84
214,MAT_0215,15.11,1.18,7.666666666666667,0.83,0.82
215,MAT_0216,3.77,0.85,4.333333333333333,0.89,0.97
216,MAT_0217,14.55,1.2,7.333333333333333,0.9,0.93
217,MAT_0218,1.6,0.5,2.3333333333333335,0.93,1.0
218,MAT_0219,14.41,1.18,7.333333333333333,0.82,0.95
219,MAT_0220,3.87,0.77,4.333333333333333,0.83,0.99
220,MAT_0221,2.78,0.76,4.0,0.91,1.0
221,MAT_0222,12.72,0.92,8.333333333333334,0.83,0.95
222,MAT_0223,2.02,0.5,2.0,0.91,1.0
223,MAT_0224,3.22,0.85,4.0,0.9,0.96
224,MAT_0225,1.42,1.96,7.333333333333333,0.56,0.73
225,MAT_0226,12.45,0.92,8.333333333333334,0.81,0.85
226,MAT_0227,3.18,0.81,4.333333333333333,0.89,0.99
227,MAT_0228,3.07,0.73,4.666666666666667,0.85,1.0
228,MAT_0229,14.94,1.21,7.666666666666667,0.82,0.9
229,MAT_0230,25.68,3.6,9.333333333333334,0.73,0.88
230,MAT_0231,3.39,0.72,4.333333333333333,0.9,0.97
231,MAT_0232,1.76,0.52,2.3333333333333335,0.98,1.0
232,MAT_0233,12.72,1.06,8.0,0.78,0.84
233,MAT_0234,1.5,1.99,7.0,0.6,0.62
234,MAT_0235,2.6,0.85,4.333333333333333,0.89,1.0
235,MAT_0236,14.28,1.15,7.666666666666667,0.82,0.86
236,MAT_0237,2.82,0.78,5.0,0.87,0.98
237,MAT_0238,3.14,0.79,4.333333333333333,0.9,0.99
238,MAT_0239,11.84,0.92,8.0,0.78,0.84
239,MAT_0240,14.41,1.17,7.0,0.86,0.86
240,MAT_0241,15.74,1.18,7.333333333333333,0.9,0.9
241,MAT_0242,2.81,0.78,4.333333333333333,0.93,1.0
242,MAT_0243,2.94,0.79,4.0,0.86,0.97
243,MAT_0244,25.43,3.58,8.333333333333334,0.76,0.95
244,MAT_0245,1.23,0.47,3.0,0.91,0.94
245,MAT_0246,14.65,1.15,7.333333333333333,0.82,0.9
246,MAT_0247,11.55,1.06,8.333333333333334,0.83,0.87
247,MAT_0248,1.42,2.05,7.333333333333333,0.56,0.73
248,MAT_0249,15.25,1.21,7.0,0.9,0.94
249,MAT_0250,24.33,3.48,9.666666666666666,0.73,0.97
250,MAT_0251,3.39,0.72,4.333333333333333,0.9,0.98
251,MAT_0252,1.76,0.5,2.0,0.98,1.0
252,MAT_0253,14.94,1.15,7.666666666666667,0.82,0.92
253,MAT_0254,2.77,0.76,4.333333333333333,0.9,1.0
254,MAT_0255,14.4,1.06,7.0,0.91,0.88
255,MAT_0256,12.59,0.95,7.333333333333333,0.81,0.87
256,MAT_0257,2.94,0.73,4.333333333333333,0.86,0.97
257,MAT_0258,14.68,1.21,7.333333333333333,0.85,0.9
258,MAT_0259,1.96,0.52,2.3333333333333335,0.91,0.99
259,MAT_0260,3.22,0.92,4.666666666666667,0.9,0.94
260,MAT_0261,1.18,2.14,7.666666666666667,0.6,0.76
261,MAT_0262,14.41,1.14,7.333333333333333,0.82,0.95
262,MAT_0263,3.14,0.79,4.666666666666667,0.93,1.0
263,MAT_0264,11.28,1.06,8.0,0.83,0.84
264,MAT_0265,1.6,0.5,3.0,0.93,1.0
265,MAT_0266,3.22,0.92,4.333333333333333,0.9,0.94
266,MAT_0267,12.72,0.92,8.333333333333334,0.78,0.82
267,MAT_0268,15.74,1.21,7.333333333333333,0.9,0.9
268,MAT_0269,24.62,3.56,9.0,0.76,0.97
269,MAT_0270,3.87,0.85,5.0,0.83,0.99
270,MAT_0271,11.69,0.98,8.333333333333334,0.75,0.95
271,MAT_0272,14.94,1.15,6.666666666666667,0.82,0.92
272,MAT_0273,2.82,0.72,4.0,0.87,0.98
273,MAT_0274,2.83,0.85,4.333333333333333,0.84,1.0
274,MAT_0275,11.55,1.06,7.666666666666667,0.83,0.87
275,MAT_0276,15.25,1.18,7.333333333333333,0.9,0.88
276,MAT_0277,3.06,0.73,4.333333333333333,0.91,1.0
277,MAT_0278,12.01,1.06,7.333333333333333,0.77,0.87
278,MAT_0279,14.41,1.18,7.333333333333333,0.82,0.94
279,MAT_0280,24.33,3.67,9.0,0.72,0.96
280,MAT_0281,3.87,0.85,4.333333333333333,0.83,0.96
281,MAT_0282,14.68,1.2,6.666666666666667,0.85,0.9
282,MAT_0283,2.81,0.73,4.666666666666667,0.93,0.99
283,MAT_0284,12.45,0.92,8.333333333333334,0.81,0.85
284,MAT_0285,3.22,0.85,3.6666666666666665,0.9,0.98
285,MAT_0286,15.11,1.12,7.333333333333333,0.83,0.92
286,MAT_0287,3.39,0.72,4.666666666666667,0.9,0.98
287,MAT_0288,11.28,1.01,8.333333333333334,0.83,0.88
288,MAT_0289,2.77,0.92,3.3333333333333335,0.9,1.0
289,MAT_0290,14.4,1.15,7.0,0.91,0.87
290,MAT_0291,12.72,1.07,8.0,0.78,0.82
291,MAT_0292,2.6,0.73,3.6666666666666665,0.89,1.0
292,MAT_0293,14.65,1.19,7.0,0.82,0.88
293,MAT_0294,2.94,0.79,5.0,0.86,0.97
294,MAT_0295,11.55,1.08,8.333333333333334,0.83,0.87
295,MAT_0296,15.11,1.12,7.0,0.83,0.85
296,MAT_0297,2.81,0.73,4.0,0.93,0.99
297,MAT_0298,11.69,0.92,8.0,0.75,0.95
298,MAT_0299,15.25,1.21,7.333333333333333,0.9,0.85
299,MAT_0300,3.87,0.77,4.333333333333333,0.83,0.99
300,MAT_0301,12.45,1.01,8.0,0.81,0.85
301,MAT_0302,14.94,1.22,7.0,0.82,0.95
302,MAT_0303,2.82,0.85,4.333333333333333,0.87,1.0
303,MAT_0304,12.01,1.0,8.333333333333334,0.77,0.82
304,MAT_0305,14.68,1.15,7.333333333333333,0.85,0.9
305,MAT_0306,2.77,0.72,3.6666666666666665,0.9,1.0
306,MAT_0307,11.84,0.96,8.0,0.78,0.88
307,MAT_0308,14.65,1.19,8.0,0.82,0.87
308,MAT_0309,3.06,0.79,4.0,0.91,1.0
309,MAT_0310,14.4,1.06,8.0,0.91,0.9
310,MAT_0311,3.22,0.85,4.666666666666667,0.9,0.99
311,MAT_0312,15.11,1.18,7.666666666666667,0.83,0.85
312,MAT_0313,2.81,0.78,3.6666666666666665,0.93,1.0
313,MAT_0314,14.41,1.18,7.333333333333333,0.82,0.95
314,MAT_0315,2.94,0.73,4.666666666666667,0.86,0.97
315,MAT_0316,15.25,1.21,7.0,0.9,0.88
316,MAT_0317,3.14,0.79,4.0,0.9,0.99
317,MAT_0318,14.55,1.2,8.0,0.9,0.85
318,MAT_0319,2.82,0.78,4.0,0.87,0.98
319,MAT_0320,14.68,1.15,7.666666666666667,0.85,0.9
320,MAT_0321,3.87,0.85,4.333333333333333,0.83,0.96
321,MAT_0322,14.94,1.15,7.666666666666667,0.82,0.92
322,MAT_0323,2.77,0.92,4.333333333333333,0.9,1.0
323,MAT_0324,14.4,1.06,7.0,0.91,0.88
324,MAT_0325,3.06,0.79,4.333333333333333,0.91,0.99
325,MAT_0326,14.65,1.21,7.333333333333333,0.82,0.9
326,MAT_0327,3.22,0.92,4.333333333333333,0.9,0.94
327,MAT_0328,15.11,1.12,7.333333333333333,0.83,0.85
328,MAT_0329,2.94,0.79,4.0,0.86,0.97
329,MAT_0330,15.25,1.15,7.333333333333333,0.9,0.88
330,MAT_0331,2.81,0.73,4.333333333333333,0.93,0.99
331,MAT_0332,14.41,1.21,7.0,0.82,0.95
332,MAT_0333,2.82,0.72,4.666666666666667,0.87,0.98
333,MAT_0334,14.4,1.15,7.333333333333333,0.91,0.88
334,MAT_0335,3.87,0.77,4.333333333333333,0.83,0.96
335,MAT_0336,14.68,1.2,8.333333333333334,0.85,0.9
336,MAT_0337,2.77,0.76,4.0,0.9,1.0
337,MAT_0338,15.25,1.18,7.0,0.9,0.94
338,MAT_0339,3.22,0.85,3.6666666666666665,0.9,0.94
339,MAT_0340,15.11,1.18,7.333333333333333,0.83,0.85
340,MAT_0341,2.94,0.79,4.333333333333333,0.86,0.97
341,MAT_0342,14.94,1.21,7.333333333333333,0.82,0.92
342,MAT_0343,2.81,0.78,4.333333333333333,0.93,0.99
343,MAT_0344,14.4,1.15,7.333333333333333,0.91,0.88
344,MAT_0345,3.87,0.77,4.666666666666667,0.83,0.96
345,MAT_0346,14.65,1.19,7.666666666666667,0.82,0.9
346,MAT_0347,2.82,0.72,3.6666666666666665,0.87,1.0
347,MAT_0348,14.41,1.14,7.666666666666667,0.82,0.95
348,MAT_0349,3.22,0.85,4.0,0.9,0.98
349,MAT_0350,14.68,1.15,7.333333333333333,0.85,0.9
350,MAT_0351,2.77,0.92,4.333333333333333,0.9,1.0
351,MAT_0352,15.25,1.21,7.666666666666667,0.9,0.88
352,MAT_0353,3.14,0.73,4.333333333333333,0.9,0.99
353,MAT_0354,15.11,1.18,7.333333333333333,0.83,0.85
354,MAT_0355,2.81,0.73,4.333333333333333,0.93,1.0
355,MAT_0356,14.4,1.06,7.666666666666667,0.91,0.87
356,MAT_0357,2.94,0.72,3.6666666666666665,0.86,0.97
357,MAT_0358,14.94,1.22,7.0,0.82,0.92
358,MAT_0359,3.87,0.85,4.333333333333333,0.83,0.96
359,MAT_0360,14.65,1.15,7.333333333333333,0.82,0.9
360,MAT_0361,2.82,0.78,3.6666666666666665,0.87,1.0
361,MAT_0362,14.41,1.21,7.666666666666667,0.82,0.95
362,MAT_0363,3.22,0.92,4.333333333333333,0.9,0.98
363,MAT_0364,14.68,1.2,7.333333333333333,0.85,0.9
364,MAT_0365,2.77,0.76,4.333333333333333,0.9,1.0
365,MAT_0366,15.25,1.13,6.666666666666667,0.9,0.88
366,MAT_0367,3.14,0.8,4.666666666666667,0.9,0.99
367,MAT_0368,15.11,1.12,7.666666666666667,0.83,0.85
368,MAT_0369,2.81,0.73,4.0,0.93,1.0
369,MAT_0370,14.4,1.15,7.333333333333333,0.91,0.87
370,MAT_0371,2.94,0.79,4.333333333333333,0.86,0.97
371,MAT_0372,14.94,1.15,7.666666666666667,0.82,0.92
372,MAT_0373,3.87,0.77,4.333333333333333,0.83,0.96
373,MAT_0374,14.65,1.19,7.0,0.82,0.9
374,MAT_0375,2.82,0.72,4.666666666666667,0.87,0.98
375,MAT_0376,14.41,1.21,7.333333333333333,0.82,0.95
376,MAT_0377,3.22,0.92,4.333333333333333,0.9,0.94
377,MAT_0378,14.68,1.2,6.666666666666667,0.85,0.9
378,MAT_0379,2.77,0.76,4.333333333333333,0.9,1.0
379,MAT_0380,15.25,1.13,7.666666666666667,0.9,0.88
380,MAT_0381,3.14,0.8,4.666666666666667,0.9,0.99
381,MAT_0382,15.11,1.12,7.666666666666667,0.83,0.85
382,MAT_0383,2.81,0.73,4.0,0.93,1.0
383,MAT_0384,14.4,1.06,7.333333333333333,0.91,0.87
384,MAT_0385,2.94,0.72,3.6666666666666665,0.86,0.97
385,MAT_0386,14.94,1.22,7.333333333333333,0.82,0.92
386,MAT_0387,3.87,0.85,4.666666666666667,0.83,0.96
387,MAT_0388,14.65,1.15,6.666666666666667,0.82,0.9
388,MAT_0389,2.82,0.78,4.666666666666667,0.87,0.98
389,MAT_0390,14.41,1.14,7.333333333333333,0.82,0.95
390,MAT_0391,3.22,0.92,3.6666666666666665,0.9,0.94
391,MAT_0392,14.68,1.2,7.333333333333333,0.85,0.9
392,MAT_0393,2.77,0.76,4.333333333333333,0.9,1.0
393,MAT_0394,15.25,1.13,7.333333333333333,0.9,0.88
394,MAT_0395,3.14,0.79,4.333333333333333,0.9,0.99
395,MAT_0396,15.11,1.18,7.333333333333333,0.83,0.85
396,MAT_0397,2.81,0.73,4.333333333333333,0.93,1.0
397,MAT_0398,14.4,1.15,7.333333333333333,0.91,0.87
398,MAT_0399,2.94,0.79,4.0,0.86,0.97
399,MAT_0400,14.94,1.15,6.666666666666667,0.82,0.92
400,MAT_0401,3.87,0.77,4.333333333333333,0.83,0.96
401,MAT_0402,14.65,1.19,7.666666666666667,0.82,0.9
402,MAT_0403,2.82,0.72,3.6666666666666665,0.87,0.98
403,MAT_0404,,,,,0.95
