strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,co2_impact_index,cost_efficiency_index,material_suitability_score
56.5,4.11,17.1,98.5,59.5,74.16,24.189151561479893,50.02348302545248,47.58938194481282
32.0,1.32,95.6,13.3,53.7,29.67,78.99923896034994,46.71053439917405,20.18211050540919
62.4,19.76,28.7,63.4,75.0,192.61,45.76309261861551,50.381599380812126,71.42095808383235
47.8,9.55,86.2,10.2,85.3,48.9,87.83381572303112,60.9952998109115,45.91396279873811
52.9,6.42,70.3,11.0,42.8,49.51,67.10851897322,57.79939380169008,41.9833361936887
74.8,15.43,39.2,116.6,40.0,100.0,18.877704141622225,68.57348933536346,78.82290676593661
57.6,17.63,21.2,116.7,11.0,195.78,2.3831775700934577,44.62527941061488,64.7153810149373
31.8,1.33,90.5,17.5,73.5,59.62,82.69722784278181,40.02270317208412,21.57767237801625
30.1,5.81,88.6,12.0,76.3,74.56,84.90479078833071,43.107518213617794,29.97681645567645
66.3,3.14,67.3,16.6,73.4,41.26,74.84119155823723,59.31283118120823,45.8564072480365
23.5,1.36,98.5,17.8,81.4,54.49,88.16315684693838,38.22346481631057,15.061363983861352
51.4,7.0,66.3,27.8,91.3,57.74,76.90134692249406,56.3448855661471,42.09478708034686
49.2,8.98,87.8,10.1,86.6,109.29,88.88406264047424,47.23549145629606,45.75915162899838
66.8,11.86,74.4,13.1,59.0,117.59,73.49348845233166,56.22338180518906,60.11150986198525
50.3,10.26,94.3,11.0,60.7,61.87,81.78577826721447,60.13160485746821,54.698855753838856
30.0,6.34,98.0,15.6,61.1,49.78,81.63905381220032,49.38699964049213,29.354769356544853
30.4,1.73,98.1,11.7,60.3,61.94,82.7365667755045,39.63133432469308,19.931285006849247
47.0,4.04,43.6,76.8,71.8,132.82,45.25213187672554,33.51222528725053,44.66296380662334
67.8,10.37,86.0,12.5,83.8,72.28,86.44689636840161,64.28598488480581,61.08237168185775
35.2,5.87,84.0,4.2,50.7,44.28,77.01617349091268,51.7383299498085,30.198091882935536
68.7,7.49,81.4,10.4,85.2,67.86,86.04772008223644,61.08568127773499,53.52941464647568
58.0,4.27,84.3,26.6,96.1,21.62,85.30311907913037,62.44608098735706,41.28903058916039
71.1,18.68,34.6,53.2,46.7,197.2,41.43538612701637,50.80263859981964,77.82123392610298
15.2,6.52,69.4,6.9,64.9,20.76,75.94074751864868,50.77671595803369,19.13416450059755
38.9,1.94,65.4,21.0,66.9,30.56,70.38529452953341,49.961764985546736,28.494970559142267
39.2,6.84,66.7,9.8,61.6,22.6,72.84101447471288,59.49231334296711,35.85980909468192
64.6,4.06,75.1,4.5,46.0,76.86,72.14847017628712,52.2576558256076,44.94809952788533
49.5,6.54,90.0,3.7,80.0,90.23,89.54780372039262,47.74910470286736,47.619300221859554
25.6,1.28,94.1,28.0,62.3,27.46,76.42379881220678,44.8379446679505,16.20225822456182
34.9,2.13,84.0,7.9,71.8,59.0,83.12873843647589,42.52440904518979,30.888490450053503
36.1,3.46,88.8,14.0,51.7,38.88,75.67498084872045,49.48977821668832,26.4778602253544
34.6,4.48,90.1,3.7,70.1,54.29,86.11727285309853,47.13331368211689,27.36888380612407
58.1,3.67,77.8,9.4,41.0,65.77,69.65769315529243,51.76821101884476,40.287054759683336
48.5,2.32,95.8,13.1,74.0,103.13,86.2443635981893,37.93628516935037,32.03171093976715
27.0,5.24,63.4,18.4,82.3,48.54,75.97026703902665,46.86407375451607,24.073502291924747
21.7,2.84,86.9,12.3,75.7,44.59,83.99569116622091,42.0825474248036,16.584161848268025
53.1,11.85,87.6,7.0,45.1,52.23,75.3536735910964,65.75777675509632,51.72612763009676
24.8,2.14,85.4,4.8,90.4,29.41,91.19760346838576,45.46319560384031,27.737345735834214
50.1,6.77,81.9,19.7,45.6,71.83,69.15926640571537,52.39841242171527,42.39327119601339
25.4,2.03,92.7,16.9,75.1,56.44,84.23488967656077,39.5217459294696,20.408919628174605
49.1,3.16,90.0,9.7,72.3,34.14,84.78695000380932,54.740985947279256,33.886453148939225
20.5,1.59,83.8,12.2,82.1,21.95,85.18403937157338,44.7102754976807,21.1365325628056
55.5,6.29,85.4,3.9,56.8,50.75,79.74545381292107,58.2557306146397,53.84103184979702
52.1,2.92,86.6,24.0,82.6,36.22,82.27841482006562,54.98307575221106,38.29356700876517
33.1,4.41,73.6,28.2,91.6,58.43,79.42708200869495,45.568269799072056,26.32869321284476
58.7,11.32,75.3,4.1,77.1,85.96,83.24307173497876,59.47261060025196,64.7074561663541
32.8,8.5,65.5,24.9,67.7,22.36,69.35787502417314,59.84115519449861,40.891942222901775
58.9,8.32,85.2,9.1,83.9,71.4,87.37192424012268,58.07843785436895,49.0143434860347
50.8,9.98,82.7,9.4,63.1,64.11,79.1112722564822,59.37753087806485,54.50815326096112
40.2,2.71,95.1,14.6,80.7,55.79,87.82807627510789,46.04608958902136,27.653234749885325
43.4,5.29,82.2,17.0,78.2,43.42,81.60574059006456,53.968138953867054,37.17885656513965
15.5,5.0,85.0,2.1,90.0,45.5,91.8468252290444,43.03026664030525,24.12432872660099
25.0,3.5,95.0,1.8,70.0,120.0,88.45360148884929,27.602482239119094,19.769089751710755
20.0,4.0,98.0,1.5,85.0,80.75,94.85914872761796,35.278570804820845,17.60107559763225
12.0,2.5,100.0,0.8,75.0,150.0,92.30046373190712,14.725830116375285,17.557213868250994
22.0,10.0,80.0,2.5,95.0,38.0,91.7070868640626,54.84283691590731,29.45316922174411
18.0,3.0,90.0,2.0,88.0,55.0,92.93346839944554,38.698326696383326,14.607762588423984
28.0,6.0,92.0,1.2,80.0,95.0,91.10932349776644,38.12417812751968,33.53081538850387
8.5,1.5,99.0,1.0,65.0,110.0,88.38056619578096,20.761936478875207,16.64773319437207
10.0,1.0,100.0,0.5,60.0,180.0,87.15285880980163,5.019616688934971,6.1780227975523685
16.0,4.5,88.0,2.3,92.0,42.0,93.52949696848285,43.203229487415854,26.54383988666752
30.0,7.0,94.0,1.6,82.0,105.0,92.37268113165052,38.19182882328075,39.524128397712126
14.0,2.0,96.0,1.4,78.0,125.0,91.74222915469583,20.198301889171734,10.392892692988177
19.0,5.5,87.0,2.2,90.0,50.0,92.51333640056625,44.07300690123266,27.147931338989554
24.0,4.5,93.0,1.7,75.0,88.0,89.5373820326133,35.89203952303241,20.930067431577697
21.0,6.5,85.0,2.4,86.0,48.0,90.34332163306354,46.797729282573584,30.141244348197816
26.0,3.8,91.0,1.9,80.0,98.0,90.51789235262515,33.302056034322405,20.911395031718737
23.0,3.2,97.0,1.3,72.0,140.0,90.02676979398979,21.98647228772001,18.016006028588997
17.0,4.2,89.0,2.0,84.0,65.0,91.1827677374972,38.00079592599905,26.623091492887077
13.5,2.8,86.0,2.6,79.0,52.0,88.17453370554816,37.43316530548052,11.504908369815864
20.5,5.0,90.0,1.8,81.0,72.0,90.5519068138801,38.958973853611816,27.17822094216985
77.5,15.18,39.9,44.0,22.5,68.13,37.98840438894604,76.20946021068228,80.0290695315986
38.3,8.73,83.4,22.7,60.8,58.65,73.97315191724238,54.14133774823251,38.65872756831309
50.3,3.0,75.3,8.2,66.2,74.56,78.0160760710428,45.97209026804984,44.83590630099884
60.4,4.2,87.7,5.4,54.6,69.31,79.26504910578967,52.63927871685243,50.1308759240248
92.0,5.59,35.7,83.3,13.7,145.06,19.907529041688612,49.39281388916493,64.3942157373632
37.3,2.12,62.5,28.7,96.7,51.38,77.15007560281178,45.0582918723732,24.83664115229676
32.8,7.0,77.2,8.1,78.8,16.55,83.1271224519479,58.782649396361,30.73430803843069
36.5,9.14,70.1,21.6,71.8,38.4,73.5412362246915,58.61939846354753,47.28574638113039
41.7,11.67,92.5,19.0,84.7,87.83,86.80246474570068,53.49792581060051,44.44433727646322
73.0,18.59,14.4,47.6,13.6,105.55,24.69672656286088,71.63796004862031,75.82225491695087
40.2,10.12,80.3,7.8,67.1,51.27,80.22115866006192,58.63107833976469,51.28194762117245
47.8,9.82,72.2,19.8,78.6,55.9,77.27723560840442,59.86743616871964,44.89233695194291
38.2,6.35,81.4,7.7,55.2,72.47,76.47540180429051,47.32466085503429,43.38087015130759
51.2,6.42,72.9,6.6,71.8,29.63,79.68605582351404,61.590497451020255,42.44501284039529
36.5,7.19,89.0,3.9,82.1,66.84,89.86361213525828,49.27367582771234,33.330821941317986
40.8,4.84,94.6,9.9,73.5,48.51,86.75032273235345,51.20347457560156,31.79354235770251
55.9,4.46,84.7,18.4,52.5,72.83,73.00348168695083,50.64956625415127,40.34302952198781
36.4,7.68,68.9,6.9,71.0,22.25,77.90086976643764,59.8770071931517,35.63790459726716
64.2,9.84,75.4,18.2,67.0,104.6,74.88882868272213,55.00763543146021,65.4445385414684
32.6,7.25,86.0,3.8,60.3,48.49,81.21536179537034,52.02938252902401,34.05509138055312
43.6,0.57,79.9,15.4,68.4,20.39,77.91986858842724,51.76051550372822,33.438323353293406
32.1,3.23,97.9,7.2,73.3,63.67,88.76628513358615,42.20402293904161,31.127242544613743
43.1,9.64,69.8,17.4,71.4,27.82,74.74185583308287,64.11496459777678,44.70276216717165
68.9,2.66,40.5,75.2,14.1,99.01,24.518091410873776,46.7094146023256,46.59398826110156
28.5,1.84,89.3,17.8,60.9,61.97,77.7626617488457,39.114021479817744,18.965699138460963
58.0,9.38,76.9,15.4,58.4,90.58,73.36788328869662,55.16531139656635,50.34270437759187
60.9,1.99,94.2,8.5,49.3,43.26,78.62065162532532,55.13205477971583,46.52068411379429
66.3,6.11,86.4,5.4,79.5,25.19,87.52589437127784,67.51413626517417,49.61852293328923
27.3,7.06,75.1,28.4,65.2,30.35,70.64239587073018,53.84476790732212,27.481331968683783
