product_id,product_name,category,product_weight_kg,fragility_index,shipping_type,normalized_product_weight,fragility_level
152,Medicine Pack - Large,Pharmacy,0.25,3,Road,0.015625,
153,Medicine Syrup - Kids,Pharmacy,0.28,3,Air,0.0175,
154,Vitamin Bottle - Large,Pharmacy,0.35,3,Road,0.021875,
155,Vitamin Box - Family Pack,Pharmacy,0.6,3,Road,0.0375,
156,First Aid Kit - Premium,Pharmacy,1.0,3,Road,0.0625,
157,Blood Pressure Monitor Set,Pharmacy,0.7,3,Road,0.04375,
158,Glucose Meter Pack,Pharmacy,0.25,3,Air,0.015625,
159,Eye Drop Bottle - Small,Pharmacy,0.04,3,Air,0.0025,
160,Pain Relief Ointment Pack,Pharmacy,0.2,3,Road,0.0125,
161,Bandage Roll Set,Pharmacy,0.3,2,Road,0.01875,
162,Water Bottle Pack,Drinkware,1.4,3,Road,0.0875,
163,Travel Tumbler Set,Drinkware,0.9,3,Road,0.05625,
164,Thermos Flask - Large,Drinkware,0.85,3,Road,0.053125,
165,Glass Bottle - Premium,Drinkware,0.95,4,Sea,0.059375,
166,Wine Bottle Set,Drinkware,2.6,4,Sea,0.1625,
167,Juice Pack - Family Size,Drinkware,1.5,3,Road,0.09375,
168,Energy Drink - Value Pack,Drinkware,1.1,2,Road,0.06875,
169,Snack Mix - Premium,Food,0.7,2,Road,0.04375,
170,Snack Box - Family Size,Food,1.0,2,Road,0.0625,
171,Chocolate Bag - Value Pack,Food,0.55,2,Air,0.034375,
172,Cereal Packet - Small,Food,0.35,2,Road,0.021875,
173,Granola Pack (Large),Food,0.65,2,Road,0.040625,
174,Pasta Box (Large),Food,0.8,2,Road,0.05,
175,Frozen Veggie Pack - Family Size,Food,1.6,2,Air,0.1,
176,Spice Jar Set - Premium,Food,0.85,2,Air,0.053125,
177,Rice Bag 10kg,Food,10.0,1,Sea,0.625,high
178,Sugar Pack 5kg,Food,5.0,1,Road,0.3125,high
179,Smartphone - Value Pack,Electronics,0.31,5,Air,0.019375,
180,Tablet Device - Standard,Electronics,0.55,4,Air,0.034375,
181,Laptop - Business Edition,Electronics,2.9,5,Air,0.18125,
182,Wireless Mouse - Premium,Electronics,0.16,3,Air,0.01,
183,Bluetooth Speaker - Standard,Electronics,0.7,4,Road,0.04375,
184,USB Flash Drive Bundle,Electronics,0.08,2,Air,0.005,
185,Router (Mesh),Electronics,0.6,3,Road,0.0375,
186,"LED Monitor 32""",Electronics,6.1,4,Sea,0.38125,
187,"Smart TV 65""",Electronics,14.0,4,Sea,0.875,
188,Graphic Tablet - Large,Electronics,1.4,4,Air,0.0875,
189,Office Paper Ream - Premium,Paper Product,2.6,1,Road,0.1625,high
190,Notebook - Small,Paper Product,0.25,1,Air,0.015625,high
191,Booklet - Training Manual,Paper Product,0.4,1,Air,0.025,high
192,Children Story Book - Illustrated,Paper Product,0.5,1,Road,0.03125,high
193,Coloring Book Set - Kids,Paper Product,1.3,1,Road,0.08125,high
194,Recipe Book - Dessert Edition,Paper Product,0.65,1,Road,0.040625,high
195,Office File Folder Set - Premium,Paper Product,0.9,1,Road,0.05625,high
196,Hardcover Novel - Collector Edition,Paper Product,1.3,1,Road,0.08125,high
197,Magazine Bundle - Weekly,Paper Product,0.95,1,Road,0.059375,high
198,Planner Notebook - Deluxe,Paper Product,0.55,1,Air,0.034375,high
199,Perfume Bottle (Small),Cosmetics,0.18,4,Road,0.01125,
200,Perfume Set - Deluxe,Cosmetics,0.9,4,Road,0.05625,
201,Shampoo Bottle - Travel Size,Cosmetics,0.22,3,Road,0.01375,
202,Shampoo Pack - Family Size,Cosmetics,0.8,3,Road,0.05,
203,Lotion Bottle - Premium,Cosmetics,0.45,3,Road,0.028125,
204,Face Wash Tube - Oil Control,Cosmetics,0.25,2,Road,0.015625,
205,Eyeshadow Kit - Deluxe,Cosmetics,0.28,3,Road,0.0175,
206,Nail Polish Set - Glitter,Cosmetics,0.32,3,Road,0.02,
207,Sunscreen Lotion SPF50,Cosmetics,0.35,2,Road,0.021875,
208,Beard Oil Bottle - Small,Cosmetics,0.14,3,Road,0.00875,
209,Hair Gel Jar - Extra Hold,Cosmetics,0.38,2,Road,0.02375,
210,Medicine Pack - Kids,Pharmacy,0.18,3,Air,0.01125,
211,Medicine Syrup - Adult,Pharmacy,0.32,3,Air,0.02,
212,Vitamin Bottle - Kids,Pharmacy,0.22,3,Road,0.01375,
213,Vitamin Box - Premium,Pharmacy,0.55,3,Road,0.034375,
214,First Aid Kit - Travel,Pharmacy,0.6,3,Road,0.0375,
215,Digital Thermometer - Premium,Pharmacy,0.09,3,Air,0.005625,
216,Glucose Meter - Compact,Pharmacy,0.18,3,Air,0.01125,
217,Eye Drop Bottle - Allergy Relief,Pharmacy,0.05,3,Air,0.003125,
218,Nasal Spray - Decongestant,Pharmacy,0.08,3,Air,0.005,
219,Bandage Roll - Elastic,Pharmacy,0.22,2,Road,0.01375,
220,Pain Relief Ointment - Extra Strength,Pharmacy,0.16,3,Road,0.01,
221,Water Bottle (Small),Drinkware,0.55,3,Road,0.034375,
222,Water Jug - Premium,Drinkware,2.4,3,Sea,0.15,
223,Glass Bottle Set - Gift,Drinkware,1.8,4,Sea,0.1125,
224,Travel Tumbler - Insulated,Drinkware,0.45,3,Road,0.028125,
225,Thermos Flask - Travel,Drinkware,0.7,3,Road,0.04375,
226,Juice Bottle - Kids Pack,Drinkware,0.65,3,Road,0.040625,
227,Energy Drink - Sports,Drinkware,0.55,2,Road,0.034375,
228,Snack Pack - Kids,Food,0.35,2,Road,0.021875,
229,Snack Bag - Extra Spicy,Food,0.3,2,Road,0.01875,
230,Snack Box - Party Pack,Food,1.2,2,Road,0.075,
231,Chocolate Box - Gift,Food,0.75,2,Air,0.046875,
232,Cereal Box - Kids,Food,0.5,2,Road,0.03125,
233,Cereal Packet - Value Pack,Food,0.7,2,Road,0.04375,
234,Tea Box - Premium,Food,0.35,2,Air,0.021875,
235,Coffee Pack - Dark Roast,Food,0.4,2,Air,0.025,
236,Granola Pack - Honey,Food,0.6,2,Road,0.0375,
237,Instant Noodles Pack - Spicy,Food,0.55,2,Road,0.034375,
238,Smartphone - Lite,Electronics,0.27,5,Air,0.016875,
239,Smartphone - Max,Electronics,0.33,5,Air,0.020625,
240,Tablet - Kids Edition,Electronics,0.5,4,Air,0.03125,
241,Tablet Device - Business,Electronics,0.7,4,Air,0.04375,
242,Laptop - Gaming,Electronics,3.2,5,Air,0.2,
243,Headphones - Wireless,Electronics,0.32,4,Air,0.02,
244,Power Bank - High Capacity,Electronics,0.4,3,Air,0.025,
245,Bluetooth Speaker - Mini,Electronics,0.45,4,Road,0.028125,
246,USB Flash Drive - 64GB,Electronics,0.05,2,Air,0.003125,
247,Router - Gaming,Electronics,0.7,3,Road,0.04375,
248,"LED Monitor 21""",Electronics,3.5,4,Sea,0.21875,
249,"Smart TV 32""",Electronics,7.8,4,Sea,0.4875,
250,Graphic Tablet - Compact,Electronics,0.9,4,Air,0.05625,
251,Office Paper Ream - Economy,Paper Product,2.1,1,Road,0.13125,high
252,Notebook - Spiral,Paper Product,0.45,1,Road,0.028125,high
253,Book - Paperback Novel,Paper Product,0.5,1,Road,0.03125,high
254,Diary - Pocket,Paper Product,0.3,1,Air,0.01875,high
255,Children Story Book - Beginner,Paper Product,0.4,1,Road,0.025,high
256,Coloring Book Set - Animals,Paper Product,1.1,1,Road,0.06875,high
257,Recipe Book - Quick Meals,Paper Product,0.6,1,Road,0.0375,high
258,Office File Folder Set - Basic,Paper Product,0.75,1,Road,0.046875,high
259,Hardcover Novel - Thriller,Paper Product,0.95,1,Road,0.059375,high
260,Magazine Bundle - Travel,Paper Product,0.85,1,Road,0.053125,high
261,Perfume Bottle - Floral,Cosmetics,0.22,4,Road,0.01375,
262,Perfume Set - Travel,Cosmetics,0.5,4,Road,0.03125,
263,Shampoo Bottle - Herbal,Cosmetics,0.38,3,Road,0.02375,
264,Shampoo Pack - Anti-Dandruff,Cosmetics,0.55,3,Road,0.034375,
265,Face Serum Bottle - Anti-Aging,Cosmetics,0.17,4,Road,0.010625,
266,Lipstick - Matte,Cosmetics,0.11,3,Road,0.006875,
267,Compact Powder - Oil Control,Cosmetics,0.13,3,Road,0.008125,
268,Eyeshadow Kit - Nude,Cosmetics,0.24,3,Road,0.015,
269,Nail Polish Set - Neon,Cosmetics,0.27,3,Road,0.016875,
270,Sunscreen Lotion SPF30,Cosmetics,0.32,2,Road,0.02,
271,Medicine Pack - Travel,Pharmacy,0.14,3,Air,0.00875,
272,Medicine Syrup - Cough Relief,Pharmacy,0.3,3,Air,0.01875,
273,Vitamin Bottle - Women,Pharmacy,0.24,3,Road,0.015,
274,Vitamin Bottle - Men,Pharmacy,0.26,3,Road,0.01625,
275,First Aid Kit - Home,Pharmacy,0.9,3,Road,0.05625,
276,Digital Thermometer - Kids,Pharmacy,0.08,3,Air,0.005,
277,Glucose Meter - Starter,Pharmacy,0.2,3,Air,0.0125,
278,Eye Drop Bottle - Dry Eye,Pharmacy,0.05,3,Air,0.003125,
279,Nasal Spray - Kids,Pharmacy,0.07,3,Air,0.004375,
280,Bandage Roll - Cotton,Pharmacy,0.2,2,Road,0.0125,
281,Water Bottle - Sports,Drinkware,0.7,3,Road,0.04375,
282,Travel Tumbler - Steel,Drinkware,0.5,3,Road,0.03125,
283,Thermos Flask - Office,Drinkware,0.75,3,Road,0.046875,
284,Glass Bottle - Vintage,Drinkware,0.9,4,Sea,0.05625,
285,Wine Bottle - Reserve,Drinkware,1.4,4,Sea,0.0875,
286,Juice Pack - Breakfast,Drinkware,1.2,3,Road,0.075,
287,Energy Drink - Zero Sugar,Drinkware,0.6,2,Road,0.0375,
288,Snack Pack - Party Mix,Food,0.65,2,Road,0.040625,
289,Snack Bag - Cheese,Food,0.28,2,Road,0.0175,
290,Snack Box - Office Pack,Food,0.9,2,Road,0.05625,
291,Chocolate Box - Dark,Food,0.55,2,Air,0.034375,
292,Cereal Box - High Fiber,Food,0.52,2,Road,0.0325,
293,Cereal Packet - Chocolate,Food,0.48,2,Road,0.03,
294,Tea Box - Green Tea,Food,0.33,2,Air,0.020625,
295,Coffee Pack - Instant,Food,0.36,2,Air,0.0225,
296,Granola Pack - Berry,Food,0.58,2,Road,0.03625,
297,Instant Noodles Pack - Cup,Food,0.42,2,Road,0.02625,
298,Rice Bag 2kg,Food,2.0,1,Road,0.125,high
299,Sugar Pack 1kg,Food,1.0,1,Road,0.0625,high
300,Cookie Tin - Assorted,Food,1.1,2,Road,0.06875,
301,Wireless Mouse - Office,Electronics,0.14,3,Air,0.00875,
302,Smartphone - Enterprise,Electronics,0.34,5,Air,0.02125,
303,Tablet Device - Education,Electronics,0.58,4,Air,0.03625,
304,Laptop - Ultrabook,Electronics,1.9,5,Air,0.11875,
305,Headphones - Studio,Electronics,0.4,4,Air,0.025,
306,Bluetooth Speaker - Outdoor,Electronics,1.1,4,Road,0.06875,
307,Power Bank - Slim,Electronics,0.2,3,Air,0.0125,
308,USB Flash Drive - 128GB,Electronics,0.06,2,Air,0.00375,
309,Router - Dual Band,Electronics,0.55,3,Road,0.034375,
310,"LED Monitor 19""",Electronics,3.0,4,Sea,0.1875,
311,"Smart TV 40""",Electronics,8.2,4,Sea,0.5125,
312,Graphic Tablet - Student,Electronics,0.85,4,Air,0.053125,
313,Office Paper Ream - Student,Paper Product,2.2,1,Road,0.1375,high
314,Notebook - College Ruled,Paper Product,0.5,1,Road,0.03125,high
315,Book - Science Textbook,Paper Product,1.3,1,Road,0.08125,high
316,Diary - Leather Cover,Paper Product,0.6,1,Road,0.0375,high
317,Children Story Book - Fairytale,Paper Product,0.45,1,Road,0.028125,high
318,Coloring Book Set - Alphabet,Paper Product,1.0,1,Road,0.0625,high
319,Recipe Book - Vegan,Paper Product,0.7,1,Road,0.04375,high
320,Planner Notebook - Academic,Paper Product,0.5,1,Air,0.03125,high
321,Hardcover Novel - Romance,Paper Product,1.0,1,Road,0.0625,high
322,Magazine Bundle - Fashion,Paper Product,0.9,1,Road,0.05625,high
323,Perfume Bottle - Citrus,Cosmetics,0.23,4,Road,0.014375,
324,Perfume Bottle - Woody,Cosmetics,0.24,4,Road,0.015,
325,Perfume Set - Gift,Cosmetics,0.75,4,Road,0.046875,
326,Shampoo Bottle - Anti Hairfall,Cosmetics,0.42,3,Road,0.02625,
327,Shampoo Bottle - Volumizing,Cosmetics,0.4,3,Road,0.025,
328,Face Serum Bottle - Brightening,Cosmetics,0.16,4,Road,0.01,
329,Lipstick - Glossy,Cosmetics,0.1,3,Road,0.00625,
330,Lipstick - Long Lasting,Cosmetics,0.11,3,Road,0.006875,
331,Compact Powder - Beige,Cosmetics,0.13,3,Road,0.008125,
332,Eyeshadow Kit - Smokey,Cosmetics,0.23,3,Road,0.014375,
333,Nail Polish Set - Pastel,Cosmetics,0.26,3,Road,0.01625,
334,Sunscreen Lotion SPF20,Cosmetics,0.3,2,Road,0.01875,
335,Beard Oil Bottle - Cedarwood,Cosmetics,0.15,3,Road,0.009375,
336,Hair Gel Jar - Wet Look,Cosmetics,0.36,2,Road,0.0225,
337,Medicine Pack - Cold Relief,Pharmacy,0.16,3,Air,0.01,
338,Medicine Pack - Pain Relief,Pharmacy,0.18,3,Air,0.01125,
339,Medicine Syrup - Fever,Pharmacy,0.34,3,Air,0.02125,
340,Vitamin Bottle - Seniors,Pharmacy,0.3,3,Road,0.01875,
341,Vitamin Box - Daily,Pharmacy,0.5,3,Road,0.03125,
342,First Aid Kit - Car,Pharmacy,0.7,3,Road,0.04375,
343,Digital Thermometer - Standard,Pharmacy,0.08,3,Air,0.005,
344,Glucose Meter - Advanced,Pharmacy,0.22,3,Air,0.01375,
345,Eye Drop Bottle - Redness Relief,Pharmacy,0.05,3,Air,0.003125,
346,Nasal Spray - Menthol,Pharmacy,0.07,3,Air,0.004375,
347,Bandage Roll - Sports,Pharmacy,0.24,2,Road,0.015,
348,Pain Relief Ointment - Cooling,Pharmacy,0.18,3,Road,0.01125,
349,Water Bottle - Premium Steel,Drinkware,0.75,3,Road,0.046875,
350,Water Bottle - Kids,Drinkware,0.5,3,Road,0.03125,
351,Travel Tumbler - Leak Proof,Drinkware,0.48,3,Road,0.03,
352,Thermos Flask - Wide Mouth,Drinkware,0.8,3,Road,0.05,
353,Glass Bottle - Gift Pack,Drinkware,1.7,4,Sea,0.10625,
354,Wine Bottle - Classic Red,Drinkware,1.35,4,Sea,0.084375,
355,Juice Pack - Tropical Mix,Drinkware,1.1,3,Road,0.06875,
356,Energy Drink - Classic,Drinkware,0.58,2,Road,0.03625,
357,Snack Pack - Salted,Food,0.4,2,Road,0.025,
358,Snack Bag - Barbecue,Food,0.3,2,Road,0.01875,
359,Snack Box - Movie Night,Food,1.0,2,Road,0.0625,
360,Chocolate Box - Milk,Food,0.6,2,Air,0.0375,
361,Cereal Box - Kids Chocolate,Food,0.55,2,Road,0.034375,
362,Cereal Packet - Honey,Food,0.5,2,Road,0.03125,
363,Tea Box - Masala,Food,0.34,2,Air,0.02125,
364,Coffee Pack - Medium Roast,Food,0.38,2,Air,0.02375,
365,Granola Pack - Nutty,Food,0.6,2,Road,0.0375,
366,Instant Noodles Pack - Family,Food,0.7,2,Road,0.04375,
367,Rice Bag 1kg,Food,1.0,1,Road,0.0625,high
368,Sugar Pack 500g,Food,0.5,1,Road,0.03125,high
369,Cookie Tin - Chocolate Chip,Food,1.0,2,Road,0.0625,
370,Protein Bar Pack - Chocolate,Food,0.45,2,Road,0.028125,
371,Snack Mix - Trail,Food,0.55,2,Road,0.034375,
372,Chocolate Bag - Mini Bites,Food,0.42,2,Air,0.02625,
373,Granola Pack - Coconut,Food,0.62,2,Road,0.03875,
374,Spice Jar Set - Indian,Food,0.9,2,Air,0.05625,
375,Frozen Veggie Pack - Mixed,Food,1.3,2,Air,0.08125,
376,Smartphone - Camera Edition,Electronics,0.32,5,Air,0.02,
377,Smartphone - Battery Plus,Electronics,0.33,5,Air,0.020625,
378,Tablet - Pro,Electronics,0.7,4,Air,0.04375,
379,Tablet Device - Creative,Electronics,0.65,4,Air,0.040625,
380,Laptop - Creator Edition,Electronics,3.1,5,Air,0.19375,
381,Headphones - Noise Cancelling,Electronics,0.38,4,Air,0.02375,
382,Bluetooth Speaker - Bass Boost,Electronics,0.95,4,Road,0.059375,
383,Power Bank - Fast Charge,Electronics,0.3,3,Air,0.01875,
384,USB Flash Drive - 256GB,Electronics,0.07,2,Air,0.004375,
385,Router - Office,Electronics,0.65,3,Road,0.040625,
386,"LED Monitor 29""",Electronics,5.8,4,Sea,0.3625,
387,"Smart TV 50""",Electronics,10.0,4,Sea,0.625,
388,Graphic Tablet - Designer,Electronics,1.2,4,Air,0.075,
389,Office Paper Ream - Copy,Paper Product,2.4,1,Road,0.15,high
390,Notebook - Grid,Paper Product,0.48,1,Road,0.03,high
391,Book - History,Paper Product,0.9,1,Road,0.05625,high
392,Diary - Classic,Paper Product,0.55,1,Road,0.034375,high
393,Children Story Book - Animals,Paper Product,0.42,1,Road,0.02625,high
394,Coloring Book Set - Numbers,Paper Product,1.05,1,Road,0.065625,high
395,Recipe Book - Baking,Paper Product,0.68,1,Road,0.0425,high
396,Planner Notebook - Work,Paper Product,0.52,1,Air,0.0325,high
397,Hardcover Novel - Drama,Paper Product,1.05,1,Road,0.065625,high
398,Magazine Bundle - Sports,Paper Product,0.88,1,Road,0.055,high
399,Perfume Bottle - Ocean Breeze,Cosmetics,0.24,4,Road,0.015,
400,Perfume Set - Signature,Cosmetics,0.82,4,Road,0.05125,
401,Shampoo Bottle - Color Protect,Cosmetics,0.39,3,Road,0.024375,
402,Shampoo Pack - Shine,Cosmetics,0.58,3,Road,0.03625,
403,Face Serum Bottle - Hydrating,Cosmetics,0.18,4,Road,0.01125,
404,Lipstick - Satin,Cosmetics,0.1,3,Road,0.00625,
405,Compact Powder - Natural,Cosmetics,0.14,3,Road,0.00875,
406,Eyeshadow Kit - Bright,Cosmetics,0.25,3,Road,0.015625,
407,Nail Polish Set - Classic,Cosmetics,0.29,3,Road,0.018125,
408,Sunscreen Lotion SPF15,Cosmetics,0.28,2,Road,0.0175,
