category,product_weight_kg,fragility_index,shipping_type,material_type,packaging_type,supplier_region,biodegradation_time_days,recycled_content_percent,reusability_percent,load_handling_score,moisture_resistance_score,thermal_resistance_score,material_suitability_score,supplier_sustainability_compliance_percent,co2_impact_index,co2_impact_score,cost_impact_score,final_sustainability_score
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,69350.0,41.0,89.0,8.0,8.0,7.0,-27663.4,90.0,2,0.716559901819699,0.5990670127927081,0.29936059058696923
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,46640.0,42.0,94.0,8.0,8.0,8.0,-18577.8,88.0,1,0.627728975077686,0.5982974504718159,0.5289227693335645
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,60408.0,40.0,92.0,9.0,8.0,7.0,-24086.2,88.0,1,0.679931947052538,0.6188012460480019,0.38974504749288075
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,50911.0,42.0,89.0,7.0,8.0,8.0,-20287.45,90.0,1,0.5763196916304666,0.6002459959572986,0.48572194137832664
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EU,37036.0,42.0,87.0,9.0,9.0,7.0,-14737.95,96.0,1,0.5815419269379707,0.7226865164816225,0.62594772861643
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,52407.0,38.0,87.0,9.0,9.0,7.0,-20887.750000000004,97.0,1,0.5627882837539284,0.7225028965586306,0.4705587048903444
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,52150.0,41.0,86.0,7.0,9.0,8.0,-20784.15,90.0,1,0.5392836431443909,0.7621413458535603,0.47317679859131623
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,40250.0,36.0,94.0,9.0,9.0,6.0,-16023.9,96.0,2,0.6408202763241723,0.5893534829770198,0.593452905106144
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,35850.0,44.0,87.0,9.0,8.0,8.0,-14262.85,89.0,1,0.5626503889701617,0.6387000734647488,0.6379473662507702
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,10935.0,36.0,92.0,8.0,7.0,7.0,-4298.4,91.0,2,0.6620965238285526,0.6533284855122802,0.889726968733242
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,69350.0,41.0,89.0,7.0,9.0,8.0,-27663.4,90.0,1,0.6632191127615155,0.6002459959572986,0.29935761023622337
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,52150.0,41.0,86.0,9.0,8.0,8.0,-20784.15,90.0,1,0.5293140567072528,0.7673524436688739,0.47317646223120235
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,46640.0,42.0,94.0,9.0,9.0,7.0,-18577.8,88.0,2,0.6740392672105087,0.5683568061353871,0.5289240782234754
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,35850.0,44.0,87.0,8.0,8.0,7.0,-14262.85,89.0,1,0.6009009612872307,0.5890705460487191,0.6379473463431512
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,60408.0,40.0,92.0,8.0,7.0,7.0,-24086.2,88.0,2,0.6937646177978378,0.5894774185525897,0.38974453726844704
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,52407.0,38.0,87.0,8.0,9.0,8.0,-20887.750000000004,97.0,2,0.6276533674738383,0.7230213973500668,0.47056241546843525
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,69350.0,41.0,89.0,9.0,8.0,8.0,-27663.4,90.0,2,0.6993070365654004,0.6175488580973152,0.2993604269640108
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,52150.0,41.0,86.0,7.0,9.0,8.0,-20784.15,90.0,1,0.5318781354685878,0.7624172678259803,0.4731763897806548
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,ROW,35850.0,44.0,87.0,9.0,8.0,8.0,-14262.85,89.0,1,0.5618616353483279,0.5890705460487191,0.6379451269145824
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,LATAM,46640.0,42.0,94.0,8.0,8.0,8.0,-18577.8,88.0,2,0.6392744939214119,0.6051170191474045,0.528923727253417
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,EMEA,52407.0,38.0,87.0,9.0,8.0,7.0,-20887.750000000004,97.0,1,0.5548637957511525,0.7253725338423335,0.4705583812627428
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,AMERICAS,60408.0,40.0,92.0,9.0,8.0,8.0,-24086.2,88.0,2,0.7134337887603521,0.5885032197438792,0.38974561240576866
Electronics,0.3,5,Air,Plastic,Foldable & Stackable Containers,APAC,40250.0,36.0,94.0,9.0,9.0,6.0,-16023.9,96.0,1,0.5974345698759799,0.5683013582001653,0.5934495077082961
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),APAC,65.0,93.0,31.0,3.0,3.0,3.0,54.3,88.0,1,0.3018047492300895,0.2852831484450147,0.9996705569989812
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),ROW,65.0,89.0,31.0,1.0,1.0,4.0,52.9,81.0,0,0.2391577952574874,0.2142566042748103,0.9996284808161905
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),LATAM,122.0,92.0,28.0,3.0,2.0,3.0,30.399999999999995,81.0,0,0.2127058163249861,0.2268079545283948,0.9990590209956036
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),LATAM,31.0,90.0,34.0,1.0,1.0,3.0,67.6,79.0,0,0.2478841914712081,0.2032411107819673,0.9999999170211838
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),EMEA,145.0,85.0,33.0,3.0,3.0,4.0,20.0,80.0,1,0.2816434945639698,0.2010704129213646,0.9987990237166952
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),EU,62.0,94.0,34.0,3.0,1.0,4.0,56.6,76.0,1,0.302096259257693,0.2015548357176664,0.9997249857695671
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),AMERICAS,81.0,89.0,31.0,3.0,2.0,3.0,46.5,86.0,0,0.2162293160607876,0.2863189570949305,0.9994686539339609
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),EU,157.0,91.0,33.0,1.0,3.0,2.0,17.299999999999997,75.0,0,0.218391907237706,0.2015548357176664,0.9987272278961077
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),EMEA,104.0,84.0,32.0,2.0,1.0,3.0,35.8,84.0,0,0.2074054918555771,0.2225083440226571,0.9991949721848847
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),APAC,176.0,87.0,30.0,1.0,2.0,2.0,7.549999999999997,80.0,0,0.2103975936071483,0.2770626962387765,0.9984837574203624
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),LATAM,44.0,84.0,27.0,2.0,2.0,4.0,58.55,86.0,0,0.2617203953887438,0.2586750739436754,0.9997744870248205
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),AMERICAS,171.0,87.0,36.0,2.0,2.0,3.0,11.049999999999995,78.0,0,0.2088297907753779,0.2141612266951623,0.9985693219842748
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),LATAM,66.0,92.0,31.0,3.0,3.0,2.0,53.55,80.0,0,0.2500703390381425,0.2223972898084525,0.9996458848179379
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),EU,133.0,88.0,28.0,2.0,3.0,4.0,24.599999999999994,82.0,0,0.2504788541544958,0.2223863551621,0.9989144234234945
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),LATAM,139.0,88.0,29.0,1.0,3.0,4.0,22.45,84.0,1,0.2740827567716755,0.24125005647826,0.9988622750542836
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),APAC,119.0,94.0,30.0,3.0,3.0,3.0,32.8,78.0,0,0.2474514285371745,0.2699147662997074,0.9991235435700434
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),AMERICAS,170.0,88.0,29.0,3.0,2.0,3.0,10.049999999999995,74.0,0,0.2091754239001026,0.2595445359515738,0.9985460812163957
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),EMEA,122.0,91.0,33.0,3.0,2.0,2.0,31.3,85.0,0,0.2097664148589844,0.204361501455796,0.9990806018003324
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),EMEA,137.0,92.0,33.0,2.0,2.0,4.0,25.649999999999995,79.0,0,0.2221355097642026,0.2010704129213646,0.9989384000477864
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),EMEA,177.0,91.0,33.0,2.0,3.0,4.0,9.299999999999995,84.0,0,0.2378492354095251,0.2078647756298491,0.9985264758369827
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),LATAM,176.0,88.0,32.0,2.0,2.0,4.0,8.399999999999995,83.0,0,0.2310803791646302,0.2160413323130027,0.998503712127692
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),AMERICAS,165.0,84.0,33.0,3.0,1.0,4.0,11.65,80.0,0,0.238937063339975,0.2170675573526369,0.9985863224194969
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),ROW,179.0,88.0,34.0,1.0,2.0,3.0,7.699999999999996,78.0,0,0.2134278981328293,0.203374866777667,0.9984844614765875
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),APAC,126.0,87.0,33.0,3.0,3.0,3.0,28.3,84.0,0,0.225649626232493,0.2250787174868642,0.9990066193774704
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),APAC,152.0,92.0,32.0,2.0,3.0,4.0,19.399999999999995,78.0,0,0.2311195886986552,0.2708475122565555,0.9987840764545425
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),EU,165.0,91.0,30.0,3.0,3.0,3.0,13.349999999999998,79.0,0,0.2165361445117869,0.2198934767256357,0.9986281280211968
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),LATAM,141.0,87.0,31.0,1.0,2.0,3.0,21.8,85.0,0,0.2222504419438936,0.2228765485596663,0.998842092248557
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),APAC,104.0,89.0,31.0,2.0,2.0,3.0,37.3,79.0,0,0.2048941451511531,0.2701757063280567,0.9992348378770741
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),ROW,179.0,88.0,34.0,2.0,3.0,4.0,7.699999999999996,78.0,0,0.2406869489851432,0.203374866777667,0.9984860111835755
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),AMERICAS,104.0,85.0,32.0,3.0,2.0,3.0,36.14999999999999,84.0,0,0.2095100281815132,0.2631237676151066,0.9992057312476669
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),LATAM,141.0,92.0,30.0,2.0,2.0,3.0,23.3,85.0,0,0.2098941861243564,0.2256797980802265,0.9988794144669918
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),LATAM,122.0,91.0,33.0,1.0,2.0,3.0,31.3,85.0,0,0.2062506716654442,0.2077566991070447,0.9990805520536934
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),LATAM,133.0,88.0,29.0,2.0,2.0,3.0,24.849999999999994,82.0,0,0.2062874533733503,0.2271129578874169,0.9989184368812015
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),APAC,171.0,87.0,36.0,3.0,3.0,3.0,11.049999999999995,78.0,0,0.2213413906820267,0.2223977054403122,0.9985703974791479
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),AMERICAS,133.0,88.0,29.0,1.0,3.0,2.0,24.849999999999994,82.0,0,0.2243936196741351,0.259926691157421,0.998920917178592
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),AMERICAS,104.0,89.0,31.0,2.0,3.0,2.0,37.3,79.0,0,0.2127747405151217,0.2606475502860294,0.9992348645861371
Cosmetics,0.2,4,Road,Paper/Bio-Based,Protective Fillers (Paper/Biodegradable),EMEA,141.0,92.0,30.0,3.0,3.0,3.0,23.3,85.0,0,0.2359058867151859,0.2204991205545546,0.9988806641840291
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,APAC,52407.0,38.0,87.0,8.0,8.0,6.0,-20887.750000000004,97.0,1,0.577272596094357,0.7248748645728607,0.47055963322195943
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,AMERICAS,73043.0,41.0,82.0,8.0,9.0,6.0,-29142.35,91.0,2,0.6753495137602377,0.762836954956474,0.2619966304355121
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,LATAM,58200.0,41.0,94.0,8.0,9.0,6.0,-23202.15,87.0,1,0.6438311650304215,0.6965650762755229,0.41208386197107416
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EMEA,15440.0,34.0,89.0,8.0,7.0,7.0,-6101.85,91.0,1,0.6216376695760075,0.6552168083841969,0.8441567015257949
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,ROW,40345.0,41.0,88.0,7.0,9.0,7.0,-16061.65,98.0,1,0.5762970587403244,0.6329933434797419,0.5924973314378592
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EMEA,98971.0,42.0,91.0,8.0,8.0,8.0,-39510.95,93.0,1,0.6002626842813445,0.5984224023260679,6.896602302423154e-08
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,APAC,69350.0,36.0,89.0,9.0,9.0,7.0,-27665.15,90.0,2,0.6912746884569736,0.6023946750645199,0.29931508271464513
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EMEA,70484.0,41.0,89.0,9.0,8.0,8.0,-28117.000000000004,96.0,1,0.6076031615898756,0.5984665794598742,0.2878931882467451
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,ROW,53148.0,40.0,90.0,7.0,9.0,7.0,-21182.7,88.0,2,0.7000797067547471,0.6298217697273103,0.4631098645797351
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EMEA,66060.0,42.0,95.0,8.0,8.0,8.0,-26345.55,94.0,1,0.5716569271296637,0.5791152976165295,0.3326497906141652
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,ROW,50911.0,42.0,89.0,8.0,9.0,6.0,-20287.45,90.0,2,0.6429221494636941,0.6180921474224337,0.4857265169138045
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EMEA,21746.0,39.0,83.0,9.0,8.0,7.0,-8624.0,82.0,2,0.6323996782073169,0.75387725042453,0.7804341210494994
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,ROW,46640.0,42.0,94.0,9.0,8.0,7.0,-18577.8,88.0,1,0.6414780522984747,0.6131836284662722,0.5289242092135996
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,APAC,84051.0,44.0,94.0,9.0,8.0,8.0,-33541.5,89.0,2,0.6839447399960938,0.5680832063464961,0.1508345029072506
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EMEA,78380.0,39.0,87.0,9.0,9.0,8.0,-31276.6,87.0,1,0.5996295112987788,0.7360365913231588,0.20806471519674685
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EU,22417.0,38.0,89.0,7.0,9.0,7.0,-8891.250000000002,98.0,2,0.653572229147924,0.5989023650098105,0.7736758249696567
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EU,86303.0,40.0,86.0,9.0,9.0,8.0,-34445.700000000004,85.0,1,0.5925410560868187,0.7476688739808887,0.12799068584494008
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,LATAM,89433.0,43.0,90.0,8.0,9.0,8.0,-35695.65,91.0,2,0.6812841203349649,0.6552411459368896,0.09640896374506455
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EMEA,51800.0,38.0,93.0,7.0,9.0,7.0,-20643.45,86.0,2,0.6874462300784011,0.7113835251112729,0.4767380661120115
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,LATAM,52150.0,41.0,86.0,7.0,9.0,8.0,-20784.15,90.0,1,0.537416372659931,0.7585876359427978,0.4731765352986947
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EU,61952.0,43.0,89.0,8.0,9.0,7.0,-24703.500000000004,89.0,1,0.6231529293142981,0.6264261012368512,0.3741447419519171
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EU,35850.0,44.0,87.0,8.0,7.0,7.0,-14262.85,89.0,2,0.6256591445840868,0.6482951711447411,0.6379513726391836
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,APAC,68093.0,43.0,89.0,8.0,9.0,8.0,-27159.9,92.0,1,0.5715127620369893,0.5828203393226329,0.3120736386216997
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,APAC,10935.0,36.0,92.0,8.0,7.0,6.0,-4298.4,91.0,1,0.6150683167060628,0.6236838646527223,0.8897229843163518
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,LATAM,84260.0,38.0,94.0,8.0,8.0,6.0,-33627.2,88.0,2,0.7087685142008712,0.6069267546669441,0.1486722365532635
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,LATAM,37036.0,41.0,87.0,7.0,7.0,6.0,-14738.3,96.0,2,0.6330559534570097,0.7139639749779717,0.6259414280520396
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,ROW,62453.0,36.0,92.0,8.0,9.0,8.0,-24905.6,90.0,2,0.7124691972276381,0.6360979427691862,0.3690437553316302
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,APAC,68326.0,41.0,89.0,9.0,8.0,8.0,-27253.800000000003,86.0,2,0.6871201763313589,0.6828774747146726,0.3097120494599713
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,LATAM,60408.0,40.0,92.0,8.0,9.0,6.0,-24086.2,88.0,2,0.6969312237717127,0.6216286972496206,0.3897461389433211
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EU,86202.0,38.0,88.0,8.0,7.0,7.0,-34405.5,94.0,1,0.5949054832351854,0.7147771589385252,0.12900510550364921
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,AMERICAS,41490.0,36.0,88.0,7.0,7.0,7.0,-16521.4,86.0,1,0.6399316023975472,0.7334047588181853,0.5808888145924166
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,APAC,40250.0,36.0,94.0,9.0,9.0,6.0,-16023.9,96.0,1,0.5986046888336511,0.5660314231862815,0.5934494738599448
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,APAC,35850.0,44.0,87.0,9.0,8.0,8.0,-14262.85,89.0,1,0.5545879011617145,0.6520489343943272,0.637947498143021
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,APAC,52150.0,41.0,86.0,8.0,9.0,6.0,-20784.15,90.0,1,0.562853245153984,0.7615062965911594,0.47317811046878017
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,AMERICAS,69350.0,41.0,89.0,8.0,8.0,7.0,-27663.4,90.0,2,0.7187398353070108,0.6013601877565375,0.29936081591709535
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,EU,46640.0,42.0,94.0,8.0,8.0,8.0,-18577.8,88.0,1,0.627631115885418,0.6005402067807737,0.5289228629392865
Electronics,0.4,4,Road,Plastic,Foldable & Stackable Containers,LATAM,60408.0,40.0,92.0,9.0,8.0,7.0,-24086.2,88.0,1,0.6814811684301341,0.6216286972496206,0.38974526059070136
