material_id,material_type,strength_mpa,weight_capacity,co2_emission_score,biodegradability_percent,recyclability_percent,cost_per_kg,indusrty_use_case
MAT_0041,Plastic,7,7,1.39,0.02703904,86,0.741613913,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0042,Steel,9,9.5,2.85,0.005547534,93,0.100751641,"Heavy Industrial Components, High-Security Goods"
MAT_0043,Paper/Bio-Based,1,1.75,0.31,2.324840764,100,0.228658182,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0044,Steel,9,9.25,2.97,0.002150918,89,0.092035271,"Heavy Industrial Components, High-Security Goods"
MAT_0045,Paper/Bio-Based,2,2,0.31,3.509615385,100,0.199766895,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0046,Plastic,7,7.5,1.5,0.022350132,84,0.679422794,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0047,Plastic,8,8,1.41,0.003687949,80,0.570374123,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0048,Cardboard,4,4,0.49,4.055555556,100,0.358764706,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0049,Plastic,9,8.5,1.44,0.005700453,88,0.794204645,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0050,Cardboard,5,4.5,0.49,1.224832215,93,0.315139624,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0051,Plastic,9,8.75,1.44,0.005699207,78,0.101348889,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0052,Plastic,9,8.5,1.56,0.005263158,81,0.54988243,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0053,Plastic,9,8.5,1.47,0.00517848,79,0.593939057,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0054,Plastic,9,7.75,1.61,0.004057224,87,0.839078162,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0055,Plastic,7,7.5,1.6,0.006867615,80,0.630216497,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0056,Paper/Bio-Based,1,1.5,0.29,2.073863636,100,0.327386171,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0057,Plastic,8,8,1.46,0.00552528,80,0.596806984,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0058,Cardboard,5,5,0.52,3.173913043,100,0.279939816,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0059,Cardboard,5,5,0.53,2.466216216,95,0.461652291,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0060,Cardboard,4,4.25,0.54,1.674311927,100,0.313085053,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0061,Cardboard,6,5,0.53,1.271777003,96,0.461561384,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0062,Paper/Bio-Based,2,2.5,0.28,8.295454545,95,0.177615902,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0063,Steel,9,9.25,2.92,0.002026371,81,0.097091363,"Heavy Industrial Components, High-Security Goods"
MAT_0064,Plastic,8,7.75,1.57,0.02145166,69,0.0302505,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0065,Plastic,9,8.25,1.57,0.009117934,80,0.62643097,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0066,Cardboard,6,5,0.55,1.28975265,100,0.410801634,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0067,Plastic,8,7.75,1.54,0.007169374,84,0.562293529,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0068,Cardboard,6,5.5,0.48,2.172619048,97,0.353012621,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0069,Plastic,9,8.25,1.55,0.016784696,82,0.658450948,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0070,Plastic,9,8.25,1.62,0.006909738,73,0.149377105,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0071,Plastic,7,7.75,1.42,0.005965027,68,0.153474607,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0072,Plastic,7,7,1.36,0.005157407,73,0.238481406,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0073,Plastic,9,8.25,1.47,0.007825901,92,0.537307401,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0074,Cardboard,6,4.5,0.51,2.159763314,100,0.3302784,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0075,Plastic,9,8.75,1.59,0.016637797,82,0.175024103,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0076,Paper/Bio-Based,2,2.25,0.3,2.134502924,99,0.180278489,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0077,Plastic,9,8.5,1.53,0.004342602,84,0.578580693,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0078,Plastic,9,8.75,1.43,0.0046568,88,0.574377456,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0079,Cardboard,4,4.25,0.52,1.46,98,0.458990445,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0080,Plastic,7,7.5,1.63,0.016282286,92,0.570770628,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0081,Plastic,9,8.75,1.47,0.004229285,86,0.567386618,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0082,Plastic,8,7.5,1.45,0.009507437,71,0.306642704,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0083,Cardboard,5,4.5,0.54,1.815920398,100,0.362451604,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0084,Plastic,7,7.75,1.35,0.004579386,63,0.297679309,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0085,Plastic,7,7,1.35,0.005593698,68,0.109292511,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0086,Cardboard,5,4.75,0.52,1.169871795,100,0.348158133,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0087,Plastic,8,7.5,1.5,0.011090517,88,0.668081456,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0088,Plastic,9,8.25,1.45,0.008077366,69,0.133882378,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0089,Paper/Bio-Based,3,2.75,0.31,5.53030303,95,0.255828523,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0090,Paper/Bio-Based,2,2.75,0.28,2.744360902,100,0.199694962,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0091,Plastic,8,8.25,1.49,0.004081268,95,0.648434059,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0092,Paper/Bio-Based,1,2.25,0.32,2.625899281,97,0.379126306,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0093,Plastic,7,7.5,1.6,0.007046332,82,0.590172519,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0094,Plastic,7,7.5,1.51,0.004466799,100,0.640450626,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0095,Cardboard,5,4,0.52,4.055555556,100,0.435722123,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0096,Cardboard,4,3.75,0.47,1.852791878,99,0.503391682,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0097,Cardboard,5,4,0.54,1.254295533,97,0.310380466,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0098,Paper/Bio-Based,3,3,0.31,3.067226891,99,0.309591352,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0099,Plastic,8,7.5,1.54,0.019076987,84,0.767161496,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0100,Paper/Bio-Based,3,2.75,0.28,2.147058824,100,0.168094842,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0101,Paper/Bio-Based,3,2.5,0.31,2.991803279,100,0.2846949,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0102,Steel,8,8.25,3,0.002253615,94,0.10735844,"Heavy Industrial Components, High-Security Goods"
MAT_0103,Cardboard,4,4.25,0.51,1.508264463,99,0.413833529,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0104,Cardboard,6,5,0.52,1.951871658,100,0.374800556,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0105,Plastic,7,7.75,1.44,0.006999041,85,0.601310915,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0106,Plastic,7,7,1.4,0.005085336,61,0.248995618,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0107,Plastic,7,7.25,1.6,0.014444005,86,0.650470761,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0108,Plastic,8,8,1.42,0.005891658,92,0.618140067,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0109,Plastic,8,7.5,1.49,0.010181311,94,0.597850959,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0110,Plastic,7,6.75,1.52,0.008500431,92,0.691959584,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0111,Cardboard,5,4,0.51,2.401315789,100,0.346165544,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0112,Steel,8,8.75,3.15,0.004834885,95,0.110554832,"Heavy Industrial Components, High-Security Goods"
MAT_0113,Plastic,9,7.75,1.38,0.005456067,90,0.821066802,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0114,Paper/Bio-Based,2,2.5,0.29,2.664233577,100,0.230981538,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0115,Cardboard,5,4.25,0.55,2.37012987,94,0.361820418,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0116,Cardboard,6,5.25,0.5,1.341911765,93,0.360901388,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0117,Plastic,9,8.25,1.39,0.011808094,87,0.687915615,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0118,Plastic,8,8.25,1.48,0.005360316,87,0.563266039,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0119,Plastic,7,7.25,1.43,0.014458881,86,0.719384854,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0120,Paper/Bio-Based,2,2.75,0.3,2.062146893,100,0.30368963,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0121,Cardboard,5,4.5,0.47,1.177419355,100,0.450539908,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0122,Plastic,9,8.5,1.6,0.00553156,69,0.189726242,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0123,Cardboard,5,4.75,0.52,1.09939759,97,0.406117297,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0124,Steel,9,9.25,2.98,0.003523234,94,0.105535821,"Heavy Industrial Components, High-Security Goods"
MAT_0125,Plastic,7,7.25,1.38,0.012455637,82,0.799218892,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0126,Plastic,8,7.25,1.42,0.033379058,86,0.625451056,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0127,Cardboard,4,4.25,0.51,2.385620915,100,0.375738915,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0128,Steel,8,8.5,3.13,0.003666241,93,0.102465228,"Heavy Industrial Components, High-Security Goods"
MAT_0129,Paper/Bio-Based,2,2.5,0.3,2.073863636,100,0.250070586,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0130,Cardboard,6,5,0.52,1.327272727,96,0.391299194,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0131,Plastic,8,7.5,1.48,0.008810679,84,0.731365774,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0132,Cardboard,6,5,0.53,3.613861386,99,0.424444754,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0133,Plastic,9,7.75,1.46,0.007226578,69,0.17526242,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0134,Cardboard,5,4.5,0.49,1.508264463,99,0.345137379,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0135,Paper/Bio-Based,3,2.75,0.31,2.212121212,100,0.20909075,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0136,Cardboard,5,4.5,0.48,1.825,97,0.411875956,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0137,Cardboard,5,4.75,0.51,2.807692308,97,0.368751944,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0138,Plastic,8,7.75,1.44,0.014468625,84,0.749311238,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0139,Plastic,8,7.5,1.52,0.00433183,85,0.600407635,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0140,Cardboard,4,4.25,0.51,1.448412698,99,0.357809463,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0141,Steel,9,9,2.98,0.002377091,94,0.109385862,"Heavy Industrial Components, High-Security Goods"
MAT_0142,Paper/Bio-Based,1,1.75,0.3,2.039106145,100,0.284651335,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0143,Plastic,7,7,1.38,0.00489716,62,0.17679572,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0144,Plastic,7,6.75,1.54,0.009855276,82,0.621581837,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0145,Plastic,8,7.5,1.5,0.011427677,93,0.703311456,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0146,Plastic,8,8.25,1.49,0.005844395,81,0.662900322,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0147,Cardboard,4,4,0.53,2.37012987,100,0.417778209,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0148,Plastic,7,7,1.44,0.004742477,90,0.729167786,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0149,Steel,9,9,3.06,0.004029276,96,0.108711206,"Heavy Industrial Components, High-Security Goods"
MAT_0150,Paper/Bio-Based,3,3,0.28,2.896825397,94,0.27328,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0151,Plastic,7,7,1.52,0.009113608,94,0.70231296,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0152,Steel,10,9.5,3.07,0.002313201,99,0.101365146,"Heavy Industrial Components, High-Security Goods"
MAT_0153,Plastic,9,8.5,1.6,0.005342037,87,0.688187645,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0154,Cardboard,6,5.5,0.51,2.324840764,100,0.329885089,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0155,Plastic,9,7.75,1.56,0.008810679,85,0.774165905,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0156,Plastic,8,8,1.48,0.012884323,87,0.720585437,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0157,Plastic,8,8,1.49,0.011549902,77,0.257576374,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0158,Cardboard,6,5,0.51,3.613861386,99,0.346766388,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0159,Plastic,8,7.75,1.49,0.006042246,81,0.630629963,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0160,Cardboard,5,4,0.55,1.746411483,100,0.409826416,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0161,Paper/Bio-Based,2,2.75,0.3,2.401315789,99,0.325563492,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0162,Steel,9,9,3.13,0.004834885,95,0.109213574,"Heavy Industrial Components, High-Security Goods"
MAT_0163,Cardboard,5,4.75,0.51,2.172619048,100,0.42018009,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0164,Plastic,7,7,1.41,0.00654826,88,0.76584447,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0165,Steel,8,8.5,3.09,0.003228289,86,0.115313305,"Heavy Industrial Components, High-Security Goods"
MAT_0166,Cardboard,6,4.75,0.51,1.586956522,99,0.414328374,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0167,Paper/Bio-Based,3,3,0.3,2.212121212,98,0.304390861,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0168,Plastic,8,7.5,1.42,0.004234241,90,0.588436723,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0169,Plastic,8,8,1.57,0.006025787,77,0.181278768,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0170,Plastic,8,7.25,1.45,0.016518079,95,0.731366281,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0171,Paper/Bio-Based,1,1.75,0.28,2.588652482,100,0.225194667,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0172,Cardboard,4,4.25,0.51,1.09939759,97,0.406117297,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0173,Cardboard,6,5,0.5,2.401315789,96,0.409826416,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0174,Plastic,9,7.75,1.4,0.010887397,87,0.789017949,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0175,Cardboard,6,5,0.52,1.508264463,99,0.413833529,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0176,Plastic,7,7,1.48,0.008797301,88,0.688187645,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0177,Plastic,9,8,1.4,0.008500431,92,0.691959584,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0178,Cardboard,6,5.25,0.52,1.327272727,95,0.391299194,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0179,Steel,9,9,3.13,0.003666241,94,0.09995571,"Heavy Industrial Components, High-Security Goods"
MAT_0180,Plastic,7,7,1.6,0.005699207,78,0.181278768,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0181,Cardboard,5,4.75,0.51,2.385620915,98,0.375738915,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0182,Plastic,9,8.5,1.37,0.012884323,89,0.720585437,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0183,Plastic,7,6.75,1.48,0.011808094,93,0.758069386,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0184,Plastic,9,8.25,1.48,0.009068323,85,0.642282934,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0185,Paper/Bio-Based,2,2.25,0.29,3.509615385,99,0.230981538,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0186,Cardboard,5,4,0.53,1.746411483,97,0.409826416,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0187,Plastic,7,7,1.53,0.010887397,90,0.767161496,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0188,Plastic,9,8.5,1.48,0.010181311,85,0.597850959,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0189,Steel,8,8.5,2.83,0.003523234,94,0.105535821,"Heavy Industrial Components, High-Security Goods"
MAT_0190,Plastic,8,7.75,1.45,0.004742477,95,0.729167786,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0191,Plastic,7,6.75,1.48,0.009113608,91,0.70231296,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0192,Plastic,8,7.5,1.52,0.00489716,62,0.17679572,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0193,Cardboard,6,5,0.54,1.448412698,98,0.357809463,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0194,Plastic,8,7.75,1.46,0.006999041,86,0.601310915,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0195,Steel,8,8.75,3.13,0.002313201,88,0.101365146,"Heavy Industrial Components, High-Security Goods"
MAT_0196,Cardboard,4,3.5,0.52,1.09939759,97,0.406117297,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0197,Paper/Bio-Based,2,2.75,0.3,2.039106145,100,0.284651335,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0198,Plastic,9,7.75,1.47,0.010885125,94,0.768410428,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0199,Cardboard,5,4,0.47,1.028169014,96,0.345530133,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0200,Plastic,9,8.25,1.57,0.011427677,87,0.703311456,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0201,Plastic,8,7.75,1.52,0.005263158,82,0.54988243,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0202,Cardboard,4,4,0.5,1.586956522,99,0.414328374,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0203,Cardboard,4,3.5,0.53,2.324840764,100,0.329885089,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0204,Plastic,9,8.5,1.44,0.009117934,94,0.62643097,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0205,Plastic,8,8,1.46,0.007825901,94,0.537307401,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0206,Plastic,9,7.75,1.45,0.008810679,90,0.731365774,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0207,Plastic,8,7.75,1.57,0.00553156,68,0.189726242,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0208,Plastic,9,8.25,1.43,0.006042246,84,0.630629963,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0209,Steel,8,9,3.13,0.004029276,97,0.108711206,"Heavy Industrial Components, High-Security Goods"
MAT_0210,Plastic,7,7,1.42,0.014444005,90,0.650470761,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0211,Cardboard,5,4.5,0.51,2.37012987,100,0.417778209,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0212,Paper/Bio-Based,3,2.75,0.3,3.509615385,100,0.199766895,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0213,Cardboard,5,4.5,0.51,1.815920398,96,0.362451604,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0214,Plastic,7,7.5,1.38,0.007169374,84,0.562293529,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0215,Plastic,7,7.5,1.52,0.012455637,82,0.799218892,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0216,Cardboard,5,4.5,0.5,1.72985782,97,0.493890027,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
