product_id,material_name,predicted_cost,predicted_co2,recyclability,suitability_score
77,Plastic,11.93,1.02,0.84,8.333333333333334
78,Plastic,12.68,0.94,0.88,8.666666666666666
79,Cardboard,3.39,0.9,0.98,4.333333333333333
80,Plastic,11.61,1.05,0.92,7.666666666666667
81,Plastic,12.38,1.09,0.86,8.666666666666666
82,Plastic,1.91,2.09,0.71,7.333333333333333
83,Cardboard,2.6,0.86,1.0,4.333333333333333
84,Plastic,2.23,1.97,0.63,8.0
85,Plastic,0.84,1.95,0.68,7.0
86,Cardboard,3.18,0.93,1.0,4.666666666666667
87,Plastic,14.55,1.23,0.88,7.333333333333333
88,Plastic,0.84,1.9,0.69,8.0
89,Paper/Bio-Based,2.26,0.42,0.95,2.6666666666666665
90,Paper/Bio-Based,1.76,0.57,1.0,3.0
91,Plastic,12.25,0.96,0.95,8.333333333333334
92,Paper/Bio-Based,2.55,0.47,0.97,2.6666666666666665
93,Plastic,12.22,0.87,0.82,7.666666666666667
94,Plastic,14.87,1.14,1.0,7.666666666666667
95,Cardboard,3.63,0.68,1.0,3.6666666666666665
96,Cardboard,3.87,0.77,0.99,3.6666666666666665
97,Cardboard,2.81,0.78,0.97,3.6666666666666665
98,Paper/Bio-Based,2.49,0.55,0.99,3.0
99,Plastic,15.74,1.2,0.84,7.333333333333333
100,Paper/Bio-Based,1.5,0.52,1.0,2.6666666666666665
101,Paper/Bio-Based,2.02,0.46,1.0,2.3333333333333335
102,Steel,25.66,3.58,0.94,8.333333333333334
103,Cardboard,3.14,0.79,0.99,4.333333333333333
104,Cardboard,2.7,0.85,1.0,4.666666666666667
105,Plastic,12.72,0.92,0.85,8.0
106,Plastic,1.46,1.96,0.61,7.0
107,Plastic,14.28,1.17,0.86,7.333333333333333
108,Plastic,12.18,1.07,0.92,8.0
109,Plastic,11.55,1.08,0.94,7.333333333333333
110,Plastic,14.61,1.13,0.92,6.666666666666667
111,Cardboard,2.69,0.76,1.0,3.6666666666666665
112,Steel,24.63,3.61,0.95,9.0
113,Plastic,15.71,1.21,0.9,7.333333333333333
114,Paper/Bio-Based,1.96,0.56,1.0,2.6666666666666665
115,Cardboard,3.22,0.9,0.94,4.0
116,Cardboard,2.83,0.9,0.93,5.0
117,Plastic,14.68,1.2,0.87,8.0
118,Plastic,12.01,1.06,0.87,8.333333333333334
119,Plastic,14.41,1.18,0.86,7.333333333333333
120,Paper/Bio-Based,2.2,0.47,1.0,3.0
121,Cardboard,3.31,0.8,1.0,4.333333333333333
122,Plastic,1.86,1.96,0.69,8.333333333333334
123,Cardboard,2.94,0.73,0.97,4.666666666666667
124,Steel,24.62,3.56,0.94,9.333333333333334
125,Plastic,15.11,1.12,0.82,7.333333333333333
126,Plastic,12.59,1.06,0.86,7.0
127,Cardboard,2.83,0.81,1.0,4.333333333333333
128,Steel,25.68,3.57,0.93,8.666666666666666
129,Paper/Bio-Based,2.02,0.53,1.0,2.6666666666666665
130,Cardboard,3.18,0.85,0.96,4.666666666666667
131,Plastic,15.76,1.06,0.84,7.333333333333333
132,Cardboard,3.1,0.8,0.99,4.666666666666667
133,Plastic,1.33,1.96,0.69,7.333333333333333
134,Cardboard,2.8,0.72,0.99,4.333333333333333
135,Paper/Bio-Based,1.87,0.54,1.0,2.6666666666666665
136,Cardboard,3.31,0.88,0.97,4.333333333333333
137,Cardboard,2.94,0.74,0.97,4.666666666666667
138,Plastic,14.65,1.14,0.84,7.666666666666667
139,Plastic,12.72,1.06,0.85,7.333333333333333
140,Cardboard,2.78,0.81,0.99,4.333333333333333
141,Steel,24.96,3.58,0.94,9.0
142,Paper/Bio-Based,2.5,0.58,1.0,2.0
143,Plastic,1.5,1.96,0.62,7.0
144,Plastic,12.72,1.06,0.82,6.666666666666667
145,Plastic,14.41,1.21,0.93,7.333333333333333
146,Plastic,12.28,0.92,0.81,8.333333333333334
147,Cardboard,2.98,0.76,1.0,4.0
148,Plastic,14.65,1.06,0.9,7.0
149,Steel,25.43,3.64,0.96,9.0
150,Paper/Bio-Based,2.44,0.56,0.94,3.0
151,Plastic,15.25,1.15,0.94,7.0
152,Steel,24.33,3.58,0.99,9.333333333333334
153,Plastic,12.7,1.0,0.87,8.333333333333334
154,Cardboard,2.77,0.76,1.0,5.333333333333333
155,Plastic,14.68,1.21,0.85,7.333333333333333
156,Plastic,15.75,1.16,0.87,8.0
157,Plastic,1.42,2.05,0.77,8.0
158,Cardboard,2.98,0.77,0.99,4.666666666666667
159,Plastic,12.01,1.0,0.81,7.666666666666667
160,Cardboard,3.06,0.73,1.0,3.6666666666666665
161,Paper/Bio-Based,2.54,0.53,0.99,3.0
162,Steel,24.63,3.48,0.95,9.0
163,Cardboard,3.37,0.85,1.0,4.666666666666667
164,Plastic,14.93,1.14,0.88,7.0
165,Steel,24.22,3.61,0.86,8.666666666666666
166,Cardboard,3.07,0.86,0.99,4.333333333333333
167,Paper/Bio-Based,2.4,0.54,0.98,3.0
168,Plastic,12.02,1.06,0.9,7.333333333333333
169,Plastic,1.26,2.02,0.77,8.0
170,Plastic,14.65,1.17,0.95,7.0
171,Paper/Bio-Based,1.6,0.51,1.0,2.0
172,Cardboard,2.94,0.79,0.97,4.333333333333333
173,Cardboard,3.06,0.79,0.96,4.666666666666667
174,Plastic,15.74,1.21,0.87,7.333333333333333
175,Cardboard,3.14,0.8,0.99,4.666666666666667
176,Plastic,12.7,0.9,0.88,7.0
177,Plastic,14.61,1.14,0.92,7.666666666666667
178,Cardboard,3.18,0.92,0.95,5.0
179,Steel,25.68,3.58,0.94,9.0
180,Plastic,1.26,2.07,0.78,7.0
181,Cardboard,2.83,0.8,0.98,4.666666666666667
182,Plastic,15.75,1.2,0.89,8.333333333333334
183,Plastic,14.68,1.07,0.93,6.666666666666667
184,Plastic,11.84,0.96,0.85,8.0
185,Paper/Bio-Based,1.96,0.52,0.99,2.3333333333333335
186,Cardboard,3.06,0.85,0.97,3.6666666666666665
187,Plastic,15.74,1.15,0.9,7.0
188,Plastic,11.55,1.08,0.85,8.333333333333334
189,Steel,24.62,3.48,0.94,8.666666666666666
190,Plastic,14.65,1.21,0.95,7.666666666666667
191,Plastic,15.25,1.08,0.91,6.666666666666667
192,Plastic,1.5,1.95,0.62,7.333333333333333
193,Cardboard,2.78,0.88,0.98,4.666666666666667
194,Plastic,12.72,1.07,0.86,7.666666666666667
195,Steel,24.33,3.67,0.88,9.0
196,Cardboard,2.94,0.85,0.97,3.3333333333333335
197,Paper/Bio-Based,2.5,0.56,1.0,3.0
198,Plastic,14.4,1.15,0.94,7.333333333333333
199,Cardboard,3.05,0.72,0.96,3.6666666666666665
200,Plastic,14.41,1.15,0.87,8.0
201,Plastic,11.28,1.01,0.82,7.666666666666667
202,Cardboard,3.07,0.73,0.99,4.0
203,Cardboard,2.77,0.92,1.0,3.3333333333333335
204,Plastic,14.59,1.13,0.94,8.333333333333334
205,Plastic,11.69,1.06,0.94,8.0
206,Plastic,15.76,1.18,0.9,7.333333333333333
207,Plastic,1.86,2.05,0.68,7.666666666666667
208,Plastic,12.01,1.06,0.84,8.0
209,Steel,25.43,3.58,0.97,9.333333333333334
210,Plastic,14.28,1.18,0.9,7.0
211,Cardboard,2.98,0.76,1.0,4.333333333333333
212,Paper/Bio-Based,1.83,0.47,1.0,2.6666666666666665
213,Cardboard,2.6,0.74,0.96,4.333333333333333
214,Plastic,11.34,0.92,0.84,7.666666666666667
215,Plastic,15.11,1.18,0.82,7.666666666666667
216,Cardboard,3.77,0.85,0.97,4.333333333333333
217,Plastic,14.55,1.2,0.93,7.333333333333333
218,Paper/Bio-Based,1.6,0.5,1.0,2.3333333333333335
219,Plastic,14.41,1.18,0.95,7.333333333333333
220,Cardboard,3.87,0.77,0.99,4.333333333333333
221,Cardboard,2.78,0.76,1.0,4.0
222,Plastic,12.72,0.92,0.95,8.333333333333334
223,Paper/Bio-Based,2.02,0.5,1.0,2.0
224,Cardboard,3.22,0.85,0.96,4.0
225,Plastic,1.42,1.96,0.73,7.333333333333333
226,Plastic,12.45,0.92,0.85,8.333333333333334
227,Cardboard,3.18,0.81,0.99,4.333333333333333
228,Cardboard,3.07,0.73,1.0,4.666666666666667
229,Plastic,14.94,1.21,0.9,7.666666666666667
230,Steel,25.68,3.6,0.88,9.333333333333334
231,Cardboard,3.39,0.72,0.97,4.333333333333333
232,Paper/Bio-Based,1.76,0.52,1.0,2.3333333333333335
233,Plastic,12.72,1.06,0.84,8.0
234,Plastic,1.5,1.99,0.62,7.0
235,Cardboard,2.6,0.85,1.0,4.333333333333333
236,Plastic,14.28,1.15,0.86,7.666666666666667
237,Cardboard,2.82,0.78,0.98,5.0
238,Cardboard,3.14,0.79,0.99,4.333333333333333
239,Plastic,11.84,0.92,0.84,8.0
240,Plastic,14.41,1.17,0.86,7.0
241,Plastic,15.74,1.18,0.9,7.333333333333333
242,Cardboard,2.81,0.78,1.0,4.333333333333333
243,Cardboard,2.94,0.79,0.97,4.0
244,Steel,25.43,3.58,0.95,8.333333333333334
245,Paper/Bio-Based,1.23,0.47,0.94,3.0
246,Plastic,14.65,1.15,0.9,7.333333333333333
247,Plastic,11.55,1.06,0.87,8.333333333333334
248,Plastic,1.42,2.05,0.73,7.333333333333333
249,Plastic,15.25,1.21,0.94,7.0
250,Steel,24.33,3.48,0.97,9.666666666666666
251,Cardboard,3.39,0.72,0.98,4.333333333333333
252,Paper/Bio-Based,1.76,0.5,1.0,2.0
253,Plastic,14.94,1.15,0.92,7.666666666666667
254,Cardboard,2.77,0.76,1.0,4.333333333333333
255,Plastic,14.4,1.06,0.88,7.0
256,Plastic,12.59,0.95,0.87,7.333333333333333
257,Cardboard,2.94,0.73,0.97,4.333333333333333
258,Plastic,14.68,1.21,0.9,7.333333333333333
259,Paper/Bio-Based,1.96,0.52,0.99,2.3333333333333335
260,Cardboard,3.22,0.92,0.94,4.666666666666667
261,Plastic,1.18,2.14,0.76,7.666666666666667
262,Plastic,14.41,1.14,0.95,7.333333333333333
263,Cardboard,3.14,0.79,1.0,4.666666666666667
264,Plastic,11.28,1.06,0.84,8.0
265,Paper/Bio-Based,1.6,0.5,1.0,3.0
266,Cardboard,3.22,0.92,0.94,4.333333333333333
267,Plastic,12.72,0.92,0.82,8.333333333333334
268,Plastic,15.74,1.21,0.9,7.333333333333333
269,Steel,24.62,3.56,0.97,9.0
270,Cardboard,3.87,0.85,0.99,5.0
271,Plastic,11.69,0.98,0.95,8.333333333333334
272,Plastic,14.94,1.15,0.92,6.666666666666667
273,Cardboard,2.82,0.72,0.98,4.0
274,Cardboard,2.83,0.85,1.0,4.333333333333333
275,Plastic,11.55,1.06,0.87,7.666666666666667
276,Plastic,15.25,1.18,0.88,7.333333333333333
277,Cardboard,3.06,0.73,1.0,4.333333333333333
278,Plastic,12.01,1.06,0.87,7.333333333333333
279,Plastic,14.41,1.18,0.94,7.333333333333333
280,Steel,24.33,3.67,0.96,9.0
281,Cardboard,3.87,0.85,0.96,4.333333333333333
282,Plastic,14.68,1.2,0.9,6.666666666666667
283,Cardboard,2.81,0.73,0.99,4.666666666666667
284,Plastic,12.45,0.92,0.85,8.333333333333334
285,Cardboard,3.22,0.85,0.98,3.6666666666666665
286,Plastic,15.11,1.12,0.92,7.333333333333333
287,Cardboard,3.39,0.72,0.98,4.666666666666667
288,Plastic,11.28,1.01,0.88,8.333333333333334
289,Cardboard,2.77,0.92,1.0,3.3333333333333335
290,Plastic,14.4,1.15,0.87,7.0
291,Plastic,12.72,1.07,0.82,8.0
292,Cardboard,2.6,0.73,1.0,3.6666666666666665
293,Plastic,14.65,1.19,0.88,7.0
294,Cardboard,2.94,0.79,0.97,5.0
295,Plastic,11.55,1.08,0.87,8.333333333333334
296,Plastic,15.11,1.12,0.85,7.0
297,Cardboard,2.81,0.73,0.99,4.0
298,Plastic,11.69,0.92,0.95,8.0
299,Plastic,15.25,1.21,0.85,7.333333333333333
300,Cardboard,3.87,0.77,0.99,4.333333333333333
301,Plastic,12.45,1.01,0.85,8.0
302,Plastic,14.94,1.22,0.95,7.0
303,Cardboard,2.82,0.85,1.0,4.333333333333333
304,Plastic,12.01,1.0,0.82,8.333333333333334
305,Plastic,14.68,1.15,0.9,7.333333333333333
306,Cardboard,2.77,0.72,1.0,3.6666666666666665
307,Plastic,11.84,0.96,0.88,8.0
308,Plastic,14.65,1.19,0.87,8.0
309,Cardboard,3.06,0.79,1.0,4.0
310,Plastic,14.4,1.06,0.9,8.0
311,Cardboard,3.22,0.85,0.99,4.666666666666667
312,Plastic,15.11,1.18,0.85,7.666666666666667
313,Cardboard,2.81,0.78,1.0,3.6666666666666665
314,Plastic,14.41,1.18,0.95,7.333333333333333
315,Cardboard,2.94,0.73,0.97,4.666666666666667
316,Plastic,15.25,1.21,0.88,7.0
317,Cardboard,3.14,0.79,0.99,4.0
318,Plastic,14.55,1.2,0.85,8.0
319,Cardboard,2.82,0.78,0.98,4.0
320,Plastic,14.68,1.15,0.9,7.666666666666667
321,Cardboard,3.87,0.85,0.96,4.333333333333333
322,Plastic,14.94,1.15,0.92,7.666666666666667
323,Cardboard,2.77,0.92,1.0,4.333333333333333
324,Plastic,14.4,1.06,0.88,7.0
325,Cardboard,3.06,0.79,0.99,4.333333333333333
326,Plastic,14.65,1.21,0.9,7.333333333333333
327,Cardboard,3.22,0.92,0.94,4.333333333333333
328,Plastic,15.11,1.12,0.85,7.333333333333333
329,Cardboard,2.94,0.79,0.97,4.0
330,Plastic,15.25,1.15,0.88,7.333333333333333
331,Cardboard,2.81,0.73,0.99,4.333333333333333
332,Plastic,14.41,1.21,0.95,7.0
333,Cardboard,2.82,0.72,0.98,4.666666666666667
334,Plastic,14.4,1.15,0.88,7.333333333333333
335,Cardboard,3.87,0.77,0.96,4.333333333333333
336,Plastic,14.68,1.2,0.9,8.333333333333334
337,Cardboard,2.77,0.76,1.0,4.0
338,Plastic,15.25,1.18,0.94,7.0
339,Cardboard,3.22,0.85,0.94,3.6666666666666665
340,Plastic,15.11,1.18,0.85,7.333333333333333
341,Cardboard,2.94,0.79,0.97,4.333333333333333
342,Plastic,14.94,1.21,0.92,7.333333333333333
343,Cardboard,2.81,0.78,0.99,4.333333333333333
344,Plastic,14.4,1.15,0.88,7.333333333333333
345,Cardboard,3.87,0.77,0.96,4.666666666666667
346,Plastic,14.65,1.19,0.9,7.666666666666667
347,Cardboard,2.82,0.72,1.0,3.6666666666666665
348,Plastic,14.41,1.14,0.95,7.666666666666667
349,Cardboard,3.22,0.85,0.98,4.0
350,Plastic,14.68,1.15,0.9,7.333333333333333
351,Cardboard,2.77,0.92,1.0,4.333333333333333
352,Plastic,15.25,1.21,0.88,7.666666666666667
353,Cardboard,3.14,0.73,0.99,4.333333333333333
354,Plastic,15.11,1.18,0.85,7.333333333333333
355,Cardboard,2.81,0.73,1.0,4.333333333333333
356,Plastic,14.4,1.06,0.87,7.666666666666667
357,Cardboard,2.94,0.72,0.97,3.6666666666666665
358,Plastic,14.94,1.22,0.92,7.0
359,Cardboard,3.87,0.85,0.96,4.333333333333333
360,Plastic,14.65,1.15,0.9,7.333333333333333
361,Cardboard,2.82,0.78,1.0,3.6666666666666665
362,Plastic,14.41,1.21,0.95,7.666666666666667
363,Cardboard,3.22,0.92,0.98,4.333333333333333
364,Plastic,14.68,1.2,0.9,7.333333333333333
365,Cardboard,2.77,0.76,1.0,4.333333333333333
366,Plastic,15.25,1.13,0.88,6.666666666666667
367,Cardboard,3.14,0.8,0.99,4.666666666666667
368,Plastic,15.11,1.12,0.85,7.666666666666667
369,Cardboard,2.81,0.73,1.0,4.0
370,Plastic,14.4,1.15,0.87,7.333333333333333
371,Cardboard,2.94,0.79,0.97,4.333333333333333
372,Plastic,14.94,1.15,0.92,7.666666666666667
373,Cardboard,3.87,0.77,0.96,4.333333333333333
374,Plastic,14.65,1.19,0.9,7.0
375,Cardboard,2.82,0.72,0.98,4.666666666666667
376,Plastic,14.41,1.21,0.95,7.333333333333333
377,Cardboard,3.22,0.92,0.94,4.333333333333333
378,Plastic,14.68,1.2,0.9,6.666666666666667
379,Cardboard,2.77,0.76,1.0,4.333333333333333
380,Plastic,15.25,1.13,0.88,7.666666666666667
381,Cardboard,3.14,0.8,0.99,4.666666666666667
382,Plastic,15.11,1.12,0.85,7.666666666666667
383,Cardboard,2.81,0.73,1.0,4.0
384,Plastic,14.4,1.06,0.87,7.333333333333333
385,Cardboard,2.94,0.72,0.97,3.6666666666666665
386,Plastic,14.94,1.22,0.92,7.333333333333333
387,Cardboard,3.87,0.85,0.96,4.666666666666667
388,Plastic,14.65,1.15,0.9,6.666666666666667
389,Cardboard,2.82,0.78,0.98,4.666666666666667
390,Plastic,14.41,1.14,0.95,7.333333333333333
391,Cardboard,3.22,0.92,0.94,3.6666666666666665
392,Plastic,14.68,1.2,0.9,7.333333333333333
393,Cardboard,2.77,0.76,1.0,4.333333333333333
394,Plastic,15.25,1.13,0.88,7.333333333333333
395,Cardboard,3.14,0.79,0.99,4.333333333333333
396,Plastic,15.11,1.18,0.85,7.333333333333333
397,Cardboard,2.81,0.73,1.0,4.333333333333333
398,Plastic,14.4,1.15,0.87,7.333333333333333
399,Cardboard,2.94,0.79,0.97,4.0
400,Plastic,14.94,1.15,0.92,6.666666666666667
401,Cardboard,3.87,0.77,0.96,4.333333333333333
402,Plastic,14.65,1.19,0.9,7.666666666666667
403,Cardboard,2.82,0.72,0.98,3.6666666666666665
404,Plastic,3.87,0.99,0.95,6.666666666666667
