Material ID,Material Type ,IndustryUseCase,Strength(MPa),Weight Capacity,Biodegradability %,CO2 Emission Score,Recyclability%,Cost/Kg,Upload_Timestamp
24,PLA-Coated Paper,agriculture,23.0,35.9,60.0,68.9,98.7,unknown,2025-12-04 01:25:06
88,Recycled Glass,automotive,27.9,5.0,70.0,79.3,84.1,399.69,2025-12-04 00:24:47
96,HDPE Plastic,electronics;household,36.8,47.5,,95.0,42.3,97.77,2025-12-04 00:19:50
75,Starch-Based Biopolymer,cosmetics,15.9,64.1,,46.2,77.9,150.32,2025-12-04 01:55:46
87,Bio-based Polyurethane,fragile_goods,25.0,38.7,50.0,,40.9,136.06,2025-12-04 02:25:59
83,Wheat Straw Fiber,luxury,,6.1,50.0,86.9,,unknown,2025-12-04 01:58:53
21,Wheat Straw Fiber,"industrial,luxury",12.2,,15.0,47.8,50.3,Rs 88,2025-12-04 02:05:39
61, PBS Biopolymer,cosmetics,23.5,29.4,10.0,41.2,78.0,129.56,2025-12-04 01:24:06
72,LDPE Flexible Film,automotive;furniture,46.2,55.2,50.0,,66.7,96.03,2025-12-04 01:41:08
15,Hemp Fiber Composite,agriculture,26.0,84.0,30.0,12.7,72.6,Rs 101,2025-12-04 00:37:03
93,PLA-GF Composite,fragile_goods;pharma,26.3,14.7,20.0,69.1,48.5,Rs 238,2025-12-04 01:41:10
52,Wheat Straw Fiber,automotive,27.2,48.0,0.0,39.7,56.8,94.79,2025-12-04 00:21:51
71,Kraft Paper,agriculture;medical,,41.8,90.0,57.6,28.4,74.64,2025-12-04 02:39:09
