recyclability_percent,recycled_content_percent,reusability_percent,biodegradation_time_days,end_of_life_disposal_percent,carbon_footprint_kg_co2_unit,co2_emission_per_kg_estimated,waste_reduction_impact_percent,sustainability_target_progress_percent,load_handling_score,moisture_resistance_score,thermal_resistance_score,cost_per_unit_usd,annual_usage_units,total_material_weight_tons,supplier_sustainability_compliance_percent,co2_impact_index,cost_efficiency_index,material_suitability_score,overall_sustainability_score,packaging_type,suitable_product_categories,recommended_packaging_use_cases,supplier_region,recyclability_category
100,83.0,50.0,196.0,6.0,0.66,0.54,65.0,92.0,5.0,5.0,4.0,3.48,96598.0,746.0,92.0,82.03647167418191,83.64801864801863,40.74074074074074,83.21276508596367,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,High
87,70.0,97.0,75709.0,7.0,3.45,3.23,85.0,76.0,8.0,9.0,8.0,24.43,23521.0,5092.0,88.0,27.298668661897278,48.45260295260295,81.48148148148148,65.50453403166405,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",APAC,High
76,30.0,7.0,70881.0,25.0,2.03,1.59,25.0,56.0,7.0,9.0,6.0,0.9,32265.0,164.0,68.0,46.16272253073297,72.85967365967365,70.37037037037037,50.25695288575653,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,APAC,Medium
100,85.0,33.0,145.0,3.0,0.46,0.33,70.0,93.0,3.0,3.0,4.0,2.34,74773.0,548.0,80.0,86.52260854420351,82.46247086247087,25.925925925925924,86.28291299047122,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EMEA,High
87,41.0,82.0,73043.0,13.0,1.03,1.58,77.0,81.0,8.0,9.0,6.0,12.56,57353.0,1271.0,91.0,49.5624040138666,68.51010101010101,74.07407407407408,70.8968414048533,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,AMERICAS,Medium
93,84.0,47.0,355.0,5.0,0.77,0.49,61.0,90.0,5.0,5.0,3.0,3.05,102073.0,901.0,91.0,77.83226361684889,81.78329448329448,37.03703703703704,78.09129226589711,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,High
71,30.0,9.0,72362.0,25.0,1.98,1.39,28.0,58.0,8.0,7.0,8.0,1.07,30307.0,277.0,73.0,47.3322174746307,71.42944832944833,74.07407407407408,49.81627611612075,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,ROW,Medium
62,27.0,12.0,38310.0,26.0,1.91,1.46,32.0,66.0,7.0,9.0,8.0,1.49,27635.0,268.0,76.0,44.474101707707625,68.51359751359752,77.77777777777777,46.865935597697664,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,EMEA,Medium
86,41.0,94.0,58200.0,12.0,0.95,1.47,70.0,78.0,8.0,9.0,6.0,12.14,59878.0,1046.0,87.0,51.0132474214086,71.42595182595181,74.07407407407408,68.954636597493,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,Medium
92,78.0,53.0,218.0,6.0,0.79,0.53,56.0,88.0,5.0,4.0,5.0,3.44,98966.0,991.0,83.0,79.22939649463338,81.92571872571874,40.74074074074074,76.73028877312169,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,High
100,94.0,34.0,62.0,3.0,0.47,0.33,69.0,100.0,3.0,1.0,4.0,1.76,71711.0,667.0,76.0,92.4532295945418,83.78912198912198,18.51851851851852,88.05863035808962,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EU,High
94,56.0,90.0,36417.0,10.0,1.15,1.36,77.0,85.0,8.0,9.0,7.0,14.36,45723.0,1029.0,93.0,55.487511928269726,68.71359751359752,77.77777777777777,75.42062917489439,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,Medium
90,75.0,44.0,211.0,5.0,0.76,0.47,62.0,89.0,4.0,5.0,3.0,3.77,98647.0,753.0,93.0,79.60143683729295,78.88469308469308,33.33333333333333,77.96050289305252,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,High
88,34.0,89.0,15440.0,13.0,1.07,1.35,74.0,84.0,8.0,7.0,7.0,12.18,63839.0,1020.0,91.0,55.056312298262775,70.94825174825175,70.37037037037037,72.26970930439197,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,Medium
63,24.0,16.0,53377.0,24.0,1.98,1.61,31.0,59.0,7.0,9.0,8.0,1.07,31171.0,145.0,63.0,42.33325614612073,70.42944832944833,77.77777777777777,46.16663965114225,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,AMERICAS,Medium
100,89.0,31.0,81.0,3.0,0.57,0.3,66.0,99.0,3.0,2.0,3.0,2.74,75019.0,595.0,86.0,90.75385360945376,81.2854700854701,18.51851851851852,86.5638487633088,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,AMERICAS,High
100,79.0,50.0,96.0,4.0,0.8,0.49,55.0,83.0,6.0,4.0,3.0,3.14,98658.0,722.0,85.0,86.9808193311128,84.3084693084693,37.03703703703704,81.94328676588948,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,High
92,48.0,99.0,42997.0,10.0,1.22,1.52,80.0,82.0,9.0,7.0,7.0,14.94,48860.0,978.0,86.0,52.5166721326713,68.7869463869464,74.07407407407406,74.58083524643496,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EU,Medium
91,47.0,97.0,33532.0,10.0,1.04,1.55,79.0,91.0,8.0,7.0,7.0,14.4,51174.0,959.0,97.0,52.13846278694747,69.13589743589743,70.37037037037037,73.79846197543162,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,Medium
100,69.0,96.0,63481.0,8.0,3.49,2.71,85.0,73.0,9.0,9.0,10.0,25.65,24816.0,5014.0,88.0,38.40861415722053,49.78275058275059,92.5925925925926,73.94301495502718,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EMEA,High
98,70.0,100.0,134415.0,9.0,3.43,2.98,84.0,72.0,8.0,9.0,9.0,25.95,19847.0,4946.0,92.0,33.335263989674736,49.4,85.18518518518518,71.16734239638616,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EU,High
90,41.0,88.0,40345.0,13.0,0.86,1.38,75.0,79.0,7.0,9.0,7.0,11.82,61482.0,1158.0,98.0,53.88416965302836,72.04755244755245,74.07407407407406,72.85945937855992,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,ROW,Medium
94,78.0,45.0,265.0,5.0,0.79,0.49,64.0,95.0,6.0,3.0,3.0,2.66,100071.0,782.0,90.0,79.42670280280728,82.44087024087024,33.33333333333333,79.89934598098255,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,High
99,80.0,51.0,192.0,6.0,0.77,0.52,61.0,87.0,5.0,3.0,5.0,2.83,96726.0,713.0,92.0,82.11332619408019,84.81064491064491,37.03703703703704,81.68966416792807,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,High
70,21.0,10.0,49088.0,24.0,1.98,1.37,27.0,62.0,8.0,9.0,8.0,1.27,29882.0,224.0,66.0,47.769377956259454,70.94094794094794,81.48148148148148,49.31928228469081,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,AMERICAS,Medium
66,33.0,13.0,93365.0,25.0,1.95,1.64,32.0,54.0,8.0,8.0,8.0,2.18,28979.0,309.0,72.0,42.17527509582919,68.57327117327118,77.77777777777779,47.461346283540216,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,ROW,Medium
55,26.0,12.0,89889.0,25.0,1.91,1.45,32.0,61.0,9.0,9.0,7.0,1.21,29800.0,153.0,70.0,41.47654424854876,66.95749805749806,81.48148148148148,43.36679048699207,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,APAC,Medium
97,73.0,98.0,72041.0,8.0,3.51,2.92,89.0,72.0,9.0,9.0,9.0,24.34,23233.0,4984.0,86.0,34.53133244088233,51.827428127428135,88.88888888888889,72.73596635430881,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EU,High
100,76.0,51.0,256.0,5.0,0.92,0.55,59.0,96.0,4.0,5.0,5.0,3.31,102546.0,957.0,83.0,80.58048088825278,84.17824397824397,40.74074074074074,80.90316831088846,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,High
100,80.0,50.0,352.0,5.0,0.77,0.49,65.0,91.0,4.0,5.0,3.0,2.59,97310.0,846.0,86.0,79.9680384762608,85.37684537684537,33.33333333333333,82.48881346669128,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,High
86,49.0,95.0,13499.0,10.0,1.07,1.39,81.0,88.0,7.0,7.0,7.0,14.96,50168.0,1012.0,97.0,54.13097042023808,66.14809634809635,66.66666666666666,73.34583964708332,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,Medium
93,68.0,100.0,65795.0,9.0,3.48,2.85,88.0,79.0,9.0,10.0,10.0,24.67,20183.0,4942.0,80.0,34.38057476829317,50.386402486402496,96.29629629629628,70.98320116890261,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",APAC,High
100,91.0,33.0,157.0,2.0,0.62,0.31,63.0,91.0,1.0,3.0,2.0,1.75,71864.0,550.0,75.0,86.33583084360616,83.608547008547,11.11111111111111,84.11754079526214,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EU,High
89,70.0,97.0,169695.0,8.0,3.65,2.97,83.0,71.0,9.0,9.0,10.0,24.23,19011.0,5005.0,85.0,30.53113960296088,49.44110334110334,92.5925925925926,66.7358988610363,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EU,High
100,84.0,32.0,104.0,2.0,0.49,0.31,69.0,95.0,2.0,1.0,3.0,1.83,78051.0,715.0,84.0,88.86273719049103,83.25314685314686,11.11111111111111,86.80195801667185,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EMEA,High
84,50.0,95.0,16331.0,10.0,1.24,1.5,78.0,90.0,7.0,8.0,8.0,14.57,51901.0,1113.0,95.0,51.748750898025165,66.3056721056721,74.07407407407408,70.91206281430881,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,ROW,Medium
80,42.0,91.0,98971.0,12.0,0.89,1.41,77.0,91.0,8.0,8.0,8.0,11.76,60578.0,1249.0,93.0,49.4083815293904,69.76410256410257,77.77777777777779,68.39293353528663,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,Medium
100,76.0,52.0,90.0,5.0,0.86,0.49,58.0,85.0,4.0,4.0,4.0,3.23,96300.0,867.0,89.0,87.43163369031319,84.53364413364413,33.33333333333333,83.0010717916096,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,High
88,51.0,94.0,64030.0,10.0,1.19,1.44,75.0,82.0,9.0,9.0,7.0,14.48,51009.0,930.0,96.0,51.90274019755852,67.48049728049727,81.48148148148148,71.46595906914548,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,Medium
93,77.0,49.0,298.0,5.0,0.94,0.49,51.0,88.0,5.0,5.0,3.0,2.68,99951.0,850.0,93.0,78.59136862297179,82.9020202020202,37.03703703703704,75.35697901804012,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,High
78,24.0,10.0,64044.0,25.0,2.14,1.44,32.0,60.0,9.0,9.0,8.0,1.18,27055.0,315.0,72.0,48.90248014445307,73.51577311577311,85.18518518518518,54.015868050558566,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,Medium
81,36.0,89.0,69350.0,13.0,1.01,1.56,79.0,83.0,9.0,9.0,7.0,11.28,62593.0,1284.0,90.0,48.092317064035065,70.5965034965035,81.48148148148148,68.88231097241227,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,Medium
79,41.0,89.0,70484.0,12.0,0.92,1.47,72.0,87.0,9.0,8.0,8.0,11.84,60648.0,1209.0,96.0,48.685447579214646,68.90870240870241,81.48148148148148,66.28990665272512,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,Medium
87,49.0,94.0,89963.0,10.0,1.19,1.61,80.0,91.0,9.0,7.0,6.0,15.15,52117.0,941.0,100.0,48.92074065311464,65.87902097902099,70.37037037037037,71.57225922859011,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,Medium
80,40.0,90.0,53148.0,12.0,0.96,1.6,75.0,82.0,7.0,9.0,7.0,12.2,55738.0,1079.0,88.0,47.57322509923735,68.70940170940172,74.07407407407406,67.15062878473307,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,ROW,Medium
100,87.0,30.0,176.0,4.0,0.47,0.29,70.0,100.0,1.0,2.0,2.0,2.61,71749.0,572.0,80.0,85.97383428405368,81.33799533799535,7.4074074074074066,86.09084199941879,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,APAC,High
80,42.0,95.0,66060.0,12.0,0.99,1.46,74.0,76.0,8.0,8.0,8.0,11.73,60393.0,1187.0,94.0,49.196357237423285,70.62237762237761,77.77777777777779,67.41872503309814,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,Medium
100,78.0,50.0,115.0,5.0,0.77,0.52,63.0,91.0,5.0,5.0,5.0,2.8,97679.0,977.0,83.0,85.37831693853035,84.96891996891996,44.44444444444444,83.78241092848562,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,High
95,81.0,46.0,148.0,5.0,0.84,0.53,57.0,89.0,5.0,5.0,5.0,2.91,104546.0,659.0,85.0,82.21017270301768,82.45524475524475,44.44444444444444,79.12356044605617,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,High
100,78.0,50.0,218.0,6.0,0.74,0.54,61.0,88.0,4.0,4.0,5.0,2.95,100824.0,950.0,90.0,81.49471635995323,84.67754467754467,37.03703703703704,81.82315072598362,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,High
96,81.0,49.0,287.0,6.0,0.92,0.53,65.0,89.0,6.0,4.0,4.0,3.62,101365.0,795.0,81.0,79.1218218554896,81.97606837606838,40.74074074074074,80.79263764942135,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,High
95,84.0,27.0,44.0,3.0,0.31,0.28,69.0,100.0,2.0,2.0,4.0,1.63,75514.0,693.0,86.0,94.73494935850492,81.14164724164725,18.51851851851852,87.10723227547672,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,High
81,70.0,93.0,180125.0,8.0,3.58,2.92,89.0,71.0,9.0,9.0,10.0,25.34,19288.0,5034.0,92.0,28.74490275812247,44.08492618492619,92.5925925925926,65.11071596534286,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",APAC,High
69,31.0,10.0,17015.0,26.0,2.04,1.57,31.0,63.0,8.0,7.0,8.0,0.21,28810.0,200.0,72.0,46.24273832599472,72.7,74.07407407407408,49.63495841409815,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,EMEA,Medium
80,51.0,100.0,40031.0,10.0,1.1,1.57,82.0,83.0,9.0,7.0,8.0,14.59,44696.0,1041.0,98.0,48.33537577524624,66.06682206682206,77.77777777777777,69.51738152133618,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,Medium
100,75.0,50.0,283.0,5.0,0.77,0.55,64.0,92.0,6.0,3.0,5.0,3.23,102764.0,808.0,83.0,80.11616133232498,84.13364413364414,40.74074074074075,82.24065646631374,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,High
84,42.0,89.0,50911.0,11.0,0.99,1.54,75.0,82.0,8.0,9.0,6.0,11.34,60692.0,1224.0,90.0,49.63443328587535,71.37995337995339,74.07407407407408,69.27205165005637,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,ROW,Medium
97,84.0,54.0,168.0,5.0,0.86,0.48,63.0,96.0,6.0,5.0,5.0,2.69,102623.0,782.0,78.0,82.76869059605166,85.08259518259518,48.14814814814815,81.81904170861807,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,High
82,39.0,83.0,21746.0,12.0,0.9,1.55,76.0,77.0,9.0,8.0,7.0,12.73,59483.0,1150.0,82.0,50.04473455704724,66.87987567987568,77.77777777777777,69.01565709496653,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,Medium
73,32.0,13.0,52824.0,25.0,1.94,1.62,35.0,56.0,9.0,9.0,6.0,2.02,27583.0,373.0,69.0,45.21139396236696,70.98407148407149,77.77777777777777,51.87398788682843,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,AMERICAS,Medium
68,28.0,9.0,61190.0,26.0,2.0,1.42,32.0,62.0,7.0,9.0,8.0,1.47,27876.0,267.0,74.0,46.22628888562253,69.75244755244756,77.77777777777777,49.57920110996788,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,APAC,Medium
73,32.0,8.0,70772.0,25.0,1.92,1.36,24.0,61.0,7.0,8.0,6.0,1.91,31964.0,256.0,63.0,48.36216335425689,70.1977466977467,66.66666666666666,49.67675717398991,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,EMEA,Medium
92,42.0,94.0,46640.0,13.0,0.98,1.47,79.0,75.0,9.0,8.0,7.0,11.69,54650.0,1189.0,88.0,53.08676259372569,74.10007770007769,77.77777777777777,74.48036690780398,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,ROW,Medium
100,77.0,46.0,169.0,4.0,0.75,0.51,57.0,87.0,6.0,3.0,3.0,2.82,96624.0,825.0,90.0,83.23202413541611,84.13006993006992,33.33333333333333,81.23120844739564,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,High
82,37.0,7.0,21938.0,24.0,1.99,1.59,34.0,62.0,9.0,9.0,8.0,0.92,29678.0,156.0,69.0,49.49318571374495,74.62082362082361,85.18518518518518,56.22261499981073,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,EMEA,Medium
99,87.0,36.0,171.0,2.0,0.39,0.3,65.0,91.0,2.0,2.0,3.0,1.23,76655.0,523.0,78.0,85.6958477853541,84.91864801864801,14.814814814814811,84.14354672487394,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,AMERICAS,High
84,44.0,94.0,84051.0,11.0,1.02,1.53,74.0,83.0,9.0,8.0,8.0,11.93,59507.0,1227.0,89.0,49.17474710607714,71.23387723387724,81.48148148148148,68.811161487127,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,Medium
88,39.0,87.0,78380.0,11.0,0.94,1.43,78.0,80.0,9.0,9.0,8.0,12.68,56260.0,1242.0,87.0,51.80119396095847,69.57700077700079,85.18518518518518,72.33041788633547,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,Medium
98,79.0,48.0,250.0,5.0,0.9,0.52,62.0,90.0,4.0,4.0,5.0,3.39,100328.0,741.0,87.0,80.4967745504023,82.82284382284382,37.03703703703704,81.07387109264079,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,High
92,38.0,89.0,22417.0,12.0,1.05,1.63,79.0,81.0,7.0,9.0,7.0,11.61,59486.0,1210.0,98.0,51.92303995572289,73.25547785547786,74.07407407407406,74.07306398450301,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,Medium
86,40.0,86.0,86303.0,11.0,1.09,1.47,82.0,79.0,9.0,9.0,8.0,12.38,56647.0,1236.0,85.0,50.55293691667542,69.35975135975137,85.18518518518518,72.39352792083639,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,Medium
71,38.0,13.0,38391.0,25.0,2.09,1.45,34.0,59.0,8.0,7.0,7.0,1.91,31467.0,196.0,63.0,47.30601952669387,70.5977466977467,70.37037037037037,51.60710683434285,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,Medium
100,81.0,44.0,201.0,6.0,0.86,0.54,58.0,89.0,5.0,5.0,3.0,2.6,99953.0,717.0,85.0,81.90626014064173,84.15742035742035,37.03703703703704,81.06719104922459,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,High
