Recyclability (%),Recycled Content (%),Reusability (%),Biodegradation Time (days),End-of-Life Disposal (%),CO2 Emission per kg (estimated),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Sustainability Compliance (%)
86,41.0,94.0,58200.0,12.0,1.47,70.0,78.0,8.0,9.0,6.0,12.14,59878.0,1046.0,87.0
92,78.0,53.0,218.0,6.0,0.53,56.0,88.0,5.0,4.0,5.0,3.44,98966.0,991.0,83.0
100,94.0,34.0,62.0,3.0,0.33,69.0,100.0,3.0,1.0,4.0,1.76,71711.0,667.0,76.0
94,56.0,90.0,36417.0,10.0,1.36,77.0,85.0,8.0,9.0,7.0,14.36,45723.0,1029.0,93.0
90,75.0,44.0,211.0,5.0,0.47,62.0,89.0,4.0,5.0,3.0,3.77,98647.0,753.0,93.0
88,34.0,89.0,15440.0,13.0,1.35,74.0,84.0,8.0,7.0,7.0,12.18,63839.0,1020.0,91.0
63,24.0,16.0,53377.0,24.0,1.61,31.0,59.0,7.0,9.0,8.0,1.07,31171.0,145.0,63.0
100,89.0,31.0,81.0,3.0,0.3,66.0,99.0,3.0,2.0,3.0,2.74,75019.0,595.0,86.0
100,79.0,50.0,96.0,4.0,0.49,55.0,83.0,6.0,4.0,3.0,3.14,98658.0,722.0,85.0
92,48.0,99.0,42997.0,10.0,1.52,80.0,82.0,9.0,7.0,7.0,14.94,48860.0,978.0,86.0
91,47.0,97.0,33532.0,10.0,1.55,79.0,91.0,8.0,7.0,7.0,14.4,51174.0,959.0,97.0
100,69.0,96.0,63481.0,8.0,2.71,85.0,73.0,9.0,9.0,10.0,25.65,24816.0,5014.0,88.0
98,70.0,100.0,134415.0,9.0,2.98,84.0,72.0,8.0,9.0,9.0,25.95,19847.0,4946.0,92.0
90,41.0,88.0,40345.0,13.0,1.38,75.0,79.0,7.0,9.0,7.0,11.82,61482.0,1158.0,98.0
94,78.0,45.0,265.0,5.0,0.49,64.0,95.0,6.0,3.0,3.0,2.66,100071.0,782.0,90.0
99,80.0,51.0,192.0,6.0,0.52,61.0,87.0,5.0,3.0,5.0,2.83,96726.0,713.0,92.0
70,21.0,10.0,49088.0,24.0,1.37,27.0,62.0,8.0,9.0,8.0,1.27,29882.0,224.0,66.0
66,33.0,13.0,93365.0,25.0,1.64,32.0,54.0,8.0,8.0,8.0,2.18,28979.0,309.0,72.0
55,26.0,12.0,89889.0,25.0,1.45,32.0,61.0,9.0,9.0,7.0,1.21,29800.0,153.0,70.0
97,73.0,98.0,72041.0,8.0,2.92,89.0,72.0,9.0,9.0,9.0,24.34,23233.0,4984.0,86.0
100,76.0,51.0,256.0,5.0,0.55,59.0,96.0,4.0,5.0,5.0,3.31,102546.0,957.0,83.0
100,80.0,50.0,352.0,5.0,0.49,65.0,91.0,4.0,5.0,3.0,2.59,97310.0,846.0,86.0
86,49.0,95.0,13499.0,10.0,1.39,81.0,88.0,7.0,7.0,7.0,14.96,50168.0,1012.0,97.0
93,68.0,100.0,65795.0,9.0,2.85,88.0,79.0,9.0,10.0,10.0,24.67,20183.0,4942.0,80.0
100,91.0,33.0,157.0,2.0,0.31,63.0,91.0,1.0,3.0,2.0,1.75,71864.0,550.0,75.0
89,70.0,97.0,169695.0,8.0,2.97,83.0,71.0,9.0,9.0,10.0,24.23,19011.0,5005.0,85.0
100,84.0,32.0,104.0,2.0,0.31,69.0,95.0,2.0,1.0,3.0,1.83,78051.0,715.0,84.0
84,50.0,95.0,16331.0,10.0,1.5,78.0,90.0,7.0,8.0,8.0,14.57,51901.0,1113.0,95.0
80,42.0,91.0,98971.0,12.0,1.41,77.0,91.0,8.0,8.0,8.0,11.76,60578.0,1249.0,93.0
100,76.0,52.0,90.0,5.0,0.49,58.0,85.0,4.0,4.0,4.0,3.23,96300.0,867.0,89.0
88,51.0,94.0,64030.0,10.0,1.44,75.0,82.0,9.0,9.0,7.0,14.48,51009.0,930.0,96.0
93,77.0,49.0,298.0,5.0,0.49,51.0,88.0,5.0,5.0,3.0,2.68,99951.0,850.0,93.0
78,24.0,10.0,64044.0,25.0,1.44,32.0,60.0,9.0,9.0,8.0,1.18,27055.0,315.0,72.0
81,36.0,89.0,69350.0,13.0,1.56,79.0,83.0,9.0,9.0,7.0,11.28,62593.0,1284.0,90.0
79,41.0,89.0,70484.0,12.0,1.47,72.0,87.0,9.0,8.0,8.0,11.84,60648.0,1209.0,96.0
87,49.0,94.0,89963.0,10.0,1.61,80.0,91.0,9.0,7.0,6.0,15.15,52117.0,941.0,100.0
80,40.0,90.0,53148.0,12.0,1.6,75.0,82.0,7.0,9.0,7.0,12.2,55738.0,1079.0,88.0
100,87.0,30.0,176.0,4.0,0.29,70.0,100.0,1.0,2.0,2.0,2.61,71749.0,572.0,80.0
80,42.0,95.0,66060.0,12.0,1.46,74.0,76.0,8.0,8.0,8.0,11.73,60393.0,1187.0,94.0
100,78.0,50.0,115.0,5.0,0.52,63.0,91.0,5.0,5.0,5.0,2.8,97679.0,977.0,83.0
95,81.0,46.0,148.0,5.0,0.53,57.0,89.0,5.0,5.0,5.0,2.91,104546.0,659.0,85.0
100,78.0,50.0,218.0,6.0,0.54,61.0,88.0,4.0,4.0,5.0,2.95,100824.0,950.0,90.0
96,81.0,49.0,287.0,6.0,0.53,65.0,89.0,6.0,4.0,4.0,3.62,101365.0,795.0,81.0
95,84.0,27.0,44.0,3.0,0.28,69.0,100.0,2.0,2.0,4.0,1.63,75514.0,693.0,86.0
81,70.0,93.0,180125.0,8.0,2.92,89.0,71.0,9.0,9.0,10.0,25.34,19288.0,5034.0,92.0
69,31.0,10.0,17015.0,26.0,1.57,31.0,63.0,8.0,7.0,8.0,0.21,28810.0,200.0,72.0
80,51.0,100.0,40031.0,10.0,1.57,82.0,83.0,9.0,7.0,8.0,14.59,44696.0,1041.0,98.0
100,75.0,50.0,283.0,5.0,0.55,64.0,92.0,6.0,3.0,5.0,3.23,102764.0,808.0,83.0
84,42.0,89.0,50911.0,11.0,1.54,75.0,82.0,8.0,9.0,6.0,11.34,60692.0,1224.0,90.0
97,84.0,54.0,168.0,5.0,0.48,63.0,96.0,6.0,5.0,5.0,2.69,102623.0,782.0,78.0
82,39.0,83.0,21746.0,12.0,1.55,76.0,77.0,9.0,8.0,7.0,12.73,59483.0,1150.0,82.0
73,32.0,13.0,52824.0,25.0,1.62,35.0,56.0,9.0,9.0,6.0,2.02,27583.0,373.0,69.0
68,28.0,9.0,61190.0,26.0,1.42,32.0,62.0,7.0,9.0,8.0,1.47,27876.0,267.0,74.0
73,32.0,8.0,70772.0,25.0,1.36,24.0,61.0,7.0,8.0,6.0,1.91,31964.0,256.0,63.0
92,42.0,94.0,46640.0,13.0,1.47,79.0,75.0,9.0,8.0,7.0,11.69,54650.0,1189.0,88.0
100,77.0,46.0,169.0,4.0,0.51,57.0,87.0,6.0,3.0,3.0,2.82,96624.0,825.0,90.0
82,37.0,7.0,21938.0,24.0,1.59,34.0,62.0,9.0,9.0,8.0,0.92,29678.0,156.0,69.0
99,87.0,36.0,171.0,2.0,0.3,65.0,91.0,2.0,2.0,3.0,1.23,76655.0,523.0,78.0
84,44.0,94.0,84051.0,11.0,1.53,74.0,83.0,9.0,8.0,8.0,11.93,59507.0,1227.0,89.0
88,39.0,87.0,78380.0,11.0,1.43,78.0,80.0,9.0,9.0,8.0,12.68,56260.0,1242.0,87.0
98,79.0,48.0,250.0,5.0,0.52,62.0,90.0,4.0,4.0,5.0,3.39,100328.0,741.0,87.0
92,38.0,89.0,22417.0,12.0,1.63,79.0,81.0,7.0,9.0,7.0,11.61,59486.0,1210.0,98.0
86,40.0,86.0,86303.0,11.0,1.47,82.0,79.0,9.0,9.0,8.0,12.38,56647.0,1236.0,85.0
71,38.0,13.0,38391.0,25.0,1.45,34.0,59.0,8.0,7.0,7.0,1.91,31467.0,196.0,63.0
100,81.0,44.0,201.0,6.0,0.54,58.0,89.0,5.0,5.0,3.0,2.6,99953.0,717.0,85.0
63,32.0,10.0,79705.0,25.0,1.35,32.0,62.0,7.0,9.0,8.0,2.23,28967.0,217.0,63.0
68,29.0,9.0,65252.0,25.0,1.35,36.0,59.0,7.0,7.0,7.0,0.84,29535.0,227.0,68.0
100,81.0,48.0,312.0,5.0,0.52,64.0,83.0,5.0,4.0,5.0,3.18,97331.0,889.0,80.0
88,52.0,97.0,32911.0,9.0,1.5,82.0,90.0,8.0,7.0,7.0,14.55,46054.0,1003.0,100.0
69,35.0,3.0,45188.0,26.0,1.45,26.0,54.0,9.0,8.0,7.0,0.84,29486.0,185.0,66.0
95,92.0,31.0,66.0,2.0,0.31,61.0,96.0,3.0,3.0,2.0,2.26,73579.0,650.0,80.0
100,88.0,28.0,133.0,3.0,0.28,67.0,98.0,2.0,3.0,4.0,1.76,75226.0,663.0,82.0
95,43.0,90.0,89433.0,12.0,1.49,77.0,77.0,8.0,9.0,8.0,12.25,59603.0,1126.0,91.0
97,88.0,29.0,139.0,3.0,0.32,63.0,89.0,1.0,3.0,4.0,2.55,76866.0,517.0,84.0
82,38.0,93.0,51800.0,11.0,1.6,76.0,78.0,7.0,9.0,7.0,12.22,58486.0,1211.0,86.0
100,48.0,96.0,81714.0,10.0,1.51,82.0,90.0,7.0,9.0,7.0,14.87,46774.0,1086.0,91.0
100,74.0,49.0,90.0,5.0,0.52,60.0,88.0,5.0,3.0,3.0,3.63,103469.0,862.0,80.0
99,78.0,50.0,197.0,5.0,0.47,59.0,83.0,4.0,3.0,4.0,3.87,96646.0,743.0,87.0
97,82.0,53.0,291.0,5.0,0.54,60.0,93.0,5.0,3.0,3.0,2.81,97201.0,880.0,85.0
99,94.0,30.0,119.0,4.0,0.31,64.0,92.0,3.0,3.0,3.0,2.49,76341.0,614.0,78.0
84,50.0,93.0,19133.0,10.0,1.54,81.0,84.0,8.0,7.0,7.0,15.74,52785.0,1083.0,93.0
100,88.0,29.0,170.0,3.0,0.28,58.0,93.0,3.0,2.0,3.0,1.5,67350.0,601.0,74.0
100,91.0,33.0,122.0,2.0,0.31,68.0,91.0,3.0,2.0,2.0,2.02,77375.0,549.0,85.0
94,68.0,96.0,161962.0,8.0,3.0,85.0,73.0,8.0,9.0,8.0,25.66,21183.0,5063.0,91.0
99,80.0,52.0,242.0,5.0,0.51,60.0,90.0,4.0,4.0,5.0,3.14,103063.0,782.0,88.0
100,77.0,46.0,187.0,4.0,0.52,65.0,88.0,6.0,3.0,5.0,2.7,99808.0,719.0,83.0
85,41.0,86.0,52150.0,13.0,1.44,79.0,78.0,7.0,9.0,8.0,12.72,59942.0,1268.0,90.0
61,22.0,12.0,71775.0,25.0,1.4,32.0,60.0,7.0,8.0,6.0,1.46,30357.0,178.0,67.0
86,50.0,96.0,25270.0,11.0,1.6,76.0,82.0,7.0,8.0,7.0,14.28,48512.0,1065.0,95.0
92,43.0,89.0,61952.0,12.0,1.42,75.0,80.0,8.0,9.0,7.0,12.18,61002.0,1202.0,89.0
94,44.0,87.0,35850.0,13.0,1.49,74.0,80.0,8.0,7.0,7.0,11.55,59371.0,1147.0,89.0
92,48.0,97.0,42939.0,11.0,1.52,80.0,90.0,7.0,7.0,6.0,14.61,48925.0,1033.0,98.0
100,77.0,50.0,152.0,5.0,0.51,60.0,88.0,5.0,3.0,3.0,2.69,101662.0,790.0,83.0
95,73.0,99.0,75493.0,7.0,3.15,83.0,72.0,8.0,10.0,9.0,24.63,22295.0,4967.0,89.0
90,47.0,93.0,66898.0,10.0,1.38,81.0,87.0,9.0,7.0,6.0,15.71,51480.0,985.0,89.0
100,92.0,33.0,137.0,3.0,0.29,66.0,95.0,2.0,2.0,4.0,1.96,75069.0,637.0,79.0
94,79.0,48.0,154.0,5.0,0.55,60.0,90.0,5.0,3.0,4.0,3.22,96860.0,862.0,86.0
93,79.0,48.0,272.0,5.0,0.5,58.0,92.0,6.0,4.0,5.0,2.83,99216.0,778.0,92.0
87,50.0,95.0,30911.0,10.0,1.39,82.0,85.0,9.0,8.0,7.0,14.68,52156.0,1113.0,97.0
87,43.0,89.0,68093.0,12.0,1.48,77.0,81.0,8.0,9.0,8.0,12.01,57077.0,1217.0,92.0
86,52.0,99.0,25244.0,10.0,1.43,82.0,82.0,7.0,8.0,7.0,14.41,49673.0,995.0,86.0
100,91.0,33.0,177.0,3.0,0.3,64.0,96.0,2.0,3.0,4.0,2.2,74542.0,540.0,84.0
100,80.0,48.0,310.0,5.0,0.47,61.0,90.0,5.0,4.0,4.0,3.31,103175.0,758.0,93.0
69,30.0,12.0,65985.0,25.0,1.6,31.0,63.0,9.0,9.0,7.0,1.86,30397.0,298.0,69.0
97,76.0,50.0,332.0,5.0,0.52,62.0,88.0,5.0,5.0,4.0,2.94,102220.0,740.0,84.0
94,72.0,99.0,103598.0,7.0,2.98,82.0,76.0,9.0,10.0,9.0,24.62,21703.0,5063.0,90.0
82,48.0,93.0,29304.0,11.0,1.38,79.0,83.0,7.0,9.0,6.0,15.11,51095.0,966.0,93.0
86,36.0,92.0,10935.0,13.0,1.42,75.0,81.0,8.0,7.0,6.0,12.59,62098.0,1250.0,91.0
100,77.0,53.0,153.0,5.0,0.51,62.0,84.0,4.0,5.0,4.0,2.83,101569.0,765.0,86.0
93,71.0,98.0,99557.0,7.0,3.13,83.0,75.0,8.0,10.0,8.0,25.68,19707.0,4939.0,94.0
100,88.0,32.0,176.0,2.0,0.3,69.0,96.0,2.0,2.0,4.0,2.02,73907.0,597.0,83.0
96,83.0,49.0,275.0,6.0,0.52,65.0,89.0,6.0,4.0,4.0,3.18,100778.0,819.0,92.0
84,48.0,97.0,41427.0,9.0,1.48,80.0,87.0,8.0,7.0,7.0,15.76,48866.0,1053.0,97.0
99,79.0,48.0,101.0,5.0,0.53,62.0,87.0,6.0,4.0,4.0,3.1,103099.0,753.0,83.0
69,28.0,15.0,50508.0,26.0,1.46,29.0,61.0,9.0,7.0,6.0,1.33,28859.0,219.0,70.0
99,79.0,52.0,242.0,5.0,0.49,61.0,93.0,5.0,4.0,4.0,2.8,101569.0,824.0,93.0
100,84.0,33.0,165.0,3.0,0.31,64.0,95.0,3.0,1.0,4.0,1.87,76033.0,680.0,80.0
97,78.0,51.0,200.0,6.0,0.48,64.0,88.0,5.0,3.0,5.0,3.31,101538.0,816.0,84.0
97,84.0,52.0,130.0,5.0,0.51,61.0,90.0,5.0,5.0,4.0,2.94,98083.0,782.0,88.0
84,51.0,96.0,25227.0,11.0,1.44,79.0,84.0,8.0,8.0,7.0,14.65,51659.0,1010.0,95.0
85,38.0,94.0,84260.0,11.0,1.52,78.0,79.0,8.0,8.0,6.0,12.72,55887.0,1184.0,88.0
99,80.0,48.0,252.0,5.0,0.51,64.0,91.0,4.0,4.0,5.0,2.78,100650.0,782.0,85.0
94,68.0,96.0,153549.0,7.0,2.98,82.0,75.0,9.0,9.0,9.0,24.96,22070.0,5036.0,87.0
100,88.0,34.0,179.0,3.0,0.3,64.0,96.0,1.0,2.0,3.0,2.5,76742.0,674.0,78.0
62,23.0,12.0,74533.0,26.0,1.38,32.0,60.0,7.0,8.0,6.0,1.5,30291.0,257.0,67.0
82,41.0,87.0,37036.0,12.0,1.54,72.0,83.0,7.0,7.0,6.0,12.72,57467.0,1176.0,96.0
93,50.0,92.0,31940.0,11.0,1.5,78.0,86.0,8.0,7.0,7.0,14.41,47587.0,975.0,89.0
81,36.0,92.0,62453.0,12.0,1.49,74.0,77.0,8.0,9.0,8.0,12.28,60352.0,1118.0,90.0
100,82.0,50.0,154.0,5.0,0.53,59.0,91.0,4.0,4.0,4.0,2.98,103323.0,737.0,85.0
90,49.0,94.0,76964.0,10.0,1.44,83.0,90.0,7.0,7.0,7.0,14.65,49673.0,998.0,92.0
96,70.0,98.0,90587.0,8.0,3.06,85.0,76.0,9.0,10.0,8.0,25.43,21272.0,4976.0,93.0
94,87.0,33.0,126.0,2.0,0.28,67.0,95.0,3.0,3.0,3.0,2.44,71008.0,634.0,84.0
94,50.0,96.0,40050.0,11.0,1.52,82.0,90.0,7.0,7.0,7.0,15.25,50106.0,1088.0,96.0
99,73.0,98.0,157790.0,8.0,3.07,85.0,73.0,10.0,9.0,9.0,24.33,20573.0,4938.0,91.0
87,41.0,89.0,68326.0,12.0,1.6,73.0,81.0,9.0,8.0,8.0,12.7,60528.0,1117.0,86.0
100,78.0,47.0,157.0,5.0,0.51,61.0,90.0,6.0,5.0,5.0,2.77,100871.0,847.0,90.0
85,50.0,97.0,41427.0,10.0,1.56,80.0,89.0,9.0,6.0,7.0,14.68,52156.0,989.0,97.0
87,49.0,95.0,28329.0,10.0,1.48,81.0,85.0,8.0,9.0,7.0,15.75,47124.0,1030.0,95.0
77,30.0,12.0,31602.0,25.0,1.49,30.0,56.0,8.0,8.0,8.0,1.42,31018.0,171.0,70.0
99,77.0,53.0,101.0,5.0,0.51,61.0,87.0,6.0,5.0,3.0,2.98,103099.0,886.0,86.0
81,40.0,92.0,60408.0,12.0,1.49,75.0,77.0,8.0,9.0,6.0,12.01,57077.0,1087.0,88.0
100,81.0,49.0,209.0,5.0,0.55,64.0,91.0,5.0,3.0,3.0,3.06,99778.0,745.0,86.0
99,92.0,32.0,152.0,3.0,0.3,64.0,93.0,2.0,3.0,4.0,2.54,72675.0,567.0,78.0
95,72.0,99.0,75493.0,8.0,3.13,88.0,74.0,9.0,9.0,9.0,24.63,22295.0,5028.0,89.0
100,79.0,53.0,168.0,5.0,0.51,60.0,94.0,5.0,4.0,5.0,3.37,97003.0,778.0,84.0
88,48.0,93.0,55740.0,11.0,1.41,78.0,90.0,7.0,8.0,6.0,14.93,52219.0,1018.0,97.0
86,72.0,97.0,113063.0,7.0,3.09,83.0,73.0,8.0,9.0,9.0,24.22,23853.0,5010.0,84.0
99,81.0,50.0,230.0,5.0,0.51,62.0,85.0,6.0,3.0,4.0,3.07,98791.0,732.0,83.0
98,91.0,30.0,165.0,3.0,0.3,67.0,95.0,3.0,3.0,3.0,2.4,72166.0,569.0,79.0
90,38.0,88.0,86202.0,12.0,1.42,75.0,81.0,8.0,7.0,7.0,12.02,60655.0,1239.0,94.0
77,29.0,8.0,60573.0,26.0,1.57,32.0,60.0,8.0,9.0,7.0,1.26,30357.0,211.0,70.0
95,50.0,96.0,22097.0,11.0,1.45,80.0,86.0,8.0,7.0,6.0,14.65,49673.0,995.0,86.0
100,87.0,31.0,141.0,3.0,0.28,68.0,91.0,1.0,2.0,3.0,1.6,73892.0,525.0,85.0
97,76.0,51.0,332.0,5.0,0.51,59.0,86.0,4.0,5.0,4.0,2.94,102220.0,740.0,84.0
96,77.0,47.0,152.0,5.0,0.5,60.0,86.0,6.0,5.0,3.0,3.06,99778.0,745.0,86.0
87,48.0,96.0,33525.0,10.0,1.4,81.0,87.0,9.0,7.0,6.0,15.74,52785.0,1053.0,97.0
99,81.0,52.0,242.0,5.0,0.52,63.0,93.0,6.0,3.0,5.0,3.14,103063.0,782.0,88.0
88,36.0,88.0,41490.0,12.0,1.48,74.0,84.0,7.0,7.0,7.0,12.7,60528.0,1117.0,86.0
92,48.0,93.0,42939.0,11.0,1.4,77.0,88.0,9.0,7.0,7.0,14.61,48925.0,1033.0,98.0
95,77.0,48.0,275.0,5.0,0.52,65.0,88.0,6.0,4.0,5.0,3.18,100778.0,819.0,92.0
94,71.0,97.0,99557.0,8.0,3.13,83.0,73.0,9.0,9.0,9.0,25.68,19707.0,5063.0,94.0
78,30.0,8.0,64044.0,26.0,1.6,33.0,60.0,7.0,8.0,6.0,1.26,30357.0,211.0,70.0
98,77.0,53.0,153.0,5.0,0.51,62.0,84.0,5.0,5.0,4.0,2.83,101569.0,765.0,86.0
89,50.0,96.0,28329.0,10.0,1.37,79.0,85.0,9.0,9.0,7.0,15.75,47124.0,1030.0,95.0
93,50.0,95.0,30911.0,10.0,1.48,81.0,86.0,7.0,7.0,6.0,14.68,52156.0,1010.0,95.0
85,36.0,94.0,40250.0,12.0,1.48,74.0,78.0,9.0,9.0,6.0,11.84,60648.0,1118.0,96.0
99,89.0,31.0,104.0,3.0,0.29,66.0,91.0,2.0,2.0,3.0,1.96,75069.0,637.0,79.0
97,81.0,49.0,209.0,5.0,0.53,61.0,90.0,5.0,3.0,3.0,3.06,99778.0,745.0,86.0
90,48.0,93.0,33525.0,11.0,1.53,82.0,90.0,7.0,8.0,6.0,15.74,52785.0,1083.0,93.0
85,44.0,87.0,35850.0,13.0,1.48,79.0,83.0,9.0,8.0,8.0,11.55,59371.0,1147.0,89.0
94,72.0,99.0,103598.0,8.0,2.83,85.0,76.0,8.0,9.0,9.0,24.62,21703.0,5063.0,90.0
95,49.0,94.0,76964.0,10.0,1.45,78.0,82.0,8.0,9.0,6.0,14.65,49673.0,998.0,92.0
91,50.0,96.0,40050.0,10.0,1.48,81.0,90.0,7.0,7.0,6.0,15.25,50106.0,1088.0,96.0
62,23.0,12.0,74533.0,25.0,1.52,28.0,59.0,8.0,7.0,7.0,1.5,30291.0,257.0,67.0
98,77.0,48.0,252.0,5.0,0.54,64.0,91.0,6.0,4.0,4.0,2.78,100650.0,782.0,85.0
86,41.0,86.0,52150.0,13.0,1.46,79.0,83.0,8.0,9.0,6.0,12.72,59942.0,1268.0,90.0
88,73.0,98.0,157790.0,7.0,3.13,83.0,72.0,8.0,10.0,9.0,24.33,20573.0,4938.0,91.0
97,78.0,51.0,332.0,6.0,0.52,65.0,86.0,4.0,3.0,3.0,2.94,102220.0,740.0,84.0
100,88.0,34.0,179.0,3.0,0.3,69.0,96.0,2.0,3.0,4.0,2.5,76742.0,674.0,78.0
94,47.0,93.0,33532.0,10.0,1.47,80.0,91.0,9.0,7.0,6.0,14.4,51174.0,959.0,97.0
96,84.0,47.0,355.0,5.0,0.47,59.0,90.0,5.0,3.0,3.0,3.05,102073.0,901.0,91.0
87,50.0,95.0,31940.0,11.0,1.57,80.0,86.0,9.0,8.0,7.0,14.41,47587.0,975.0,89.0
82,41.0,89.0,69350.0,12.0,1.52,78.0,83.0,8.0,8.0,7.0,11.28,62593.0,1284.0,90.0
99,80.0,51.0,230.0,5.0,0.5,62.0,85.0,4.0,4.0,4.0,3.07,98791.0,732.0,83.0
100,78.0,47.0,157.0,5.0,0.53,58.0,90.0,4.0,3.0,3.0,2.77,100871.0,847.0,90.0
94,51.0,96.0,40031.0,10.0,1.44,79.0,83.0,9.0,9.0,7.0,14.59,44696.0,1041.0,98.0
94,42.0,94.0,46640.0,12.0,1.46,75.0,75.0,8.0,8.0,8.0,11.69,54650.0,1189.0,88.0
90,47.0,97.0,41427.0,10.0,1.45,82.0,87.0,9.0,7.0,6.0,15.76,48866.0,1053.0,97.0
68,30.0,12.0,65985.0,25.0,1.57,32.0,63.0,8.0,9.0,6.0,1.86,30397.0,298.0,69.0
84,40.0,92.0,60408.0,12.0,1.43,76.0,77.0,9.0,8.0,7.0,12.01,57077.0,1087.0,88.0
97,70.0,98.0,90587.0,8.0,3.13,83.0,76.0,8.0,10.0,10.0,25.43,21272.0,4976.0,93.0
90,52.0,99.0,25270.0,10.0,1.42,80.0,82.0,7.0,7.0,7.0,14.28,48512.0,1065.0,95.0
100,77.0,48.0,154.0,5.0,0.51,60.0,91.0,5.0,4.0,4.0,2.98,103323.0,737.0,85.0
100,85.0,32.0,104.0,2.0,0.3,64.0,95.0,3.0,2.0,3.0,1.83,78051.0,715.0,84.0
96,81.0,50.0,201.0,5.0,0.51,61.0,90.0,5.0,4.0,4.0,2.6,99953.0,717.0,85.0
84,42.0,89.0,50911.0,11.0,1.38,77.0,82.0,7.0,8.0,8.0,11.34,60692.0,1224.0,90.0
82,48.0,93.0,29304.0,11.0,1.52,79.0,83.0,7.0,9.0,7.0,15.11,51095.0,966.0,93.0
97,75.0,44.0,211.0,5.0,0.5,61.0,89.0,5.0,4.0,4.0,3.77,98647.0,753.0,93.0
93,50.0,97.0,32911.0,10.0,1.52,80.0,90.0,8.0,7.0,7.0,14.55,46054.0,1003.0,100.0
100,92.0,30.0,141.0,3.0,0.3,65.0,93.0,2.0,2.0,3.0,1.6,73892.0,525.0,85.0
95,50.0,96.0,25244.0,11.0,1.46,78.0,82.0,8.0,7.0,7.0,14.41,49673.0,995.0,86.0
99,78.0,50.0,197.0,5.0,0.48,59.0,83.0,5.0,4.0,4.0,3.87,96646.0,743.0,87.0
100,80.0,48.0,252.0,6.0,0.5,64.0,91.0,4.0,4.0,4.0,2.78,100650.0,782.0,85.0
95,42.0,87.0,37036.0,13.0,1.47,72.0,83.0,9.0,9.0,7.0,12.72,57467.0,1176.0,96.0
100,91.0,33.0,122.0,2.0,0.29,68.0,91.0,1.0,2.0,3.0,2.02,77375.0,549.0,85.0
96,82.0,50.0,154.0,5.0,0.5,60.0,90.0,5.0,3.0,4.0,3.22,96860.0,862.0,86.0
73,30.0,12.0,31602.0,26.0,1.4,30.0,56.0,9.0,7.0,6.0,1.42,31018.0,171.0,70.0
85,38.0,87.0,52407.0,12.0,1.47,75.0,81.0,9.0,9.0,7.0,12.45,56902.0,1222.0,97.0
99,83.0,49.0,275.0,6.0,0.5,65.0,89.0,5.0,3.0,5.0,3.18,100778.0,819.0,92.0
